FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
屏東縣新園鄉仙吉村4鄰永吉路20號,10013,1001317,1001317-002,4鄰,永吉路,,,,,,20號,120.462552921648,22.5438997214779
屏東縣新園鄉仙吉村4鄰永吉路21號,10013,1001317,1001317-002,4鄰,永吉路,,,,,,21號,120.462317823231,22.544204543936
屏東縣新園鄉仙吉村20鄰永吉路41號,10013,1001317,1001317-002,20鄰,永吉路,,,,,,41號,120.46340666989,22.5447455221151
屏東縣新園鄉仙吉村20鄰永吉路43號,10013,1001317,1001317-002,20鄰,永吉路,,,,,,43號,120.463430137747,22.5447862397556
屏東縣新園鄉仙吉村20鄰永吉路45號,10013,1001317,1001317-002,20鄰,永吉路,,,,,,45號,120.463454850824,22.544806641863
屏東縣新園鄉仙吉村20鄰永吉路47號,10013,1001317,1001317-002,20鄰,永吉路,,,,,,47號,120.463489002827,22.5448249080125
屏東縣新園鄉仙吉村20鄰永吉路49號,10013,1001317,1001317-002,20鄰,永吉路,,,,,,49號,120.463518965912,22.5448453276187
屏東縣新園鄉仙吉村20鄰永吉路51號,10013,1001317,1001317-002,20鄰,永吉路,,,,,,51號,120.463567330506,22.5448589450426
屏東縣新園鄉仙吉村20鄰永吉路53號,10013,1001317,1001317-002,20鄰,永吉路,,,,,,53號,120.463592202813,22.5448884689401
屏東縣新園鄉仙吉村20鄰永吉路60號,10013,1001317,1001317-002,20鄰,永吉路,,,,,,60號,120.463834629182,22.5445235227754
屏東縣新園鄉仙吉村20鄰永吉路245號,10013,1001317,1001317-002,20鄰,永吉路,,,,,,245號,120.467788906799,22.547206479642
