FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
屏東縣潮州鎮三星里13鄰玉春街1號,10013,1001302,1001302-007,13鄰,玉春街,,,,,,1號,120.54635346498,22.5531030079297
屏東縣潮州鎮三星里13鄰玉春街3號,10013,1001302,1001302-007,13鄰,玉春街,,,,,,3號,120.546385141195,22.5530796165675
屏東縣潮州鎮三星里13鄰玉春街5號,10013,1001302,1001302-007,13鄰,玉春街,,,,,,5號,120.546413995987,22.553056759104
屏東縣潮州鎮三星里12鄰玉春街6號,10013,1001302,1001302-007,12鄰,玉春街,,,,,,6號,120.546360139593,22.5529350493884
屏東縣潮州鎮三星里13鄰玉春街7號,10013,1001302,1001302-007,13鄰,玉春街,,,,,,7號,120.546446045157,22.5530382455435
屏東縣潮州鎮三星里12鄰玉春街8號,10013,1001302,1001302-007,12鄰,玉春街,,,,,,8號,120.546398126794,22.5529143851357
屏東縣潮州鎮三星里13鄰玉春街9之1號,10013,1001302,1001302-007,13鄰,玉春街,,,,,,9之1號,120.546525847224,22.5529860002216
屏東縣潮州鎮三星里13鄰玉春街9號,10013,1001302,1001302-007,13鄰,玉春街,,,,,,9號,120.54647821044,22.5530139524374
屏東縣潮州鎮三星里14鄰玉春街15號,10013,1001302,1001302-007,14鄰,玉春街,,,,,,15號,120.546751423554,22.5528362692497
屏東縣潮州鎮三星里14鄰玉春街17號,10013,1001302,1001302-007,14鄰,玉春街,,,,,,17號,120.54694588565,22.5527759479354
屏東縣潮州鎮三星里14鄰玉春街19號,10013,1001302,1001302-007,14鄰,玉春街,,,,,,19號,120.546988539637,22.5527850991261
屏東縣潮州鎮三星里14鄰玉春街21號,10013,1001302,1001302-007,14鄰,玉春街,,,,,,21號,120.547026746161,22.5527865613937
屏東縣潮州鎮三星里15鄰玉春街22號,10013,1001302,1001302-007,15鄰,玉春街,,,,,,22號,120.546950902056,22.5526689442168
屏東縣潮州鎮三星里14鄰玉春街23號,10013,1001302,1001302-007,14鄰,玉春街,,,,,,23號,120.547070676808,22.5527918328103
屏東縣潮州鎮三星里15鄰玉春街24號,10013,1001302,1001302-007,15鄰,玉春街,,,,,,24號,120.546997070989,22.5526735897851
屏東縣潮州鎮三星里14鄰玉春街25號,10013,1001302,1001302-007,14鄰,玉春街,,,,,,25號,120.54711102237,22.5527933010818
屏東縣潮州鎮三星里14鄰玉春街27號,10013,1001302,1001302-007,14鄰,玉春街,,,,,,27號,120.547146513858,22.5527924979151
屏東縣潮州鎮三星里14鄰玉春街29號,10013,1001302,1001302-007,14鄰,玉春街,,,,,,29號,120.547189774814,22.5527944259279
屏東縣潮州鎮三星里15鄰玉春街30號,10013,1001302,1001302-007,15鄰,玉春街,,,,,,30號,120.547111360466,22.552689715979
屏東縣潮州鎮三星里14鄰玉春街31號,10013,1001302,1001302-007,14鄰,玉春街,,,,,,31號,120.547225740659,22.5527972364961
屏東縣潮州鎮三星里15鄰玉春街32號,10013,1001302,1001302-007,15鄰,玉春街,,,,,,32號,120.547150056057,22.55269027649
屏東縣潮州鎮三星里14鄰玉春街33號,10013,1001302,1001302-007,14鄰,玉春街,,,,,,33號,120.547264132808,22.5528014085427
屏東縣潮州鎮三星里15鄰玉春街34號,10013,1001302,1001302-007,15鄰,玉春街,,,,,,34號,120.547189619045,22.5526931875048
屏東縣潮州鎮三星里14鄰玉春街35號,10013,1001302,1001302-007,14鄰,玉春街,,,,,,35號,120.547305444772,22.5528046856944
屏東縣潮州鎮三星里15鄰玉春街36號,10013,1001302,1001302-007,15鄰,玉春街,,,,,,36號,120.547227926017,22.5526936565924
屏東縣潮州鎮三星里14鄰玉春街37號,10013,1001302,1001302-007,14鄰,玉春街,,,,,,37號,120.547342384384,22.5528070474254
屏東縣潮州鎮三星里15鄰玉春街38號,10013,1001302,1001302-007,15鄰,玉春街,,,,,,38號,120.54727070522,22.5526942285705
屏東縣潮州鎮三星里14鄰玉春街39號,10013,1001302,1001302-007,14鄰,玉春街,,,,,,39號,120.54738175472,22.5528094159886
屏東縣潮州鎮三星里15鄰玉春街40號,10013,1001302,1001302-007,15鄰,玉春街,,,,,,40號,120.547315430473,22.5526943544624
屏東縣潮州鎮三星里14鄰玉春街41號,10013,1001302,1001302-007,14鄰,玉春街,,,,,,41號,120.547420157187,22.5528104271622
屏東縣潮州鎮三星里15鄰玉春街42號,10013,1001302,1001302-007,15鄰,玉春街,,,,,,42號,120.547353046828,22.552697892131
屏東縣潮州鎮三星里14鄰玉春街43號,10013,1001302,1001302-007,14鄰,玉春街,,,,,,43號,120.547458069092,22.5528127916027
屏東縣潮州鎮三星里15鄰玉春街44號,10013,1001302,1001302-007,15鄰,玉春街,,,,,,44號,120.547385606697,22.5527015961816
屏東縣潮州鎮三星里14鄰玉春街45號,10013,1001302,1001302-007,14鄰,玉春街,,,,,,45號,120.547500347464,22.5528178776322
屏東縣潮州鎮三星里15鄰玉春街46號,10013,1001302,1001302-007,15鄰,玉春街,,,,,,46號,120.547429351712,22.5527041576648
屏東縣潮州鎮三星里14鄰玉春街47號,10013,1001302,1001302-007,14鄰,玉春街,,,,,,47號,120.547536314795,22.5528202365832
屏東縣潮州鎮三星里15鄰玉春街48號,10013,1001302,1001302-007,15鄰,玉春街,,,,,,48號,120.547467750911,22.5527061622322
屏東縣潮州鎮三星里14鄰玉春街49號,10013,1001302,1001302-007,14鄰,玉春街,,,,,,49號,120.547585400668,22.5528248901896
屏東縣潮州鎮三星里15鄰玉春街50號,10013,1001302,1001302-007,15鄰,玉春街,,,,,,50號,120.547505074409,22.5527100602829
屏東縣潮州鎮三星里14鄰玉春街51號,10013,1001302,1001302-007,14鄰,玉春街,,,,,,51號,120.547751604702,22.5528429681657
屏東縣潮州鎮三星里15鄰玉春街52號,10013,1001302,1001302-007,15鄰,玉春街,,,,,,52號,120.547539286882,22.5527138592625
屏東縣潮州鎮三星里14鄰玉春街53號,10013,1001302,1001302-007,14鄰,玉春街,,,,,,53號,120.547803230022,22.5528441067399
屏東縣潮州鎮三星里15鄰玉春街54號,10013,1001302,1001302-007,15鄰,玉春街,,,,,,54號,120.547589544763,22.5527168905766
屏東縣潮州鎮三星里14鄰玉春街55號,10013,1001302,1001302-007,14鄰,玉春街,,,,,,55號,120.547843966292,22.5528450340638
屏東縣潮州鎮三星里15鄰玉春街56號,10013,1001302,1001302-007,15鄰,玉春街,,,,,,56號,120.547799369777,22.5526860526364
屏東縣潮州鎮三星里14鄰玉春街57號,10013,1001302,1001302-007,14鄰,玉春街,,,,,,57號,120.54788333665,22.5528474025046
屏東縣潮州鎮三星里15鄰玉春街58號,10013,1001302,1001302-007,15鄰,玉春街,,,,,,58號,120.547864018109,22.5526889437039
屏東縣潮州鎮三星里14鄰玉春街59號,10013,1001302,1001302-007,14鄰,玉春街,,,,,,59號,120.547921248575,22.5528497668362
屏東縣潮州鎮三星里15鄰玉春街60號,10013,1001302,1001302-007,15鄰,玉春街,,,,,,60號,120.547941297364,22.5526945795613
屏東縣潮州鎮三星里14鄰玉春街61號,10013,1001302,1001302-007,14鄰,玉春街,,,,,,61號,120.547975608513,22.5528770127557
屏東縣潮州鎮三星里15鄰玉春街62號,10013,1001302,1001302-007,15鄰,玉春街,,,,,,62號,120.54800886551,22.5526965756733
屏東縣潮州鎮三星里15鄰玉春街64號,10013,1001302,1001302-007,15鄰,玉春街,,,,,,64號,120.548077880326,22.5527021882391
屏東縣潮州鎮三星里14鄰玉春街65號二樓之1,10013,1001302,1001302-007,14鄰,玉春街,,,,,,65號二樓之1,120.548143410213,22.5530016611255
屏東縣潮州鎮三星里14鄰玉春街65號二樓之2,10013,1001302,1001302-007,14鄰,玉春街,,,,,,65號二樓之2,120.548143410213,22.5530016611255
屏東縣潮州鎮三星里14鄰玉春街65號二樓之3,10013,1001302,1001302-007,14鄰,玉春街,,,,,,65號二樓之3,120.548143410213,22.5530016611255
屏東縣潮州鎮三星里14鄰玉春街65號二樓之4,10013,1001302,1001302-007,14鄰,玉春街,,,,,,65號二樓之4,120.548144672426,22.5530022065343
屏東縣潮州鎮三星里14鄰玉春街65號二樓之5,10013,1001302,1001302-007,14鄰,玉春街,,,,,,65號二樓之5,120.548143410213,22.5530016611255
