FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
屏東縣東港鎮興農里4鄰環美九街1號,10013,1001303,1001303-020,4鄰,環美九街,,,,,,1號,120.468699164399,22.4874614354269
屏東縣東港鎮興農里4鄰環美九街2號,10013,1001303,1001303-020,4鄰,環美九街,,,,,,2號,120.468591543845,22.4865805542977
屏東縣東港鎮興農里4鄰環美九街3號,10013,1001303,1001303-020,4鄰,環美九街,,,,,,3號,120.468763768353,22.4875947658688
屏東縣東港鎮興農里4鄰環美九街5號,10013,1001303,1001303-020,4鄰,環美九街,,,,,,5號,120.468818873727,22.4877214723257
屏東縣東港鎮興農里4鄰環美九街6號,10013,1001303,1001303-020,4鄰,環美九街,,,,,,6號,120.468643264908,22.4867026438343
屏東縣東港鎮興農里4鄰環美九街8號,10013,1001303,1001303-020,4鄰,環美九街,,,,,,8號,120.468691768056,22.4868021451476
屏東縣東港鎮興農里4鄰環美九街10號,10013,1001303,1001303-020,4鄰,環美九街,,,,,,10號,120.468743552347,22.4869331755895
屏東縣東港鎮興農里4鄰環美九街12號,10013,1001303,1001303-020,4鄰,環美九街,,,,,,12號,120.468792046684,22.4870350249136
屏東縣東港鎮興農里4鄰環美九街16號,10013,1001303,1001303-020,4鄰,環美九街,,,,,,16號,120.468821173994,22.4871186580156
屏東縣東港鎮興農里4鄰環美九街18號,10013,1001303,1001303-020,4鄰,環美九街,,,,,,18號,120.468879615802,22.4872114187415
屏東縣東港鎮興農里4鄰環美九街20號,10013,1001303,1001303-020,4鄰,環美九街,,,,,,20號,120.468898778959,22.4873085655581
屏東縣東港鎮興農里4鄰環美九街22號,10013,1001303,1001303-020,4鄰,環美九街,,,,,,22號,120.468930981757,22.4874012398121
屏東縣東港鎮興農里4鄰環美九街26號,10013,1001303,1001303-020,4鄰,環美九街,,,,,,26號,120.468982815374,22.4874939787291
屏東縣東港鎮興農里4鄰環美九街28號,10013,1001303,1001303-020,4鄰,環美九街,,,,,,28號,120.469011934621,22.4875797792184
屏東縣東港鎮興農里4鄰環美九街30號,10013,1001303,1001303-020,4鄰,環美九街,,,,,,30號,120.46903774902,22.4876657494369
