FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
屏東縣恆春鎮水泉里9鄰白沙路5之1號,10013,1001304,1001304-014,9鄰,白沙路,,,,,,5之1號,120.726031945068,21.9239357581575
屏東縣恆春鎮水泉里9鄰白沙路5之2號,10013,1001304,1001304-014,9鄰,白沙路,,,,,,5之2號,120.725680051545,21.9245081531123
屏東縣恆春鎮水泉里9鄰白沙路6號之1,10013,1001304,1001304-014,9鄰,白沙路,,,,,,6號之1,120.724879784305,21.9257846443939
屏東縣恆春鎮水泉里9鄰白沙路7號,10013,1001304,1001304-014,9鄰,白沙路,,,,,,7號,120.724842519255,21.9251788149652
屏東縣恆春鎮水泉里9鄰白沙路8之7號,10013,1001304,1001304-014,9鄰,白沙路,,,,,,8之7號,120.720821640885,21.9334872173913
屏東縣恆春鎮水泉里9鄰白沙路8之5號,10013,1001304,1001304-014,9鄰,白沙路,,,,,,8之5號,120.720467713897,21.9331449410217
屏東縣恆春鎮水泉里9鄰白沙路8之6號,10013,1001304,1001304-014,9鄰,白沙路,,,,,,8之6號,120.719845231931,21.9331599581638
屏東縣恆春鎮水泉里9鄰白沙路8號之1,10013,1001304,1001304-014,9鄰,白沙路,,,,,,8號之1,120.720438434746,21.9328702325947
屏東縣恆春鎮水泉里9鄰白沙路8號之2,10013,1001304,1001304-014,9鄰,白沙路,,,,,,8號之2,120.720476453672,21.9326352884215
屏東縣恆春鎮水泉里9鄰白沙路10號,10013,1001304,1001304-014,9鄰,白沙路,,,,,,10號,120.720486478055,21.9321617653876
屏東縣恆春鎮水泉里9鄰白沙路11號,10013,1001304,1001304-014,9鄰,白沙路,,,,,,11號,120.720451308604,21.9325238829183
屏東縣恆春鎮水泉里9鄰白沙路11號之1,10013,1001304,1001304-014,9鄰,白沙路,,,,,,11號之1,120.720682000485,21.9322718346979
屏東縣恆春鎮水泉里9鄰白沙路11號之2,10013,1001304,1001304-014,9鄰,白沙路,,,,,,11號之2,120.720635299944,21.932342474766
屏東縣恆春鎮水泉里9鄰白沙路12之1號,10013,1001304,1001304-014,9鄰,白沙路,,,,,,12之1號,120.720172610056,21.9322762069827
屏東縣恆春鎮水泉里9鄰白沙路12號,10013,1001304,1001304-014,9鄰,白沙路,,,,,,12號,120.720312601204,21.9322696712971
屏東縣恆春鎮水泉里9鄰白沙路12之3號,10013,1001304,1001304-014,9鄰,白沙路,,,,,,12之3號,120.72024131019,21.9324404326712
屏東縣恆春鎮水泉里10鄰白沙路13號,10013,1001304,1001304-014,10鄰,白沙路,,,,,,13號,120.720598218142,21.935419654012
屏東縣恆春鎮水泉里10鄰白沙路13之1號,10013,1001304,1001304-014,10鄰,白沙路,,,,,,13之1號,120.721229963659,21.9346795728218
屏東縣恆春鎮水泉里10鄰白沙路13之6號,10013,1001304,1001304-014,10鄰,白沙路,,,,,,13之6號,120.719556421841,21.9363430123808
屏東縣恆春鎮水泉里10鄰白沙路13之7號,10013,1001304,1001304-014,10鄰,白沙路,,,,,,13之7號,120.720425919656,21.9361050591155
屏東縣恆春鎮水泉里10鄰白沙路13之9號,10013,1001304,1001304-014,10鄰,白沙路,,,,,,13之9號,120.718584740312,21.936458585214
屏東縣恆春鎮水泉里10鄰白沙路13號之4,10013,1001304,1001304-014,10鄰,白沙路,,,,,,13號之4,120.720610614573,21.935268210951
屏東縣恆春鎮水泉里10鄰白沙路13號之5,10013,1001304,1001304-014,10鄰,白沙路,,,,,,13號之5,120.719244811372,21.9362392464517
屏東縣恆春鎮水泉里10鄰白沙路14之1號,10013,1001304,1001304-014,10鄰,白沙路,,,,,,14之1號,120.718085449329,21.9368324610649
屏東縣恆春鎮水泉里10鄰白沙路14號,10013,1001304,1001304-014,10鄰,白沙路,,,,,,14號,120.717941071128,21.9367049546693
屏東縣恆春鎮水泉里10鄰白沙路15號之1,10013,1001304,1001304-014,10鄰,白沙路,,,,,,15號之1,120.718254814525,21.9376429081015
屏東縣恆春鎮水泉里10鄰白沙路17號,10013,1001304,1001304-014,10鄰,白沙路,,,,,,17號,120.718374203478,21.9367447148668
屏東縣恆春鎮水泉里10鄰白沙路18號,10013,1001304,1001304-014,10鄰,白沙路,,,,,,18號,120.71840105775,21.9371677222805
屏東縣恆春鎮水泉里10鄰白沙路19號,10013,1001304,1001304-014,10鄰,白沙路,,,,,,19號,120.718240111349,21.9369487854707
屏東縣恆春鎮水泉里9鄰白沙路19號之2,10013,1001304,1001304-014,9鄰,白沙路,,,,,,19號之2,120.720597726933,21.9323987696844
屏東縣恆春鎮水泉里10鄰白沙路20號,10013,1001304,1001304-014,10鄰,白沙路,,,,,,20號,120.71801748372,21.9365904716198
屏東縣恆春鎮水泉里10鄰白沙路22之12號,10013,1001304,1001304-014,10鄰,白沙路,,,,,,22之12號,120.718109000264,21.937113662853
