FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
屏東縣內埔鄉竹圍村14鄰福原路1號,10013,1001313,1001313-011,14鄰,福原路,,,,,,1號,120.554672092787,22.646010689198
屏東縣內埔鄉竹圍村14鄰福原路8號,10013,1001313,1001313-011,14鄰,福原路,,,,,,8號,120.554916545209,22.6457547086063
屏東縣內埔鄉竹圍村14鄰福原路33號,10013,1001313,1001313-011,14鄰,福原路,,,,,,33號,120.555889158812,22.6448007577572
屏東縣內埔鄉竹圍村14鄰福原路53號,10013,1001313,1001313-011,14鄰,福原路,,,,,,53號,120.556348238229,22.6445447371185
屏東縣內埔鄉竹圍村14鄰福原路59號,10013,1001313,1001313-011,14鄰,福原路,,,,,,59號,120.557032265376,22.6446511166104
屏東縣內埔鄉竹圍村15鄰福原路111巷1弄2號,10013,1001313,1001313-011,15鄰,福原路,,111巷,1弄,,,2號,120.557650823748,22.6439646661676
屏東縣內埔鄉竹圍村15鄰福原路111巷1弄6號,10013,1001313,1001313-011,15鄰,福原路,,111巷,1弄,,,6號,120.557646740452,22.6439940957969
屏東縣內埔鄉竹圍村15鄰福原路111巷1弄8號,10013,1001313,1001313-011,15鄰,福原路,,111巷,1弄,,,8號,120.557643922254,22.644023438607
屏東縣內埔鄉竹圍村15鄰福原路111巷1弄10號,10013,1001313,1001313-011,15鄰,福原路,,111巷,1弄,,,10號,120.557635911367,22.6440640557763
屏東縣內埔鄉竹圍村15鄰福原路111巷3弄1號,10013,1001313,1001313-011,15鄰,福原路,,111巷,3弄,,,1號,120.558622431055,22.644137938614
屏東縣內埔鄉竹圍村15鄰福原路111巷3弄2號,10013,1001313,1001313-011,15鄰,福原路,,111巷,3弄,,,2號,120.558736909889,22.644118837194
屏東縣內埔鄉竹圍村15鄰福原路111巷3弄3號,10013,1001313,1001313-011,15鄰,福原路,,111巷,3弄,,,3號,120.558627346214,22.6441221479827
屏東縣內埔鄉竹圍村15鄰福原路111巷3弄5號,10013,1001313,1001313-011,15鄰,福原路,,111巷,3弄,,,5號,120.558571678459,22.6439747902305
屏東縣內埔鄉竹圍村15鄰福原路111巷3弄6號,10013,1001313,1001313-011,15鄰,福原路,,111巷,3弄,,,6號,120.558739677372,22.6441052983855
屏東縣內埔鄉竹圍村15鄰福原路111巷3弄7號,10013,1001313,1001313-011,15鄰,福原路,,111巷,3弄,,,7號,120.558576002645,22.6439612557108
屏東縣內埔鄉竹圍村15鄰福原路111巷3弄8號,10013,1001313,1001313-011,15鄰,福原路,,111巷,3弄,,,8號,120.558692745395,22.6439643766914
屏東縣內埔鄉竹圍村15鄰福原路111巷3弄10號,10013,1001313,1001313-011,15鄰,福原路,,111巷,3弄,,,10號,120.558698229872,22.6439531030997
屏東縣內埔鄉竹圍村15鄰福原路111巷5弄1號,10013,1001313,1001313-011,15鄰,福原路,,111巷,5弄,,,1號,120.558452549926,22.6442005971763
屏東縣內埔鄉竹圍村15鄰福原路111巷5弄3號,10013,1001313,1001313-011,15鄰,福原路,,111巷,5弄,,,3號,120.55845697864,22.6441848052108
屏東縣內埔鄉竹圍村15鄰福原路111巷5弄5號,10013,1001313,1001313-011,15鄰,福原路,,111巷,5弄,,,5號,120.558383169199,22.6440211417219
屏東縣內埔鄉竹圍村15鄰福原路111巷5弄7號,10013,1001313,1001313-011,15鄰,福原路,,111巷,5弄,,,7號,120.558388091599,22.6440030933804
屏東縣內埔鄉竹圍村15鄰福原路111巷8弄1號,10013,1001313,1001313-011,15鄰,福原路,,111巷,8弄,,,1號,120.557807998755,22.6439809039104
屏東縣內埔鄉竹圍村15鄰福原路111巷8弄3號,10013,1001313,1001313-011,15鄰,福原路,,111巷,8弄,,,3號,120.557798737564,22.6440170021655
屏東縣內埔鄉竹圍村15鄰福原路111巷8弄5號,10013,1001313,1001313-011,15鄰,福原路,,111巷,8弄,,,5號,120.557786604273,22.6440688966596
屏東縣內埔鄉竹圍村15鄰福原路111巷8弄7號,10013,1001313,1001313-011,15鄰,福原路,,111巷,8弄,,,7號,120.557775973448,22.6441073391818
屏東縣內埔鄉竹圍村15鄰福原路111巷11弄1號,10013,1001313,1001313-011,15鄰,福原路,,111巷,11弄,,,1號,120.55831731636,22.6441989603397
屏東縣內埔鄉竹圍村15鄰福原路111巷11弄3號,10013,1001313,1001313-011,15鄰,福原路,,111巷,11弄,,,3號,120.558322635167,22.6441786553554
屏東縣內埔鄉竹圍村15鄰福原路111巷11弄5號,10013,1001313,1001313-011,15鄰,福原路,,111巷,11弄,,,5號,120.558272302089,22.6440365501516
屏東縣內埔鄉竹圍村15鄰福原路111巷11弄7號,10013,1001313,1001313-011,15鄰,福原路,,111巷,11弄,,,7號,120.558275451568,22.6440252701415
屏東縣內埔鄉竹圍村15鄰福原路111巷11弄9號,10013,1001313,1001313-011,15鄰,福原路,,111巷,11弄,,,9號,120.558408886917,22.6437676234756
屏東縣內埔鄉竹圍村15鄰福原路111巷11弄11號,10013,1001313,1001313-011,15鄰,福原路,,111巷,11弄,,,11號,120.55837468342,22.6436625896199
屏東縣內埔鄉竹圍村15鄰福原路111巷11弄13號,10013,1001313,1001313-011,15鄰,福原路,,111巷,11弄,,,13號,120.558347889805,22.6435831337585
屏東縣內埔鄉竹圍村15鄰福原路111巷11弄15號,10013,1001313,1001313-011,15鄰,福原路,,111巷,11弄,,,15號,120.558330593966,22.6434848293701
屏東縣內埔鄉竹圍村15鄰福原路111巷12弄1號,10013,1001313,1001313-011,15鄰,福原路,,111巷,12弄,,,1號,120.557820854509,22.6440984320219
屏東縣內埔鄉竹圍村15鄰福原路111巷12弄2號,10013,1001313,1001313-011,15鄰,福原路,,111巷,12弄,,,2號,120.557775973448,22.6441073391818
屏東縣內埔鄉竹圍村15鄰福原路111巷12弄3號,10013,1001313,1001313-011,15鄰,福原路,,111巷,12弄,,,3號,120.557814263882,22.644120900909
屏東縣內埔鄉竹圍村15鄰福原路111巷12弄5號,10013,1001313,1001313-011,15鄰,福原路,,111巷,12弄,,,5號,120.557814198836,22.644141220366
屏東縣內埔鄉竹圍村15鄰福原路111巷12弄6號,10013,1001313,1001313-011,15鄰,福原路,,111巷,12弄,,,6號,120.557845002378,22.6440013256026
屏東縣內埔鄉竹圍村15鄰福原路111巷12弄7號,10013,1001313,1001313-011,15鄰,福原路,,111巷,12弄,,,7號,120.557807420558,22.6441615213072
屏東縣內埔鄉竹圍村15鄰福原路111巷12弄8號,10013,1001313,1001313-011,15鄰,福原路,,111巷,12弄,,,8號,120.557840948319,22.6440216340587
屏東縣內埔鄉竹圍村15鄰福原路111巷12弄9號,10013,1001313,1001313-011,15鄰,福原路,,111巷,12弄,,,9號,120.557809531809,22.6441706483892
屏東縣內埔鄉竹圍村15鄰福原路111巷12弄10號,10013,1001313,1001313-011,15鄰,福原路,,111巷,12弄,,,10號,120.557834919199,22.6440510583267
屏東縣內埔鄉竹圍村15鄰福原路111巷12弄12號,10013,1001313,1001313-011,15鄰,福原路,,111巷,12弄,,,12號,120.557823665444,22.6440713469258
屏東縣內埔鄉竹圍村15鄰福原路111巷16弄2號,10013,1001313,1001313-011,15鄰,福原路,,111巷,16弄,,,2號,120.557927477733,22.6440106742969
屏東縣內埔鄉竹圍村15鄰福原路111巷16弄6號,10013,1001313,1001313-011,15鄰,福原路,,111巷,16弄,,,6號,120.557916973438,22.6440399959191
屏東縣內埔鄉竹圍村15鄰福原路111巷16弄8號,10013,1001313,1001313-011,15鄰,福原路,,111巷,16弄,,,8號,120.557907510458,22.6440783513614
屏東縣內埔鄉竹圍村15鄰福原路111巷16弄10號,10013,1001313,1001313-011,15鄰,福原路,,111巷,16弄,,,10號,120.55789680463,22.6441098398541
