FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
屏東縣恆春鎮山腳里19鄰福城街3號,10013,1001304,1001304-004,19鄰,福城街,,,,,,3號,120.747300169084,21.996170501158
屏東縣恆春鎮山腳里19鄰福城街5號,10013,1001304,1001304-004,19鄰,福城街,,,,,,5號,120.747165333825,21.9961292890208
屏東縣恆春鎮山腳里19鄰福城街9號,10013,1001304,1001304-004,19鄰,福城街,,,,,,9號,120.74717341729,21.9962677589382
屏東縣恆春鎮山腳里23鄰福城街30號,10013,1001304,1001304-004,23鄰,福城街,,,,,,30號,120.747171589117,21.9969714234393
屏東縣恆春鎮山腳里23鄰福城街32號,10013,1001304,1001304-004,23鄰,福城街,,,,,,32號,120.747153511913,21.9970072518077
屏東縣恆春鎮山腳里23鄰福城街33號,10013,1001304,1001304-004,23鄰,福城街,,,,,,33號,120.746967886765,21.9969890826061
屏東縣恆春鎮山腳里23鄰福城街36號,10013,1001304,1001304-004,23鄰,福城街,,,,,,36號,120.747139407534,21.9970419121648
屏東縣恆春鎮山腳里23鄰福城街38號,10013,1001304,1001304-004,23鄰,福城街,,,,,,38號,120.747125197976,21.9970812688926
屏東縣恆春鎮山腳里23鄰福城街40號,10013,1001304,1001304-004,23鄰,福城街,,,,,,40號,120.747102072017,21.9971242245904
屏東縣恆春鎮山腳里23鄰福城街42號,10013,1001304,1001304-004,23鄰,福城街,,,,,,42號,120.747081552446,21.9971719711557
屏東縣恆春鎮山腳里23鄰福城街45號,10013,1001304,1001304-004,23鄰,福城街,,,,,,45號,120.746881735245,21.9971831333099
屏東縣恆春鎮山腳里23鄰福城街46號,10013,1001304,1001304-004,23鄰,福城街,,,,,,46號,120.747053734047,21.9972395764148
屏東縣恆春鎮山腳里23鄰福城街48號,10013,1001304,1001304-004,23鄰,福城街,,,,,,48號,120.747030085202,21.9973042979241
屏東縣恆春鎮山腳里23鄰福城街52號,10013,1001304,1001304-004,23鄰,福城街,,,,,,52號,120.746963073014,21.9974643283077
屏東縣恆春鎮山腳里23鄰福城街53號,10013,1001304,1001304-004,23鄰,福城街,,,,,,53號,120.746765697911,21.9974089297471
屏東縣恆春鎮山腳里23鄰福城街55號,10013,1001304,1001304-004,23鄰,福城街,,,,,,55號,120.746504518349,21.9974522402028
屏東縣恆春鎮山腳里23鄰福城街56號,10013,1001304,1001304-004,23鄰,福城街,,,,,,56號,120.746952739365,21.9975025168636
屏東縣恆春鎮山腳里23鄰福城街58號,10013,1001304,1001304-004,23鄰,福城街,,,,,,58號,120.746937276932,21.9975383492388
屏東縣恆春鎮山腳里23鄰福城街60號,10013,1001304,1001304-004,23鄰,福城街,,,,,,60號,120.746919300771,21.9975717391488
屏東縣恆春鎮山腳里23鄰福城街62號,10013,1001304,1001304-004,23鄰,福城街,,,,,,62號,120.746901298961,21.9976195798907
屏東縣恆春鎮山腳里23鄰福城街66號,10013,1001304,1001304-004,23鄰,福城街,,,,,,66號,120.746885832336,21.9976577605208
屏東縣恆春鎮山腳里23鄰福城街68號,10013,1001304,1001304-004,23鄰,福城街,,,,,,68號,120.74687288792,21.9976935967746
屏東縣恆春鎮山腳里23鄰福城街70號,10013,1001304,1001304-004,23鄰,福城街,,,,,,70號,120.746974383197,21.9978584030124
屏東縣恆春鎮山腳里23鄰福城街100號,10013,1001304,1001304-004,23鄰,福城街,,,,,,100號,120.746611968667,21.9984624319126
