FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
屏東縣新園鄉興龍村14鄰臥龍路一巷9弄1號,10013,1001317,1001317-009,14鄰,臥龍路,,一巷,9弄,,,1號,120.458686850732,22.4920880431816
屏東縣新園鄉興龍村14鄰臥龍路一巷9弄2號,10013,1001317,1001317-009,14鄰,臥龍路,,一巷,9弄,,,2號,120.458702061739,22.4921751533378
屏東縣新園鄉興龍村14鄰臥龍路一巷9弄3號,10013,1001317,1001317-009,14鄰,臥龍路,,一巷,9弄,,,3號,120.458728016932,22.4920735511809
屏東縣新園鄉興龍村14鄰臥龍路一巷9弄4號,10013,1001317,1001317-009,14鄰,臥龍路,,一巷,9弄,,,4號,120.458741847703,22.4921657140717
屏東縣新園鄉興龍村14鄰臥龍路一巷9弄5號,10013,1001317,1001317-009,14鄰,臥龍路,,一巷,9弄,,,5號,120.458762823948,22.492069875043
屏東縣新園鄉興龍村14鄰臥龍路一巷9弄6號,10013,1001317,1001317-009,14鄰,臥龍路,,一巷,9弄,,,6號,120.458787936649,22.4921599083711
屏東縣新園鄉興龍村14鄰臥龍路一巷9弄7號,10013,1001317,1001317-009,14鄰,臥龍路,,一巷,9弄,,,7號,120.458811540019,22.4920632653652
屏東縣新園鄉興龍村14鄰臥龍路一巷9弄8號,10013,1001317,1001317-009,14鄰,臥龍路,,一巷,9弄,,,8號,120.458823250681,22.4921508153088
屏東縣新園鄉興龍村14鄰臥龍路一巷9弄9號,10013,1001317,1001317-009,14鄰,臥龍路,,一巷,9弄,,,9號,120.45884469664,22.4920591321164
屏東縣新園鄉興龍村14鄰臥龍路一巷9弄10號,10013,1001317,1001317-009,14鄰,臥龍路,,一巷,9弄,,,10號,120.458858943618,22.4921442521975
屏東縣新園鄉興龍村14鄰臥龍路一巷9弄12號,10013,1001317,1001317-009,14鄰,臥龍路,,一巷,9弄,,,12號,120.458899214435,22.492135085451
屏東縣新園鄉興龍村14鄰臥龍路一巷1號,10013,1001317,1001317-009,14鄰,臥龍路,,一巷,,,,1號,120.458522041183,22.4919833618566
屏東縣新園鄉興龍村1鄰臥龍路1之19號,10013,1001317,1001317-009,1鄰,臥龍路,,,,,,1之19號,120.458286108313,22.4908256948467
屏東縣新園鄉興龍村1鄰臥龍路1之10號,10013,1001317,1001317-009,1鄰,臥龍路,,,,,,1之10號,120.458566262533,22.4910586432288
屏東縣新園鄉興龍村1鄰臥龍路1之13號,10013,1001317,1001317-009,1鄰,臥龍路,,,,,,1之13號,120.458513409552,22.4909546088875
屏東縣新園鄉興龍村1鄰臥龍路1之17號,10013,1001317,1001317-009,1鄰,臥龍路,,,,,,1之17號,120.458298827307,22.4909037656478
屏東縣新園鄉興龍村1鄰臥龍路1之18號,10013,1001317,1001317-009,1鄰,臥龍路,,,,,,1之18號,120.45828743356,22.4908597462639
屏東縣新園鄉興龍村1鄰臥龍路1之20號,10013,1001317,1001317-009,1鄰,臥龍路,,,,,,1之20號,120.458271383599,22.4907885278448
屏東縣新園鄉興龍村1鄰臥龍路1之21號,10013,1001317,1001317-009,1鄰,臥龍路,,,,,,1之21號,120.45826734669,22.4907520289365
屏東縣新園鄉興龍村1鄰臥龍路1之22號,10013,1001317,1001317-009,1鄰,臥龍路,,,,,,1之22號,120.458482387496,22.4907598860769
屏東縣新園鄉興龍村1鄰臥龍路1之5號,10013,1001317,1001317-009,1鄰,臥龍路,,,,,,1之5號,120.458671358122,22.4914486849533
屏東縣新園鄉興龍村1鄰臥龍路1之7號,10013,1001317,1001317-009,1鄰,臥龍路,,,,,,1之7號,120.458342453409,22.4911311328435
屏東縣新園鄉興龍村1鄰臥龍路1之8號,10013,1001317,1001317-009,1鄰,臥龍路,,,,,,1之8號,120.458332369249,22.49110021285
屏東縣新園鄉興龍村1鄰臥龍路1之9號,10013,1001317,1001317-009,1鄰,臥龍路,,,,,,1之9號,120.458523932866,22.4910724991142
屏東縣新園鄉興龍村1鄰臥龍路1號之2,10013,1001317,1001317-009,1鄰,臥龍路,,,,,,1號之2,120.458722316708,22.4914151703773
屏東縣新園鄉興龍村1鄰臥龍路1號之11,10013,1001317,1001317-009,1鄰,臥龍路,,,,,,1號之11,120.45861248308,22.4910438972992
屏東縣新園鄉興龍村1鄰臥龍路1號之12,10013,1001317,1001317-009,1鄰,臥龍路,,,,,,1號之12,120.45855835451,22.4909180036071
屏東縣新園鄉興龍村1鄰臥龍路1號之20,10013,1001317,1001317-009,1鄰,臥龍路,,,,,,1號之20,120.458366515493,22.4907668118622
屏東縣新園鄉興龍村14鄰臥龍路1巷9弄11號,10013,1001317,1001317-009,14鄰,臥龍路,,1巷,9弄,,,11號,120.458885339671,22.4920542112039
屏東縣新園鄉興龍村14鄰臥龍路1巷13號,10013,1001317,1001317-009,14鄰,臥龍路,,1巷,,,,13號,120.458546832504,22.4922308951906
屏東縣新園鄉興龍村14鄰臥龍路2號,10013,1001317,1001317-009,14鄰,臥龍路,,,,,,2號,120.458965032915,22.4917541068823
屏東縣新園鄉興龍村14鄰臥龍路一巷3號,10013,1001317,1001317-009,14鄰,臥龍路,,一巷,,,,3號,120.458523795496,22.4920320449679
屏東縣新園鄉興龍村14鄰臥龍路4號,10013,1001317,1001317-009,14鄰,臥龍路,,,,,,4號,120.45891317474,22.4917690146024
屏東縣新園鄉興龍村14鄰臥龍路一巷5號,10013,1001317,1001317-009,14鄰,臥龍路,,一巷,,,,5號,120.458516662893,22.4920667904454
屏東縣新園鄉興龍村1鄰臥龍路5巷25號,10013,1001317,1001317-009,1鄰,臥龍路,,5巷,,,,25號,120.458239875075,22.4906689414815
屏東縣新園鄉興龍村1鄰臥龍路5巷25之1號,10013,1001317,1001317-009,1鄰,臥龍路,,5巷,,,,25之1號,120.458281392373,22.4906640236528
屏東縣新園鄉興龍村1鄰臥龍路5巷25之2號,10013,1001317,1001317-009,1鄰,臥龍路,,5巷,,,,25之2號,120.458305559408,22.4906473071702
屏東縣新園鄉興龍村1鄰臥龍路5巷25之3號,10013,1001317,1001317-009,1鄰,臥龍路,,5巷,,,,25之3號,120.458331063114,22.4906367362729
