FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
屏東縣滿州鄉里德村11鄰里德路4號,10013,1001324,1001324-002,11鄰,里德路,,,,,,4號,120.839437042597,22.0119025044147
屏東縣滿州鄉里德村11鄰里德路9號,10013,1001324,1001324-002,11鄰,里德路,,,,,,9號,120.841026767366,22.0125213784826
屏東縣滿州鄉里德村11鄰里德路9之6號,10013,1001324,1001324-002,11鄰,里德路,,,,,,9之6號,120.838023545765,22.0086150669643
屏東縣滿州鄉里德村11鄰里德路10號,10013,1001324,1001324-002,11鄰,里德路,,,,,,10號,120.841244217107,22.0125198731594
屏東縣滿州鄉里德村10鄰里德路13號,10013,1001324,1001324-002,10鄰,里德路,,,,,,13號,120.841049525828,22.0128718350899
屏東縣滿州鄉里德村10鄰里德路15號,10013,1001324,1001324-002,10鄰,里德路,,,,,,15號,120.841508337484,22.0127063648131
屏東縣滿州鄉里德村10鄰里德路15之2號,10013,1001324,1001324-002,10鄰,里德路,,,,,,15之2號,120.841623696473,22.0127063859827
屏東縣滿州鄉里德村10鄰里德路16號,10013,1001324,1001324-002,10鄰,里德路,,,,,,16號,120.841679480303,22.0127998288653
屏東縣滿州鄉里德村10鄰里德路17號,10013,1001324,1001324-002,10鄰,里德路,,,,,,17號,120.841874527002,22.0128244933435
屏東縣滿州鄉里德村10鄰里德路18之1號,10013,1001324,1001324-002,10鄰,里德路,,,,,,18之1號,120.841863776093,22.0129987067433
屏東縣滿州鄉里德村10鄰里德路19號,10013,1001324,1001324-002,10鄰,里德路,,,,,,19號,120.841941563838,22.0130771779414
屏東縣滿州鄉里德村10鄰里德路20號,10013,1001324,1001324-002,10鄰,里德路,,,,,,20號,120.842033995417,22.0131394059416
屏東縣滿州鄉里德村10鄰里德路20之1號,10013,1001324,1001324-002,10鄰,里德路,,,,,,20之1號,120.842218527854,22.0127753304294
屏東縣滿州鄉里德村9鄰里德路20之2號,10013,1001324,1001324-002,9鄰,里德路,,,,,,20之2號,120.84237924425,22.0126630388951
屏東縣滿州鄉里德村10鄰里德路20之3號,10013,1001324,1001324-002,10鄰,里德路,,,,,,20之3號,120.842494761435,22.0124322063191
屏東縣滿州鄉里德村9鄰里德路20之5號,10013,1001324,1001324-002,9鄰,里德路,,,,,,20之5號,120.842284470303,22.0125294574666
屏東縣滿州鄉里德村9鄰里德路20之6號,10013,1001324,1001324-002,9鄰,里德路,,,,,,20之6號,120.842416977555,22.0127007378537
屏東縣滿州鄉里德村10鄰里德路21號,10013,1001324,1001324-002,10鄰,里德路,,,,,,21號,120.842108487218,22.0132204931111
屏東縣滿州鄉里德村10鄰里德路21之1號,10013,1001324,1001324-002,10鄰,里德路,,,,,,21之1號,120.842502133061,22.0134747561764
屏東縣滿州鄉里德村10鄰里德路22號,10013,1001324,1001324-002,10鄰,里德路,,,,,,22號,120.842073667439,22.0131757520726
屏東縣滿州鄉里德村9鄰里德路24號,10013,1001324,1001324-002,9鄰,里德路,,,,,,24號,120.841346071067,22.0127312259907
屏東縣滿州鄉里德村9鄰里德路25號,10013,1001324,1001324-002,9鄰,里德路,,,,,,25號,120.841960362886,22.0133317126901
屏東縣滿州鄉里德村9鄰里德路26號,10013,1001324,1001324-002,9鄰,里德路,,,,,,26號,120.842146606807,22.0134342226279
屏東縣滿州鄉里德村9鄰里德路26之1號,10013,1001324,1001324-002,9鄰,里德路,,,,,,26之1號,120.841782227979,22.0135156996188
屏東縣滿州鄉里德村8鄰里德路27之2號,10013,1001324,1001324-002,8鄰,里德路,,,,,,27之2號,120.842800526695,22.0136779875308
屏東縣滿州鄉里德村8鄰里德路27號,10013,1001324,1001324-002,8鄰,里德路,,,,,,27號,120.842738815225,22.013600977256
屏東縣滿州鄉里德村8鄰里德路31號,10013,1001324,1001324-002,8鄰,里德路,,,,,,31號,120.843130451153,22.0144513368105
屏東縣滿州鄉里德村8鄰里德路33號,10013,1001324,1001324-002,8鄰,里德路,,,,,,33號,120.842908906734,22.0139469686291
屏東縣滿州鄉里德村8鄰里德路35號,10013,1001324,1001324-002,8鄰,里德路,,,,,,35號,120.842988334579,22.0141202749783
屏東縣滿州鄉里德村8鄰里德路37號,10013,1001324,1001324-002,8鄰,里德路,,,,,,37號,120.843005206157,22.0141919134463
屏東縣滿州鄉里德村8鄰里德路39號,10013,1001324,1001324-002,8鄰,里德路,,,,,,39號,120.843069004392,22.0143093881548
屏東縣滿州鄉里德村8鄰里德路40號,10013,1001324,1001324-002,8鄰,里德路,,,,,,40號,120.842867234006,22.0137921233404
屏東縣滿州鄉里德村8鄰里德路42號,10013,1001324,1001324-002,8鄰,里德路,,,,,,42號,120.843759288659,22.0134597922249
屏東縣滿州鄉里德村8鄰里德路43號,10013,1001324,1001324-002,8鄰,里德路,,,,,,43號,120.843145715082,22.01448765932
屏東縣滿州鄉里德村8鄰里德路45號,10013,1001324,1001324-002,8鄰,里德路,,,,,,45號,120.842487708881,22.0138182223347
屏東縣滿州鄉里德村8鄰里德路45之1號,10013,1001324,1001324-002,8鄰,里德路,,,,,,45之1號,120.842269085641,22.0137405191311
屏東縣滿州鄉里德村8鄰里德路47之1號,10013,1001324,1001324-002,8鄰,里德路,,,,,,47之1號,120.84348988123,22.0139384022081
屏東縣滿州鄉里德村8鄰里德路47之2號,10013,1001324,1001324-002,8鄰,里德路,,,,,,47之2號,120.844424984136,22.0132115987441
屏東縣滿州鄉里德村8鄰里德路47之3號,10013,1001324,1001324-002,8鄰,里德路,,,,,,47之3號,120.848131465492,22.0113342880284
屏東縣滿州鄉里德村8鄰里德路47之8號,10013,1001324,1001324-002,8鄰,里德路,,,,,,47之8號,120.845465324513,22.0111801523021
屏東縣滿州鄉里德村8鄰里德路49之1號,10013,1001324,1001324-002,8鄰,里德路,,,,,,49之1號,120.843288676247,22.0146678904768
屏東縣滿州鄉里德村7鄰里德路50號,10013,1001324,1001324-002,7鄰,里德路,,,,,,50號,120.844168285586,22.0145600762676
屏東縣滿州鄉里德村7鄰里德路51號,10013,1001324,1001324-002,7鄰,里德路,,,,,,51號,120.843350693423,22.0148199552252
屏東縣滿州鄉里德村7鄰里德路51之1號,10013,1001324,1001324-002,7鄰,里德路,,,,,,51之1號,120.84333751301,22.0150029272275
屏東縣滿州鄉里德村8鄰里德路52號,10013,1001324,1001324-002,8鄰,里德路,,,,,,52號,120.843468457539,22.0143954820194
屏東縣滿州鄉里德村7鄰里德路53之1號,10013,1001324,1001324-002,7鄰,里德路,,,,,,53之1號,120.843621274272,22.0158339445978
屏東縣滿州鄉里德村7鄰里德路54號,10013,1001324,1001324-002,7鄰,里德路,,,,,,54號,120.843103338226,22.0149720853991
屏東縣滿州鄉里德村7鄰里德路55號,10013,1001324,1001324-002,7鄰,里德路,,,,,,55號,120.844097140085,22.0154913695282
屏東縣滿州鄉里德村7鄰里德路55之1號,10013,1001324,1001324-002,7鄰,里德路,,,,,,55之1號,120.843999446141,22.0154560525006
屏東縣滿州鄉里德村7鄰里德路57號,10013,1001324,1001324-002,7鄰,里德路,,,,,,57號,120.843425505274,22.0151402045869
