FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
屏東縣枋寮鄉隆山村3鄰金山路101號,10013,1001316,1001316-006,3鄰,金山路,,,,,,101號,120.60261371018,22.3594079873973
屏東縣枋寮鄉隆山村3鄰金山路103號,10013,1001316,1001316-006,3鄰,金山路,,,,,,103號,120.602596049682,22.3594383795474
屏東縣枋寮鄉隆山村3鄰金山路105號,10013,1001316,1001316-006,3鄰,金山路,,,,,,105號,120.602570342601,22.3594644169198
屏東縣枋寮鄉隆山村3鄰金山路107巷1號,10013,1001316,1001316-006,3鄰,金山路,,107巷,,,,1號,120.602425750051,22.3593678785776
屏東縣枋寮鄉隆山村3鄰金山路107巷2號,10013,1001316,1001316-006,3鄰,金山路,,107巷,,,,2號,120.60235383006,22.3594607243988
屏東縣枋寮鄉隆山村3鄰金山路107巷3號,10013,1001316,1001316-006,3鄰,金山路,,107巷,,,,3號,120.602394832438,22.3593482047328
屏東縣枋寮鄉隆山村3鄰金山路107巷4號,10013,1001316,1001316-006,3鄰,金山路,,107巷,,,,4號,120.602323005943,22.3594423151525
屏東縣枋寮鄉隆山村3鄰金山路107巷5號,10013,1001316,1001316-006,3鄰,金山路,,107巷,,,,5號,120.602360322071,22.3593286123724
屏東縣枋寮鄉隆山村3鄰金山路107巷6號,10013,1001316,1001316-006,3鄰,金山路,,107巷,,,,6號,120.602288395393,22.3594238062872
屏東縣枋寮鄉隆山村3鄰金山路107巷7號,10013,1001316,1001316-006,3鄰,金山路,,107巷,,,,7號,120.602327083688,22.3593055912333
屏東縣枋寮鄉隆山村3鄰金山路107巷8號,10013,1001316,1001316-006,3鄰,金山路,,107巷,,,,8號,120.602257584369,22.359400791096
屏東縣枋寮鄉隆山村3鄰金山路109號,10013,1001316,1001316-006,3鄰,金山路,,,,,,109號,120.602501204864,22.3595348720025
屏東縣枋寮鄉隆山村3鄰金山路111號,10013,1001316,1001316-006,3鄰,金山路,,,,,,111號,120.602480042757,22.3595674230556
屏東縣枋寮鄉隆山村3鄰金山路113號,10013,1001316,1001316-006,3鄰,金山路,,,,,,113號,120.602461308271,22.3595998897529
