FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
屏東縣三地門鄉德文村12鄰魯凱街31號,10013,1001326,1001326-003,12鄰,魯凱街,,,,,,31號,120.584302441359,22.6961997926006
屏東縣三地門鄉德文村12鄰魯凱街35號,10013,1001326,1001326-003,12鄰,魯凱街,,,,,,35號,120.58424588181,22.6961709273729
屏東縣三地門鄉德文村12鄰魯凱街37號,10013,1001326,1001326-003,12鄰,魯凱街,,,,,,37號,120.584233070192,22.6961589732842
屏東縣三地門鄉德文村12鄰魯凱街49號,10013,1001326,1001326-003,12鄰,魯凱街,,,,,,49號,120.583847755329,22.6958306011974
屏東縣三地門鄉德文村12鄰魯凱街51號,10013,1001326,1001326-003,12鄰,魯凱街,,,,,,51號,120.583798884822,22.6958018461164
屏東縣三地門鄉德文村12鄰魯凱街57號,10013,1001326,1001326-003,12鄰,魯凱街,,,,,,57號,120.583616655351,22.6956173220918
屏東縣三地門鄉德文村12鄰魯凱街59號,10013,1001326,1001326-003,12鄰,魯凱街,,,,,,59號,120.583552360025,22.6955718196145
屏東縣三地門鄉德文村12鄰魯凱街61號,10013,1001326,1001326-003,12鄰,魯凱街,,,,,,61號,120.583470221314,22.6955046867897
屏東縣三地門鄉德文村12鄰魯凱街63號,10013,1001326,1001326-003,12鄰,魯凱街,,,,,,63號,120.583418752316,22.6954662617535
屏東縣三地門鄉達來村7鄰魯凱街33號,10013,1001326,1001326-002,7鄰,魯凱街,,,,,,33號,120.584274132698,22.6961949326823
屏東縣霧臺鄉佳暮村3鄰魯凱街79號,10013,1001327,1001327-005,3鄰,魯凱街,,,,,,79號,120.58298807836,22.6950759077865
屏東縣霧臺鄉佳暮村3鄰魯凱街81號,10013,1001327,1001327-005,3鄰,魯凱街,,,,,,81號,120.582933513704,22.6950313335086
屏東縣霧臺鄉佳暮村3鄰魯凱街87號,10013,1001327,1001327-005,3鄰,魯凱街,,,,,,87號,120.582658329338,22.6948169447445
屏東縣霧臺鄉佳暮村3鄰魯凱街89號,10013,1001327,1001327-005,3鄰,魯凱街,,,,,,89號,120.582610597086,22.6947660665345
屏東縣霧臺鄉佳暮村2鄰魯凱街97號,10013,1001327,1001327-005,2鄰,魯凱街,,,,,,97號,120.582370012493,22.6945041745956
屏東縣霧臺鄉佳暮村2鄰魯凱街99號,10013,1001327,1001327-005,2鄰,魯凱街,,,,,,99號,120.582311429304,22.6944689817718
屏東縣霧臺鄉佳暮村2鄰魯凱街101號,10013,1001327,1001327-005,2鄰,魯凱街,,,,,,101號,120.58226264968,22.694410514758
屏東縣霧臺鄉佳暮村2鄰魯凱街103號,10013,1001327,1001327-005,2鄰,魯凱街,,,,,,103號,120.582213826834,22.6943663164602
屏東縣霧臺鄉佳暮村1鄰魯凱街107號(佳暮多功能集會所),10013,1001327,1001327-005,1鄰,魯凱街,,,,,,107號(佳暮多功能集會所),120.582010449682,22.6942562404565
屏東縣霧臺鄉佳暮村1鄰魯凱街111號,10013,1001327,1001327-005,1鄰,魯凱街,,,,,,111號,120.581844337877,22.6940539656259
屏東縣霧臺鄉佳暮村1鄰魯凱街113號,10013,1001327,1001327-005,1鄰,魯凱街,,,,,,113號,120.581791314535,22.6940149038468
屏東縣霧臺鄉佳暮村1鄰魯凱街115號,10013,1001327,1001327-005,1鄰,魯凱街,,,,,,115號,120.581735484319,22.6939706870942
屏東縣霧臺鄉佳暮村1鄰魯凱街117號,10013,1001327,1001327-005,1鄰,魯凱街,,,,,,117號,120.581682453364,22.6939341539153
屏東縣霧臺鄉佳暮村1鄰魯凱街121號,10013,1001327,1001327-005,1鄰,魯凱街,,,,,,121號,120.581593315485,22.6938327746802
屏東縣霧臺鄉佳暮村1鄰魯凱街123號,10013,1001327,1001327-005,1鄰,魯凱街,,,,,,123號,120.581534736622,22.6937963172585
屏東縣霧臺鄉佳暮村1鄰魯凱街125號,10013,1001327,1001327-005,1鄰,魯凱街,,,,,,125號,120.58148459908,22.6937364918223
屏東縣霧臺鄉佳暮村1鄰魯凱街127號,10013,1001327,1001327-005,1鄰,魯凱街,,,,,,127號,120.581425922958,22.6937000341069
屏東縣霧臺鄉阿禮村1鄰魯凱街233號,10013,1001327,1001327-002,1鄰,魯凱街,,,,,,233號,120.578708201661,22.6914070891646
屏東縣霧臺鄉阿禮村1鄰魯凱街235號,10013,1001327,1001327-002,1鄰,魯凱街,,,,,,235號,120.57863073575,22.6913730193259
屏東縣霧臺鄉阿禮村1鄰魯凱街237號,10013,1001327,1001327-002,1鄰,魯凱街,,,,,,237號,120.578580819303,22.6913052463664
