FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺東縣鹿野鄉鹿野村10鄰中新路1號,10014,1001405,1001405-006,10鄰,中新路,,,,,,1號,121.136325041934,22.9118380378004
臺東縣鹿野鄉鹿野村8鄰中新路2號,10014,1001405,1001405-006,8鄰,中新路,,,,,,2號,121.136337976679,22.9116804298715
臺東縣鹿野鄉鹿野村10鄰中新路3號,10014,1001405,1001405-006,10鄰,中新路,,,,,,3號,121.136371263475,22.9118220226115
臺東縣鹿野鄉鹿野村10鄰中新路5號,10014,1001405,1001405-006,10鄰,中新路,,,,,,5號,121.136410484703,22.9118051916155
臺東縣鹿野鄉鹿野村10鄰中新路7號,10014,1001405,1001405-006,10鄰,中新路,,,,,,7號,121.136447045825,22.9117896272093
臺東縣鹿野鄉鹿野村10鄰中新路9號,10014,1001405,1001405-006,10鄰,中新路,,,,,,9號,121.136485404025,22.9118650467549
臺東縣鹿野鄉鹿野村10鄰中新路11號,10014,1001405,1001405-006,10鄰,中新路,,,,,,11號,121.13652670216,22.9118389392947
臺東縣鹿野鄉鹿野村8鄰中新路12巷6之1號,10014,1001405,1001405-006,8鄰,中新路,,12巷,,,,6之1號,121.136540890329,22.9115995562027
臺東縣鹿野鄉鹿野村8鄰中新路12巷8號,10014,1001405,1001405-006,8鄰,中新路,,12巷,,,,8號,121.136559493238,22.9114951258774
臺東縣鹿野鄉鹿野村8鄰中新路12巷10號,10014,1001405,1001405-006,8鄰,中新路,,12巷,,,,10號,121.136551006752,22.9113730997054
臺東縣鹿野鄉鹿野村8鄰中新路12巷18之1號,10014,1001405,1001405-006,8鄰,中新路,,12巷,,,,18之1號,121.136570259211,22.9112067173931
臺東縣鹿野鄉鹿野村7鄰中新路31巷2號,10014,1001405,1001405-006,7鄰,中新路,,31巷,,,,2號,121.13761088255,22.9108448846575
臺東縣鹿野鄉鹿野村7鄰中新路31巷12號,10014,1001405,1001405-006,7鄰,中新路,,31巷,,,,12號,121.137730229228,22.9112265049621
臺東縣鹿野鄉鹿野村7鄰中新路31巷16號,10014,1001405,1001405-006,7鄰,中新路,,31巷,,,,16號,121.137872104187,22.9113561547794
臺東縣鹿野鄉鹿野村7鄰中新路31巷18號,10014,1001405,1001405-006,7鄰,中新路,,31巷,,,,18號,121.137785035226,22.9113129997835
臺東縣鹿野鄉鹿野村7鄰中新路31巷20號,10014,1001405,1001405-006,7鄰,中新路,,31巷,,,,20號,121.137625113888,22.9113359321877
臺東縣鹿野鄉鹿野村7鄰中新路31巷26號,10014,1001405,1001405-006,7鄰,中新路,,31巷,,,,26號,121.137660799916,22.911660803057
臺東縣鹿野鄉鹿野村7鄰中新路31巷38號,10014,1001405,1001405-006,7鄰,中新路,,31巷,,,,38號,121.137680653917,22.9117728312244
臺東縣鹿野鄉鹿野村7鄰中新路31巷40號,10014,1001405,1001405-006,7鄰,中新路,,31巷,,,,40號,121.137746230835,22.9117710404624
臺東縣鹿野鄉鹿野村7鄰中新路31巷42號,10014,1001405,1001405-006,7鄰,中新路,,31巷,,,,42號,121.137868018656,22.9117794508822
臺東縣鹿野鄉鹿野村7鄰中新路31巷58號,10014,1001405,1001405-006,7鄰,中新路,,31巷,,,,58號,121.137596111008,22.9130543234027
臺東縣鹿野鄉鹿野村7鄰中新路31巷60號,10014,1001405,1001405-006,7鄰,中新路,,31巷,,,,60號,121.137688314579,22.9130935185402
臺東縣鹿野鄉鹿野村7鄰中新路31巷62號,10014,1001405,1001405-006,7鄰,中新路,,31巷,,,,62號,121.137595999246,22.9132623303181
臺東縣鹿野鄉鹿野村7鄰中新路31巷66號,10014,1001405,1001405-006,7鄰,中新路,,31巷,,,,66號,121.137702693088,22.9135173855475
臺東縣鹿野鄉鹿野村6鄰中新路32巷2號,10014,1001405,1001405-006,6鄰,中新路,,32巷,,,,2號,121.136587995535,22.9106849645676
臺東縣鹿野鄉鹿野村6鄰中新路32巷3號,10014,1001405,1001405-006,6鄰,中新路,,32巷,,,,3號,121.136931805121,22.9105191968892
臺東縣鹿野鄉鹿野村6鄰中新路38巷12號,10014,1001405,1001405-006,6鄰,中新路,,38巷,,,,12號,121.138602184001,22.9095924595753
臺東縣鹿野鄉鹿野村7鄰中新路38巷12號,10014,1001405,1001405-006,7鄰,中新路,,38巷,,,,12號,121.138602184001,22.9095924595753
臺東縣鹿野鄉鹿野村7鄰中新路42號,10014,1001405,1001405-006,7鄰,中新路,,,,,,42號,121.138437922322,22.910849557549
臺東縣鹿野鄉鹿野村7鄰中新路46巷3號,10014,1001405,1001405-006,7鄰,中新路,,46巷,,,,3號,121.138604323703,22.9100958446996
臺東縣鹿野鄉鹿野村7鄰中新路48巷1號,10014,1001405,1001405-006,7鄰,中新路,,48巷,,,,1號,121.138970220338,22.9104953646413
臺東縣鹿野鄉鹿野村7鄰中新路48巷2號,10014,1001405,1001405-006,7鄰,中新路,,48巷,,,,2號,121.138881584332,22.9103778608686
臺東縣鹿野鄉鹿野村7鄰中新路48巷6號,10014,1001405,1001405-006,7鄰,中新路,,48巷,,,,6號,121.138900278093,22.9102592698553
臺東縣鹿野鄉鹿野村7鄰中新路48巷18號,10014,1001405,1001405-006,7鄰,中新路,,48巷,,,,18號,121.139042412565,22.9090946572798
臺東縣鹿野鄉鹿野村7鄰中新路48巷22號,10014,1001405,1001405-006,7鄰,中新路,,48巷,,,,22號,121.139024263749,22.9089443190094
臺東縣鹿野鄉鹿野村7鄰中新路48巷26號,10014,1001405,1001405-006,7鄰,中新路,,48巷,,,,26號,121.139206611966,22.9087197885774
臺東縣鹿野鄉鹿野村7鄰中新路48巷32號,10014,1001405,1001405-006,7鄰,中新路,,48巷,,,,32號,121.138983220371,22.9085591181084
臺東縣鹿野鄉鹿野村7鄰中新路48巷38號,10014,1001405,1001405-006,7鄰,中新路,,48巷,,,,38號,121.139151745769,22.908287576328
臺東縣鹿野鄉鹿野村7鄰中新路48巷42號,10014,1001405,1001405-006,7鄰,中新路,,48巷,,,,42號,121.138960953296,22.907705959631
