FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺東縣臺東市馬蘭里8鄰新社一街1巷1號,10014,1001401,1001401-010,8鄰,新社一街,,1巷,,,,1號,121.137696593193,22.7650868357481
臺東縣臺東市馬蘭里9鄰新社一街1巷2號,10014,1001401,1001401-010,9鄰,新社一街,,1巷,,,,2號,121.137534768116,22.7652068164005
臺東縣臺東市馬蘭里8鄰新社一街1巷3號,10014,1001401,1001401-010,8鄰,新社一街,,1巷,,,,3號,121.137654722461,22.7650512355852
臺東縣臺東市馬蘭里9鄰新社一街1巷4號,10014,1001401,1001401-010,9鄰,新社一街,,1巷,,,,4號,121.137507119248,22.765185102634
臺東縣臺東市馬蘭里8鄰新社一街1巷5號,10014,1001401,1001401-010,8鄰,新社一街,,1巷,,,,5號,121.137613728688,22.7650161403904
臺東縣臺東市馬蘭里9鄰新社一街1巷6號,10014,1001401,1001401-010,9鄰,新社一街,,1巷,,,,6號,121.137465240569,22.7651512725017
臺東縣臺東市馬蘭里8鄰新社一街1巷7號,10014,1001401,1001401-010,8鄰,新社一街,,1巷,,,,7號,121.137573769702,22.7649835639382
臺東縣臺東市馬蘭里9鄰新社一街1巷8號,10014,1001401,1001401-010,9鄰,新社一街,,1巷,,,,8號,121.137430638708,22.7651198473679
臺東縣臺東市馬蘭里9鄰新社一街1巷10號,10014,1001401,1001401-010,9鄰,新社一街,,1巷,,,,10號,121.137392129451,22.7650860052847
臺東縣臺東市馬蘭里8鄰新社一街1巷11號,10014,1001401,1001401-010,8鄰,新社一街,,1巷,,,,11號,121.13749145234,22.7649145478075
臺東縣臺東市馬蘭里9鄰新社一街1巷12號,10014,1001401,1001401-010,9鄰,新社一街,,1巷,,,,12號,121.137350252637,22.7650539813171
臺東縣臺東市馬蘭里8鄰新社一街1巷13號,10014,1001401,1001401-010,8鄰,新社一街,,1巷,,,,13號,121.137447083944,22.7648838716268
臺東縣臺東市馬蘭里9鄰新社一街1巷14號,10014,1001401,1001401-010,9鄰,新社一街,,1巷,,,,14號,121.13730089371,22.7650187126179
臺東縣臺東市馬蘭里8鄰新社一街1巷15號,10014,1001401,1001401-010,8鄰,新社一街,,1巷,,,,15號,121.137413473934,22.7648509374595
臺東縣臺東市馬蘭里9鄰新社一街1巷16號,10014,1001401,1001401-010,9鄰,新社一街,,1巷,,,,16號,121.137255555201,22.7649819864584
臺東縣臺東市馬蘭里8鄰新社一街1巷17號,10014,1001401,1001401-010,8鄰,新社一街,,1巷,,,,17號,121.137368608742,22.764810336631
臺東縣臺東市馬蘭里9鄰新社一街1巷18號,10014,1001401,1001401-010,9鄰,新社一街,,1巷,,,,18號,121.137212361447,22.7649573509321
臺東縣臺東市馬蘭里8鄰新社一街1巷19號,10014,1001401,1001401-010,8鄰,新社一街,,1巷,,,,19號,121.137332114021,22.7647751381506
臺東縣臺東市馬蘭里9鄰新社一街1巷20號,10014,1001401,1001401-010,9鄰,新社一街,,1巷,,,,20號,121.137166057293,22.7649190090302
臺東縣臺東市馬蘭里8鄰新社一街1巷21號,10014,1001401,1001401-010,8鄰,新社一街,,1巷,,,,21號,121.137210241057,22.7646772477047
臺東縣臺東市馬蘭里9鄰新社一街1巷22號,10014,1001401,1001401-010,9鄰,新社一街,,1巷,,,,22號,121.137091567691,22.7647992860135
臺東縣臺東市馬蘭里8鄰新社一街1巷23號,10014,1001401,1001401-010,8鄰,新社一街,,1巷,,,,23號,121.137172221599,22.7646461234717
臺東縣臺東市馬蘭里9鄰新社一街1巷24號,10014,1001401,1001401-010,9鄰,新社一街,,1巷,,,,24號,121.137051134518,22.7647695094415
臺東縣臺東市馬蘭里8鄰新社一街1巷25號,10014,1001401,1001401-010,8鄰,新社一街,,1巷,,,,25號,121.137133713441,22.764613184421
臺東縣臺東市馬蘭里9鄰新社一街1巷26號,10014,1001401,1001401-010,9鄰,新社一街,,1巷,,,,26號,121.1370140658,22.7647347719607
臺東縣臺東市馬蘭里8鄰新社一街1巷27號,10014,1001401,1001401-010,8鄰,新社一街,,1巷,,,,27號,121.137097213612,22.7645825104139
臺東縣臺東市馬蘭里9鄰新社一街1巷28號,10014,1001401,1001401-010,9鄰,新社一街,,1巷,,,,28號,121.136983360137,22.7647040929558
臺東縣臺東市馬蘭里8鄰新社一街1巷29號,10014,1001401,1001401-010,8鄰,新社一街,,1巷,,,,29號,121.137057266515,22.7645518393574
臺東縣臺東市馬蘭里9鄰新社一街1巷30號,10014,1001401,1001401-010,9鄰,新社一街,,1巷,,,,30號,121.136940508364,22.7646707060359
臺東縣臺東市馬蘭里8鄰新社一街1巷31號,10014,1001401,1001401-010,8鄰,新社一街,,1巷,,,,31號,121.137018266099,22.7645134821093
臺東縣臺東市馬蘭里9鄰新社一街1巷32號,10014,1001401,1001401-010,9鄰,新社一街,,1巷,,,,32號,121.136899597654,22.764640487316
臺東縣臺東市馬蘭里8鄰新社一街1巷33號,10014,1001401,1001401-010,8鄰,新社一街,,1巷,,,,33號,121.136981692922,22.7644873236311
臺東縣臺東市馬蘭里9鄰新社一街1巷34號,10014,1001401,1001401-010,9鄰,新社一街,,1巷,,,,34號,121.136854264957,22.7646093602462
臺東縣臺東市馬蘭里8鄰新社一街1巷35號,10014,1001401,1001401-010,8鄰,新社一街,,1巷,,,,35號,121.136941256272,22.7644539436692
臺東縣臺東市馬蘭里9鄰新社一街1巷36號,10014,1001401,1001401-010,9鄰,新社一街,,1巷,,,,36號,121.13682594773,22.7645714543742
臺東縣臺東市馬蘭里8鄰新社一街1巷37號,10014,1001401,1001401-010,8鄰,新社一街,,1巷,,,,37號,121.136903712294,22.7644210037349
臺東縣臺東市馬蘭里9鄰新社一街1巷38號,10014,1001401,1001401-010,9鄰,新社一街,,1巷,,,,38號,121.136784564406,22.7645457515223
臺東縣臺東市馬蘭里8鄰新社一街1巷39號,10014,1001401,1001401-010,8鄰,新社一街,,1巷,,,,39號,121.136865690726,22.7643876216826
臺東縣臺東市馬蘭里9鄰新社一街1巷40號,10014,1001401,1001401-010,9鄰,新社一街,,1巷,,,,40號,121.136737838104,22.7645135057704
臺東縣臺東市馬蘭里8鄰新社一街1巷41號,10014,1001401,1001401-010,8鄰,新社一街,,1巷,,,,41號,121.136841232083,22.7643031216464
臺東縣臺東市馬蘭里9鄰新社一街1巷42號,10014,1001401,1001401-010,9鄰,新社一街,,1巷,,,,42號,121.136685684853,22.764468612239
臺東縣臺東市馬蘭里8鄰新社一街1巷43號,10014,1001401,1001401-010,8鄰,新社一街,,1巷,,,,43號,121.136707669814,22.7642399559375
臺東縣臺東市馬蘭里9鄰新社一街1巷44號,10014,1001401,1001401-010,9鄰,新社一街,,1巷,,,,44號,121.136575142357,22.7643652930098
臺東縣臺東市馬蘭里8鄰新社一街1巷45號,10014,1001401,1001401-010,8鄰,新社一街,,1巷,,,,45號,121.136665041882,22.7641964359824
臺東縣臺東市馬蘭里9鄰新社一街1巷46號,10014,1001401,1001401-010,9鄰,新社一街,,1巷,,,,46號,121.136545468661,22.7643341614864
臺東縣臺東市馬蘭里8鄰新社一街1巷47號,10014,1001401,1001401-010,8鄰,新社一街,,1巷,,,,47號,121.136620652218,22.7641733275526
臺東縣臺東市馬蘭里9鄰新社一街1巷48號,10014,1001401,1001401-010,9鄰,新社一街,,1巷,,,,48號,121.136505433209,22.7643025782361
臺東縣臺東市馬蘭里8鄰新社一街1巷49號,10014,1001401,1001401-010,8鄰,新社一街,,1巷,,,,49號,121.136579743514,22.7641449059126
臺東縣臺東市馬蘭里9鄰新社一街1巷50號,10014,1001401,1001401-010,9鄰,新社一街,,1巷,,,,50號,121.136467488778,22.7642682929234
臺東縣臺東市馬蘭里8鄰新社一街1巷51號,10014,1001401,1001401-010,8鄰,新社一街,,1巷,,,,51號,121.13653778097,22.7641143267573
臺東縣臺東市馬蘭里9鄰新社一街1巷52之1號,10014,1001401,1001401-010,9鄰,新社一街,,1巷,,,,52之1號,121.136391924011,22.7642024222584
臺東縣臺東市馬蘭里9鄰新社一街1巷52號,10014,1001401,1001401-010,9鄰,新社一街,,1巷,,,,52號,121.136429468695,22.7642362563817
臺東縣臺東市馬蘭里8鄰新社一街1巷53號,10014,1001401,1001401-010,8鄰,新社一街,,1巷,,,,53號,121.13650264294,22.7640818452495
臺東縣臺東市馬蘭里8鄰新社一街1巷55號,10014,1001401,1001401-010,8鄰,新社一街,,1巷,,,,55號,121.136462697906,22.7640529712058
臺東縣臺東市馬蘭里9鄰新社一街1巷56號,10014,1001401,1001401-010,9鄰,新社一街,,1巷,,,,56號,121.136340306225,22.7641767822174
臺東縣臺東市馬蘭里8鄰新社一街1巷57號,10014,1001401,1001401-010,8鄰,新社一街,,1巷,,,,57號,121.136425631326,22.7640200397795
臺東縣臺東市馬蘭里9鄰新社一街1巷58號,10014,1001401,1001401-010,9鄰,新社一街,,1巷,,,,58號,121.136310087644,22.7641361956715
臺東縣臺東市馬蘭里8鄰新社一街1巷59號,10014,1001401,1001401-010,8鄰,新社一街,,1巷,,,,59號,121.136383754165,22.7639871124534
臺東縣臺東市馬蘭里9鄰新社一街1巷60號,10014,1001401,1001401-010,9鄰,新社一街,,1巷,,,,60號,121.136271583429,22.7641068778317
臺東縣臺東市馬蘭里8鄰新社一街1巷61號,10014,1001401,1001401-010,8鄰,新社一街,,1巷,,,,61號,121.136344766078,22.7639510127728
臺東縣臺東市馬蘭里9鄰新社一街1巷62號,10014,1001401,1001401-010,9鄰,新社一街,,1巷,,,,62號,121.136233072063,22.7640703351992
臺東縣臺東市馬蘭里9鄰新社一街3巷1號,10014,1001401,1001401-010,9鄰,新社一街,,3巷,,,,1號,121.137407267486,22.7653731866144
臺東縣臺東市馬蘭里10鄰新社一街3巷2之1號,10014,1001401,1001401-010,10鄰,新社一街,,3巷,,,,2之1號,121.137217220124,22.7655608965223
臺東縣臺東市馬蘭里10鄰新社一街3巷2號,10014,1001401,1001401-010,10鄰,新社一街,,3巷,,,,2號,121.137266784367,22.7655091334676
臺東縣臺東市馬蘭里9鄰新社一街3巷3號,10014,1001401,1001401-010,9鄰,新社一街,,3巷,,,,3號,121.137358618113,22.7653367162033
臺東縣臺東市馬蘭里10鄰新社一街3巷4號,10014,1001401,1001401-010,10鄰,新社一街,,3巷,,,,4號,121.13722844948,22.7654744422844
臺東縣臺東市馬蘭里9鄰新社一街3巷5號,10014,1001401,1001401-010,9鄰,新社一街,,3巷,,,,5號,121.137320113789,22.7653078501723
臺東縣臺東市馬蘭里10鄰新社一街3巷6號,10014,1001401,1001401-010,10鄰,新社一街,,3巷,,,,6號,121.137204811706,22.7654517045174
臺東縣臺東市馬蘭里9鄰新社一街3巷7號,10014,1001401,1001401-010,9鄰,新社一街,,3巷,,,,7號,121.137281604516,22.7652740170944
臺東縣臺東市馬蘭里10鄰新社一街3巷8號,10014,1001401,1001401-010,10鄰,新社一街,,3巷,,,,8號,121.137174100702,22.7654256313596
臺東縣臺東市馬蘭里9鄰新社一街3巷9號,10014,1001401,1001401-010,9鄰,新社一街,,3巷,,,,9號,121.137241089285,22.7652402670102
臺東縣臺東市馬蘭里10鄰新社一街3巷10號,10014,1001401,1001401-010,10鄰,新社一街,,3巷,,,,10號,121.137135593226,22.7653935954115
臺東縣臺東市馬蘭里9鄰新社一街3巷11號,10014,1001401,1001401-010,9鄰,新社一街,,3巷,,,,11號,121.137206038804,22.7652081468276
臺東縣臺東市馬蘭里10鄰新社一街3巷12號,10014,1001401,1001401-010,10鄰,新社一街,,3巷,,,,12號,121.137106333683,22.7653679725429
臺東縣臺東市馬蘭里9鄰新社一街3巷13號,10014,1001401,1001401-010,9鄰,新社一街,,3巷,,,,13號,121.13716696666,22.765176201681
臺東縣臺東市馬蘭里10鄰新社一街3巷14號,10014,1001401,1001401-010,10鄰,新社一街,,3巷,,,,14號,121.137073218837,22.7653433463871
臺東縣臺東市馬蘭里9鄰新社一街3巷15號,10014,1001401,1001401-010,9鄰,新社一街,,3巷,,,,15號,121.137125962244,22.765140112962
臺東縣臺東市馬蘭里10鄰新社一街3巷16號,10014,1001401,1001401-010,10鄰,新社一街,,3巷,,,,16號,121.137038163668,22.7653162744928
臺東縣臺東市馬蘭里9鄰新社一街3巷17號,10014,1001401,1001401-010,9鄰,新社一街,,3巷,,,,17號,121.137090438162,22.7651115152444
臺東縣臺東市馬蘭里10鄰新社一街3巷18號,10014,1001401,1001401-010,10鄰,新社一街,,3巷,,,,18號,121.137006973214,22.7652878536575
臺東縣臺東市馬蘭里9鄰新社一街3巷19號,10014,1001401,1001401-010,9鄰,新社一街,,3巷,,,,19號,121.137045086966,22.7650718088112
臺東縣臺東市馬蘭里10鄰新社一街3巷20號,10014,1001401,1001401-010,10鄰,新社一街,,3巷,,,,20號,121.136974333411,22.7652610596368
臺東縣臺東市馬蘭里9鄰新社一街3巷21號,10014,1001401,1001401-010,9鄰,新社一街,,3巷,,,,21號,121.136920806193,22.7649714818489
臺東縣臺東市馬蘭里10鄰新社一街3巷22號,10014,1001401,1001401-010,10鄰,新社一街,,3巷,,,,22號,121.13693385457,22.7652344258593
臺東縣臺東市馬蘭里9鄰新社一街3巷23號,10014,1001401,1001401-010,9鄰,新社一街,,3巷,,,,23號,121.136881346377,22.7649412618816
臺東縣臺東市馬蘭里10鄰新社一街3巷24號,10014,1001401,1001401-010,10鄰,新社一街,,3巷,,,,24號,121.136905687572,22.7652106082132
臺東縣臺東市馬蘭里9鄰新社一街3巷25號,10014,1001401,1001401-010,9鄰,新社一街,,3巷,,,,25號,121.136843316732,22.7649096860307
臺東縣臺東市馬蘭里10鄰新社一街3巷26號,10014,1001401,1001401-010,10鄰,新社一街,,3巷,,,,26號,121.136800209474,22.7650988498694
臺東縣臺東市馬蘭里9鄰新社一街3巷27號,10014,1001401,1001401-010,9鄰,新社一街,,3巷,,,,27號,121.136806340611,22.7648799064341
臺東縣臺東市馬蘭里10鄰新社一街3巷28號,10014,1001401,1001401-010,10鄰,新社一街,,3巷,,,,28號,121.136769507464,22.7650718735258
