FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺東縣臺東市豐安里1鄰永福路32號,10014,1001401,1001401-000,1鄰,永福路,,,,,,32號,121.137647630229,22.750199700448
臺東縣臺東市豐安里1鄰永福路34號,10014,1001401,1001401-000,1鄰,永福路,,,,,,34號,121.137610589512,22.7501794035752
臺東縣臺東市豐安里1鄰永福路36號,10014,1001401,1001401-000,1鄰,永福路,,,,,,36號,121.13758038038,22.7501649799925
臺東縣臺東市豐安里1鄰永福路38號,10014,1001401,1001401-000,1鄰,永福路,,,,,,38號,121.137544860934,22.7501469485757
臺東縣臺東市豐安里1鄰永福路40號,10014,1001401,1001401-000,1鄰,永福路,,,,,,40號,121.137506846187,22.7501263003082
臺東縣臺東市豐安里1鄰永福路42號,10014,1001401,1001401-000,1鄰,永福路,,,,,,42號,121.137475666774,22.7501055468082
臺東縣臺東市豐安里1鄰永福路44號,10014,1001401,1001401-000,1鄰,永福路,,,,,,44號,121.137442561247,22.7500866101908
臺東縣臺東市豐安里1鄰永福路46號,10014,1001401,1001401-000,1鄰,永福路,,,,,,46號,121.137407919078,22.7500694810886
臺東縣臺東市豐安里1鄰永福路48號,10014,1001401,1001401-000,1鄰,永福路,,,,,,48號,121.137377704574,22.7500496388705
臺東縣臺東市豐安里3鄰永福路52號,10014,1001401,1001401-000,3鄰,永福路,,,,,,52號,121.137308598057,22.7500081466443
臺東縣臺東市豐安里3鄰永福路54號,10014,1001401,1001401-000,3鄰,永福路,,,,,,54號,121.137269622933,22.7499910212361
臺東縣臺東市豐安里3鄰永福路56號,10014,1001401,1001401-000,3鄰,永福路,,,,,,56號,121.137237961252,22.7499747926358
臺東縣臺東市豐安里3鄰永福路58號,10014,1001401,1001401-000,3鄰,永福路,,,,,,58號,121.137199958048,22.749955860175
臺東縣臺東市豐安里3鄰永福路60號,10014,1001401,1001401-000,3鄰,永福路,,,,,,60號,121.137172151357,22.7499387251502
臺東縣臺東市豐安里3鄰永福路62之1號,10014,1001401,1001401-000,3鄰,永福路,,,,,,62之1號,121.137101028035,22.7498958799146
臺東縣臺東市豐安里3鄰永福路62號,10014,1001401,1001401-000,3鄰,永福路,,,,,,62號,121.137133655903,22.7499143654637
臺東縣臺東市豐安里3鄰永福路66號,10014,1001401,1001401-000,3鄰,永福路,,,,,,66號,121.137067446394,22.7498778467274
臺東縣臺東市豐安里3鄰永福路68號,10014,1001401,1001401-000,3鄰,永福路,,,,,,68號,121.136984760585,22.7498986979901
臺東縣臺東市豐安里3鄰永福路70號,10014,1001401,1001401-000,3鄰,永福路,,,,,,70號,121.136938064967,22.7498727287383
臺東縣臺東市豐安里3鄰永福路72號,10014,1001401,1001401-000,3鄰,永福路,,,,,,72號,121.136898777261,22.7498545197866
臺東縣臺東市豐安里3鄰永福路76號,10014,1001401,1001401-000,3鄰,永福路,,,,,,76號,121.136866636561,22.749836304702
臺東縣臺東市豐安里3鄰永福路78號,10014,1001401,1001401-000,3鄰,永福路,,,,,,78號,121.136828691975,22.7498076998981
臺東縣臺東市豐安里3鄰永福路80號,10014,1001401,1001401-000,3鄰,永福路,,,,,,80號,121.136784384394,22.7497841398331
臺東縣臺東市豐安里3鄰永福路82號,10014,1001401,1001401-000,3鄰,永福路,,,,,,82號,121.136741961298,22.7497658251551
臺東縣臺東市豐安里3鄰永福路86號,10014,1001401,1001401-000,3鄰,永福路,,,,,,86號,121.136699524119,22.7497431304415
臺東縣臺東市豐安里4鄰永福路100號,10014,1001401,1001401-000,4鄰,永福路,,,,,,100號,121.136152951013,22.7494155911914
臺東縣臺東市豐安里4鄰永福路102號,10014,1001401,1001401-000,4鄰,永福路,,,,,,102號,121.136125074687,22.7493868963574
臺東縣臺東市豐安里4鄰永福路106號,10014,1001401,1001401-000,4鄰,永福路,,,,,,106號,121.136084248143,22.7493582125506
臺東縣臺東市豐安里4鄰永福路108號,10014,1001401,1001401-000,4鄰,永福路,,,,,,108號,121.136048874343,22.7493295240896
臺東縣臺東市豐安里4鄰永福路110號,10014,1001401,1001401-000,4鄰,永福路,,,,,,110號,121.136009124801,22.7493067998084
臺東縣臺東市豐安里4鄰永福路112號,10014,1001401,1001401-000,4鄰,永福路,,,,,,112號,121.135949115321,22.7492770485773
臺東縣臺東市豐安里4鄰永福路116號,10014,1001401,1001401-000,4鄰,永福路,,,,,,116號,121.135908289828,22.7492493581344
臺東縣臺東市豐安里4鄰永福路118號,10014,1001401,1001401-000,4鄰,永福路,,,,,,118號,121.135846040973,22.7492196990794
臺東縣臺東市豐安里4鄰永福路120號,10014,1001401,1001401-000,4鄰,永福路,,,,,,120號,121.135803177618,22.749198964215
臺東縣臺東市豐安里4鄰永福路122號,10014,1001401,1001401-000,4鄰,永福路,,,,,,122號,121.135752709601,22.7491683016975
