FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺東縣臺東市豐安里3鄰豐榮路170巷12號,10014,1001401,1001401-000,3鄰,豐榮路,,170巷,,,,12號,121.136317645735,22.7500464469096
臺東縣臺東市豐安里3鄰豐榮路170巷13號,10014,1001401,1001401-000,3鄰,豐榮路,,170巷,,,,13號,121.136465718303,22.7499198864479
臺東縣臺東市豐安里3鄰豐榮路170巷14號,10014,1001401,1001401-000,3鄰,豐榮路,,170巷,,,,14號,121.136358082783,22.7500748600556
臺東縣臺東市豐安里3鄰豐榮路170巷15號,10014,1001401,1001401-000,3鄰,豐榮路,,170巷,,,,15號,121.13650458934,22.7499401729928
臺東縣臺東市豐安里3鄰豐榮路170巷16號,10014,1001401,1001401-000,3鄰,豐榮路,,170巷,,,,16號,121.136397547036,22.750104177122
臺東縣臺東市豐安里3鄰豐榮路170巷17號,10014,1001401,1001401-000,3鄰,豐榮路,,170巷,,,,17號,121.136548040844,22.7499645195639
臺東縣臺東市豐安里3鄰豐榮路170巷18號,10014,1001401,1001401-000,3鄰,豐榮路,,170巷,,,,18號,121.136437496366,22.7501316875638
臺東縣臺東市豐安里3鄰豐榮路170巷19號,10014,1001401,1001401-000,3鄰,豐榮路,,170巷,,,,19號,121.136592854654,22.749987961858
臺東縣臺東市豐安里3鄰豐榮路170巷20號,10014,1001401,1001401-000,3鄰,豐榮路,,170巷,,,,20號,121.136477934808,22.7501614553281
臺東縣臺東市豐安里3鄰豐榮路170巷21號,10014,1001401,1001401-000,3鄰,豐榮路,,170巷,,,,21號,121.136660992792,22.7499665001049
臺東縣臺東市豐安里3鄰豐榮路170巷22號,10014,1001401,1001401-000,3鄰,豐榮路,,170巷,,,,22號,121.136514963049,22.7501889682457
臺東縣臺東市豐安里3鄰豐榮路170巷23號,10014,1001401,1001401-000,3鄰,豐榮路,,170巷,,,,23號,121.136677026421,22.7500316902254
臺東縣臺東市豐安里3鄰豐榮路170巷25號,10014,1001401,1001401-000,3鄰,豐榮路,,170巷,,,,25號,121.136720000746,22.7500657003301
臺東縣臺東市豐安里2鄰豐榮路170巷26號,10014,1001401,1001401-000,2鄰,豐榮路,,170巷,,,,26號,121.136634191807,22.7502360984519
臺東縣臺東市豐安里3鄰豐榮路170巷27號,10014,1001401,1001401-000,3鄰,豐榮路,,170巷,,,,27號,121.136760429612,22.7500858048586
臺東縣臺東市豐安里2鄰豐榮路170巷28號,10014,1001401,1001401-000,2鄰,豐榮路,,170巷,,,,28號,121.136687287629,22.7502649522355
臺東縣臺東市豐安里3鄰豐榮路170巷29號,10014,1001401,1001401-000,3鄰,豐榮路,,170巷,,,,29號,121.136820247126,22.7501178136948
臺東縣臺東市豐安里2鄰豐榮路170巷30號,10014,1001401,1001401-000,2鄰,豐榮路,,170巷,,,,30號,121.136729179987,22.7502879454397
臺東縣臺東市豐安里3鄰豐榮路170巷31號,10014,1001401,1001401-000,3鄰,豐榮路,,170巷,,,,31號,121.136855904588,22.7501376513555
臺東縣臺東市豐安里2鄰豐榮路170巷32號,10014,1001401,1001401-000,2鄰,豐榮路,,170巷,,,,32號,121.136774970339,22.750314096146
臺東縣臺東市豐安里3鄰豐榮路170巷33號,10014,1001401,1001401-000,3鄰,豐榮路,,170巷,,,,33號,121.136908973785,22.7501397733219
臺東縣臺東市豐安里2鄰豐榮路170巷34號,10014,1001401,1001401-000,2鄰,豐榮路,,170巷,,,,34號,121.136816374973,22.7503361866444
臺東縣臺東市豐安里3鄰豐榮路170巷35號,10014,1001401,1001401-000,3鄰,豐榮路,,170巷,,,,35號,121.136948722365,22.7501611427257
臺東縣臺東市豐安里2鄰豐榮路170巷36號,10014,1001401,1001401-000,2鄰,豐榮路,,170巷,,,,36號,121.136862166257,22.7503632404248
臺東縣臺東市豐安里3鄰豐榮路170巷37號,10014,1001401,1001401-000,3鄰,豐榮路,,170巷,,,,37號,121.136994900579,22.7501856674565
臺東縣臺東市豐安里2鄰豐榮路170巷38號,10014,1001401,1001401-000,2鄰,豐榮路,,170巷,,,,38號,121.136908443064,22.7503889391255
臺東縣臺東市豐安里3鄰豐榮路170巷39號,10014,1001401,1001401-000,3鄰,豐榮路,,170巷,,,,39號,121.137039036454,22.7502126322964
臺東縣臺東市豐安里2鄰豐榮路170巷40號,10014,1001401,1001401-000,2鄰,豐榮路,,170巷,,,,40號,121.136945953356,22.7504114844776
臺東縣臺東市豐安里2鄰豐榮路170巷42號,10014,1001401,1001401-000,2鄰,豐榮路,,170巷,,,,42號,121.136984431968,22.7504286103893
臺東縣臺東市豐安里3鄰豐榮路170巷43號,10014,1001401,1001401-000,3鄰,豐榮路,,170巷,,,,43號,121.137098060615,22.7502301017947
臺東縣臺東市豐安里3鄰豐榮路170巷45號,10014,1001401,1001401-000,3鄰,豐榮路,,170巷,,,,45號,121.137138995636,22.7502694418267
臺東縣臺東市豐安里1鄰豐榮路170巷46號,10014,1001401,1001401-000,1鄰,豐榮路,,170巷,,,,46號,121.137101553443,22.7505103307878
臺東縣臺東市豐安里1鄰豐榮路170巷47號,10014,1001401,1001401-000,1鄰,豐榮路,,170巷,,,,47號,121.137238011047,22.7503561447209
臺東縣臺東市豐安里1鄰豐榮路170巷48號,10014,1001401,1001401-000,1鄰,豐榮路,,170巷,,,,48號,121.137128368942,22.7505488701483
臺東縣臺東市豐安里1鄰豐榮路170巷49號,10014,1001401,1001401-000,1鄰,豐榮路,,170巷,,,,49號,121.137272793105,22.7503767958297
臺東縣臺東市豐安里1鄰豐榮路170巷50號,10014,1001401,1001401-000,1鄰,豐榮路,,170巷,,,,50號,121.137174634862,22.7505635509581
臺東縣臺東市豐安里1鄰豐榮路170巷51號,10014,1001401,1001401-000,1鄰,豐榮路,,170巷,,,,51號,121.137368366478,22.7504292741023
