FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺東縣成功鎮忠仁里35鄰麒麟路1號,10014,1001402,1001402-006,35鄰,麒麟路,,,,,,1號,121.355152842301,23.0860515062319
臺東縣成功鎮忠仁里35鄰麒麟路2號,10014,1001402,1001402-006,35鄰,麒麟路,,,,,,2號,121.355449503863,23.0861946137236
臺東縣成功鎮忠仁里35鄰麒麟路3號,10014,1001402,1001402-006,35鄰,麒麟路,,,,,,3號,121.355445528273,23.0863048943175
臺東縣成功鎮忠仁里35鄰麒麟路4號,10014,1001402,1001402-006,35鄰,麒麟路,,,,,,4號,121.355403011248,23.0876533183552
臺東縣成功鎮忠仁里35鄰麒麟路4之1號,10014,1001402,1001402-006,35鄰,麒麟路,,,,,,4之1號,121.355350297076,23.0875366272515
臺東縣成功鎮忠仁里35鄰麒麟路4之2號,10014,1001402,1001402-006,35鄰,麒麟路,,,,,,4之2號,121.355255659831,23.0874907845297
臺東縣成功鎮忠仁里35鄰麒麟路4之3號,10014,1001402,1001402-006,35鄰,麒麟路,,,,,,4之3號,121.355260449935,23.0874118018917
臺東縣成功鎮忠仁里35鄰麒麟路4之5號,10014,1001402,1001402-006,35鄰,麒麟路,,,,,,4之5號,121.355239306125,23.0873518868254
臺東縣成功鎮忠仁里35鄰麒麟路4之6號,10014,1001402,1001402-006,35鄰,麒麟路,,,,,,4之6號,121.355109057731,23.0873123822577
臺東縣成功鎮忠仁里35鄰麒麟路4之8號,10014,1001402,1001402-006,35鄰,麒麟路,,,,,,4之8號,121.353843951737,23.0877595864282
臺東縣成功鎮忠仁里35鄰麒麟路5號,10014,1001402,1001402-006,35鄰,麒麟路,,,,,,5號,121.355497990413,23.0877511669557
臺東縣成功鎮忠仁里35鄰麒麟路5號之1,10014,1001402,1001402-006,35鄰,麒麟路,,,,,,5號之1,121.355451056518,23.0876982725006
臺東縣成功鎮忠仁里35鄰麒麟路6號,10014,1001402,1001402-006,35鄰,麒麟路,,,,,,6號,121.355553839065,23.0878459519482
臺東縣成功鎮忠仁里35鄰麒麟路7號,10014,1001402,1001402-006,35鄰,麒麟路,,,,,,7號,121.355842628484,23.0878706772637
臺東縣成功鎮忠仁里35鄰麒麟路7之1號,10014,1001402,1001402-006,35鄰,麒麟路,,,,,,7之1號,121.355814504581,23.087788301056
臺東縣成功鎮忠仁里35鄰麒麟路8號,10014,1001402,1001402-006,35鄰,麒麟路,,,,,,8號,121.355992491358,23.0880672228107
臺東縣成功鎮忠仁里35鄰麒麟路10號,10014,1001402,1001402-006,35鄰,麒麟路,,,,,,10號,121.355983559973,23.0881599050555
臺東縣成功鎮忠仁里35鄰麒麟路10之1號,10014,1001402,1001402-006,35鄰,麒麟路,,,,,,10之1號,121.356056937047,23.0882312703457
臺東縣成功鎮忠仁里35鄰麒麟路11號,10014,1001402,1001402-006,35鄰,麒麟路,,,,,,11號,121.355619358874,23.0880808867984
臺東縣成功鎮忠仁里35鄰麒麟路12號,10014,1001402,1001402-006,35鄰,麒麟路,,,,,,12號,121.355718741285,23.088338420965
臺東縣成功鎮忠仁里35鄰麒麟路13之3號(農業資材室),10014,1001402,1001402-006,35鄰,麒麟路,,,,,,13之3號(農業資材室),121.354865795146,23.0878527462116
臺東縣成功鎮忠仁里35鄰麒麟路13號,10014,1001402,1001402-006,35鄰,麒麟路,,,,,,13號,121.355125445666,23.0881554253353
臺東縣成功鎮忠仁里35鄰麒麟路13之2號,10014,1001402,1001402-006,35鄰,麒麟路,,,,,,13之2號,121.354957131038,23.0879535021194
臺東縣成功鎮忠仁里35鄰麒麟路13之1號,10014,1001402,1001402-006,35鄰,麒麟路,,,,,,13之1號,121.354991445402,23.0880107687654
臺東縣成功鎮忠仁里35鄰麒麟路15號,10014,1001402,1001402-006,35鄰,麒麟路,,,,,,15號,121.355099967563,23.0884186589298
臺東縣成功鎮忠仁里35鄰麒麟路16號,10014,1001402,1001402-006,35鄰,麒麟路,,,,,,16號,121.355237633016,23.0884757834004
