FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺東縣卑南鄉溫泉村19鄰龍泉路1號,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,1號,121.021598416117,22.6930275767563
臺東縣卑南鄉溫泉村19鄰龍泉路2號,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,2號,121.0213807108,22.6928634208678
臺東縣卑南鄉溫泉村19鄰龍泉路4號,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,4號,121.021382380438,22.6931483965169
臺東縣卑南鄉溫泉村19鄰龍泉路5號,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,5號,121.021359986812,22.6930995413404
臺東縣卑南鄉溫泉村19鄰龍泉路6號,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,6號,121.021315990628,22.6930818462802
臺東縣卑南鄉溫泉村19鄰龍泉路7號,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,7號,121.02128182401,22.6930587312506
臺東縣卑南鄉溫泉村19鄰龍泉路8號,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,8號,121.021240367702,22.6931010925435
臺東縣卑南鄉溫泉村19鄰龍泉路9號,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,9號,121.02119900003,22.6930870998469
臺東縣卑南鄉溫泉村19鄰龍泉路10號,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,10號,121.021154614909,22.6930717528759
臺東縣卑南鄉溫泉村19鄰龍泉路11號,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,11號,121.021054358722,22.6930347386488
臺東縣卑南鄉溫泉村19鄰龍泉路13號,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,13號,121.020973082872,22.6930031405236
臺東縣卑南鄉溫泉村19鄰龍泉路13之1號,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,13之1號,121.021011374244,22.6926301517013
臺東縣卑南鄉溫泉村19鄰龍泉路14號,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,14號,121.02093463483,22.6929868896048
臺東縣卑南鄉溫泉村19鄰龍泉路14之1號,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,14之1號,121.02088333725,22.6929579968353
臺東縣卑南鄉溫泉村19鄰龍泉路16號,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,16號,121.020937566084,22.6924209111318
臺東縣卑南鄉溫泉村19鄰龍泉路21號,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,21號,121.020404276582,22.6923021309205
臺東縣卑南鄉溫泉村19鄰龍泉路21之2號,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,21之2號,121.020602455899,22.6924044277308
臺東縣卑南鄉溫泉村19鄰龍泉路25號,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,25號,121.020315114657,22.6924487799935
臺東縣卑南鄉溫泉村19鄰龍泉路27號,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,27號,121.020238733295,22.692405377243
臺東縣卑南鄉溫泉村19鄰龍泉路29號,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,29號,121.019909336759,22.692727467048
臺東縣卑南鄉溫泉村19鄰龍泉路30號,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30號,121.01987559408,22.6924022618679
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號十樓之12,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號十樓之12,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號十樓之10,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號十樓之10,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號十樓之11,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號十樓之11,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號十樓之13,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號十樓之13,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號十樓之1,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號十樓之1,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號十樓之20,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號十樓之20,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號十樓之22,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號十樓之22,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號十樓之18,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號十樓之18,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號十樓之2,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號十樓之2,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號十樓之15,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號十樓之15,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號十樓之17,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號十樓之17,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號十樓之21,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號十樓之21,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號十樓之19,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號十樓之19,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號十樓之23,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號十樓之23,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號十樓之16,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號十樓之16,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號十樓之26,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號十樓之26,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號十樓之25,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號十樓之25,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號十樓之3,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號十樓之3,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號十樓之32,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號十樓之32,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號十樓之28,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號十樓之28,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號十樓之36,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號十樓之36,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號十樓之40,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號十樓之40,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號十樓之38,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號十樓之38,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號十樓之42,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號十樓之42,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號十樓之46,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號十樓之46,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號十樓之48,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號十樓之48,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號十樓之5,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號十樓之5,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號十樓之50,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號十樓之50,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號十樓之6,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號十樓之6,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號十樓之7,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號十樓之7,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號十樓之8,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號十樓之8,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號十樓之9,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號十樓之9,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號二樓之1,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號二樓之1,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號二樓之8,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號二樓之8,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號三樓之11,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號三樓之11,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號三樓之1,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號三樓之1,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號三樓之13,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號三樓之13,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號三樓之23,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號三樓之23,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號三樓之15,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號三樓之15,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號三樓之21,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號三樓之21,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號三樓之19,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號三樓之19,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號三樓之17,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號三樓之17,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號三樓之32,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號三樓之32,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號三樓之25,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號三樓之25,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號三樓之3,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號三樓之3,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號三樓之38,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號三樓之38,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號三樓之42,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號三樓之42,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號三樓之5,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號三樓之5,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號三樓之48,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號三樓之48,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號三樓之50,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號三樓之50,121.019285288849,22.6924170999049
臺東縣卑南鄉溫泉村19鄰龍泉路30之1號三樓之7,10014,1001404,1001404-013,19鄰,龍泉路,,,,,,30之1號三樓之7,121.019285288849,22.6924170999049
