FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
花蓮縣花蓮市國興里15鄰介林二街2號,10015,1001501,1001501-044,15鄰,介林二街,,,,,,2號,121.572495404313,23.9943572116919
花蓮縣花蓮市國興里15鄰介林二街4號,10015,1001501,1001501-044,15鄰,介林二街,,,,,,4號,121.572434950059,23.994376796139
花蓮縣花蓮市國興里15鄰介林二街9號,10015,1001501,1001501-044,15鄰,介林二街,,,,,,9號,121.572218134435,23.9941614352601
花蓮縣花蓮市國興里15鄰介林二街10號,10015,1001501,1001501-044,15鄰,介林二街,,,,,,10號,121.572317397887,23.9944148779524
花蓮縣花蓮市國興里15鄰介林二街11號,10015,1001501,1001501-044,15鄰,介林二街,,,,,,11號,121.572163773407,23.9941787485735
花蓮縣花蓮市國興里15鄰介林二街12號,10015,1001501,1001501-044,15鄰,介林二街,,,,,,12號,121.572256374357,23.99443464504
花蓮縣花蓮市國興里15鄰介林二街13號,10015,1001501,1001501-044,15鄰,介林二街,,,,,,13號,121.572067488491,23.9942077667121
花蓮縣花蓮市國興里15鄰介林二街14號,10015,1001501,1001501-044,15鄰,介林二街,,,,,,14號,121.572165172697,23.99446418603
花蓮縣花蓮市國興里15鄰介林二街15號,10015,1001501,1001501-044,15鄰,介林二街,,,,,,15號,121.572014466118,23.9942277747347
花蓮縣花蓮市國興里15鄰介林二街16號,10015,1001501,1001501-044,15鄰,介林二街,,,,,,16號,121.57210481646,23.9944837338654
花蓮縣花蓮市國興里15鄰介林二街17號,10015,1001501,1001501-044,15鄰,介林二街,,,,,,17號,121.571918446842,23.9942568730534
花蓮縣花蓮市國興里15鄰介林二街18號,10015,1001501,1001501-044,15鄰,介林二街,,,,,,18號,121.572011426256,23.9945139962425
花蓮縣花蓮市國興里15鄰介林二街19號,10015,1001501,1001501-044,15鄰,介林二街,,,,,,19號,121.571860935365,23.9942751912303
花蓮縣花蓮市國興里15鄰介林二街20號,10015,1001501,1001501-044,15鄰,介林二街,,,,,,20號,121.571956232153,23.994531872407
花蓮縣花蓮市國興里19鄰介林二街22號,10015,1001501,1001501-044,19鄰,介林二街,,,,,,22號,121.571684131482,23.9945873787017
花蓮縣花蓮市國興里19鄰介林二街24號,10015,1001501,1001501-044,19鄰,介林二街,,,,,,24號,121.571628758203,23.9946003073708
花蓮縣花蓮市國興里19鄰介林二街25號,10015,1001501,1001501-044,19鄰,介林二街,,,,,,25號,121.571449998573,23.9944029343404
花蓮縣花蓮市國興里19鄰介林二街26號,10015,1001501,1001501-044,19鄰,介林二街,,,,,,26號,121.571544698326,23.9946180471907
花蓮縣花蓮市國興里19鄰介林二街26號二樓之1,10015,1001501,1001501-044,19鄰,介林二街,,,,,,26號二樓之1,121.571544698326,23.9946180471907
花蓮縣花蓮市國興里19鄰介林二街26號二樓之2,10015,1001501,1001501-044,19鄰,介林二街,,,,,,26號二樓之2,121.571544698326,23.9946180471907
花蓮縣花蓮市國興里19鄰介林二街26號三樓之1,10015,1001501,1001501-044,19鄰,介林二街,,,,,,26號三樓之1,121.571544698326,23.9946180471907
花蓮縣花蓮市國興里19鄰介林二街26號三樓之2,10015,1001501,1001501-044,19鄰,介林二街,,,,,,26號三樓之2,121.571544698326,23.9946180471907
花蓮縣花蓮市國興里19鄰介林二街26號四樓之1,10015,1001501,1001501-044,19鄰,介林二街,,,,,,26號四樓之1,121.571544698326,23.9946180471907
花蓮縣花蓮市國興里19鄰介林二街26號四樓之2,10015,1001501,1001501-044,19鄰,介林二街,,,,,,26號四樓之2,121.571544698326,23.9946180471907
花蓮縣花蓮市國興里19鄰介林二街26號五樓之1,10015,1001501,1001501-044,19鄰,介林二街,,,,,,26號五樓之1,121.571544698326,23.9946180471907
