FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
花蓮縣吉安鄉仁和村18鄰南海五街201之1號,10015,1001505,1001505-017,18鄰,南海五街,,,,,,201之1號,121.590422746119,23.9507315517588
花蓮縣吉安鄉仁和村18鄰南海五街201之2號,10015,1001505,1001505-017,18鄰,南海五街,,,,,,201之2號,121.590372134403,23.9507499855494
花蓮縣吉安鄉仁和村18鄰南海五街201之3號,10015,1001505,1001505-017,18鄰,南海五街,,,,,,201之3號,121.590313556557,23.9507666440829
花蓮縣吉安鄉仁和村15鄰南海五街202號,10015,1001505,1001505-017,15鄰,南海五街,,,,,,202號,121.590103049103,23.951046792978
花蓮縣吉安鄉仁和村15鄰南海五街204號,10015,1001505,1001505-017,15鄰,南海五街,,,,,,204號,121.590052331668,23.9510614618479
花蓮縣吉安鄉仁和村15鄰南海五街206號,10015,1001505,1001505-017,15鄰,南海五街,,,,,,206號,121.589999227267,23.9510632731014
花蓮縣吉安鄉仁和村15鄰南海五街208號,10015,1001505,1001505-017,15鄰,南海五街,,,,,,208號,121.58995608466,23.95107577289
花蓮縣吉安鄉仁和村15鄰南海五街210巷1號,10015,1001505,1001505-017,15鄰,南海五街,,210巷,,,,1號,121.589859602752,23.9512523144356
花蓮縣吉安鄉仁和村15鄰南海五街210巷2號,10015,1001505,1001505-017,15鄰,南海五街,,210巷,,,,2號,121.59007742441,23.9511565524437
花蓮縣吉安鄉仁和村15鄰南海五街210巷3號,10015,1001505,1001505-017,15鄰,南海五街,,210巷,,,,3號,121.589875704344,23.9512822931097
花蓮縣吉安鄉仁和村15鄰南海五街210巷4號,10015,1001505,1001505-017,15鄰,南海五街,,210巷,,,,4號,121.590091218561,23.9511911449107
花蓮縣吉安鄉仁和村15鄰南海五街210巷5號,10015,1001505,1001505-017,15鄰,南海五街,,210巷,,,,5號,121.589896877156,23.9513234305905
花蓮縣吉安鄉仁和村15鄰南海五街210巷6號,10015,1001505,1001505-017,15鄰,南海五街,,210巷,,,,6號,121.590107419704,23.9512257190976
花蓮縣吉安鄉仁和村15鄰南海五街210巷7號,10015,1001505,1001505-017,15鄰,南海五街,,210巷,,,,7號,121.589915299644,23.9513603800031
花蓮縣吉安鄉仁和村15鄰南海五街210巷8號,10015,1001505,1001505-017,15鄰,南海五街,,210巷,,,,8號,121.590123630723,23.9512603022737
花蓮縣吉安鄉仁和村15鄰南海五街210巷9號,10015,1001505,1001505-017,15鄰,南海五街,,210巷,,,,9號,121.58993146556,23.9513893742284
花蓮縣吉安鄉仁和村15鄰南海五街210巷10號,10015,1001505,1001505-017,15鄰,南海五街,,210巷,,,,10號,121.590137438249,23.9512978292108
花蓮縣吉安鄉仁和村15鄰南海五街210巷11號,10015,1001505,1001505-017,15鄰,南海五街,,210巷,,,,11號,121.589945316757,23.9514235511402
花蓮縣吉安鄉仁和村15鄰南海五街210巷12號,10015,1001505,1001505-017,15鄰,南海五街,,210巷,,,,12號,121.590127225863,23.9513465183902
花蓮縣吉安鄉仁和村15鄰南海五街210巷13號,10015,1001505,1001505-017,15鄰,南海五街,,210巷,,,,13號,121.589964794665,23.9514592504462
花蓮縣吉安鄉仁和村15鄰南海五街210巷14號,10015,1001505,1001505-017,15鄰,南海五街,,210巷,,,,14號,121.590143542543,23.9513827264335
花蓮縣吉安鄉仁和村15鄰南海五街210巷15號,10015,1001505,1001505-017,15鄰,南海五街,,210巷,,,,15號,121.589981703905,23.9514983004635
花蓮縣吉安鄉仁和村15鄰南海五街210巷16號,10015,1001505,1001505-017,15鄰,南海五街,,210巷,,,,16號,121.590161354962,23.9514172944211
花蓮縣吉安鄉仁和村15鄰南海五街210巷17號,10015,1001505,1001505-017,15鄰,南海五街,,210巷,,,,17號,121.589997843714,23.9515366672071
花蓮縣吉安鄉仁和村15鄰南海五街210巷18號,10015,1001505,1001505-017,15鄰,南海五街,,210巷,,,,18號,121.590177576286,23.9514562928841
花蓮縣吉安鄉仁和村15鄰南海五街210巷19號,10015,1001505,1001505-017,15鄰,南海五街,,210巷,,,,19號,121.590017811341,23.951578504556
花蓮縣吉安鄉仁和村15鄰南海五街210巷20號,10015,1001505,1001505-017,15鄰,南海五街,,210巷,,,,20號,121.59019942067,23.9514960101374
花蓮縣吉安鄉仁和村15鄰南海五街210巷21號,10015,1001505,1001505-017,15鄰,南海五街,,210巷,,,,21號,121.590034714912,23.9516141415083
花蓮縣吉安鄉仁和村15鄰南海五街210巷22號,10015,1001505,1001505-017,15鄰,南海五街,,210巷,,,,22號,121.590211710226,23.9515389153406
花蓮縣吉安鄉仁和村15鄰南海五街210巷23號,10015,1001505,1001505-017,15鄰,南海五街,,210巷,,,,23號,121.590051598514,23.9516497063007
花蓮縣吉安鄉仁和村15鄰南海五街210巷24號,10015,1001505,1001505-017,15鄰,南海五街,,210巷,,,,24號,121.590229509492,23.9515727429659
花蓮縣吉安鄉仁和村15鄰南海五街210巷25號,10015,1001505,1001505-017,15鄰,南海五街,,210巷,,,,25號,121.590073073098,23.9516880435072
