FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
花蓮縣吉安鄉南華村7鄰南華七街1號,10015,1001505,1001505-008,7鄰,南華七街,,,,,,1號,121.54908908906,23.952239263221
花蓮縣吉安鄉南華村8鄰南華七街2號,10015,1001505,1001505-008,8鄰,南華七街,,,,,,2號,121.549208698352,23.9524529666243
花蓮縣吉安鄉南華村7鄰南華七街3號,10015,1001505,1001505-008,7鄰,南華七街,,,,,,3號,121.548881870233,23.9524384511914
花蓮縣吉安鄉南華村8鄰南華七街6號,10015,1001505,1001505-008,8鄰,南華七街,,,,,,6號,121.548961106188,23.9525679829796
花蓮縣吉安鄉南華村8鄰南華七街10號,10015,1001505,1001505-008,8鄰,南華七街,,,,,,10號,121.548524865196,23.95288279728
花蓮縣吉安鄉南華村8鄰南華七街12號,10015,1001505,1001505-008,8鄰,南華七街,,,,,,12號,121.548603055166,23.9529671410655
花蓮縣吉安鄉南華村7鄰南華七街15號,10015,1001505,1001505-008,7鄰,南華七街,,,,,,15號,121.548263828098,23.9526136253899
花蓮縣吉安鄉南華村7鄰南華七街16號,10015,1001505,1001505-008,7鄰,南華七街,,,,,,16號,121.548398405524,23.9527241246387
花蓮縣吉安鄉南華村7鄰南華七街17巷19號,10015,1001505,1001505-008,7鄰,南華七街,,17巷,,,,19號,121.547933551933,23.9525086099955
花蓮縣吉安鄉南華村7鄰南華七街17巷20號,10015,1001505,1001505-008,7鄰,南華七街,,17巷,,,,20號,121.547657532073,23.9527160057131
花蓮縣吉安鄉南華村7鄰南華七街18巷2號,10015,1001505,1001505-008,7鄰,南華七街,,18巷,,,,2號,121.548315886982,23.9527731778276
花蓮縣吉安鄉南華村7鄰南華七街18巷6號,10015,1001505,1001505-008,7鄰,南華七街,,18巷,,,,6號,121.548262221581,23.9528146335941
花蓮縣吉安鄉南華村7鄰南華七街18巷8號,10015,1001505,1001505-008,7鄰,南華七街,,18巷,,,,8號,121.5482119856,23.9528794631277
花蓮縣吉安鄉南華村7鄰南華七街18巷10號,10015,1001505,1001505-008,7鄰,南華七街,,18巷,,,,10號,121.548088403443,23.952994757667
花蓮縣吉安鄉南華村7鄰南華七街18巷12號,10015,1001505,1001505-008,7鄰,南華七街,,18巷,,,,12號,121.54815625708,23.95305346812
花蓮縣吉安鄉南華村7鄰南華七街19巷9號,10015,1001505,1001505-008,7鄰,南華七街,,19巷,,,,9號,121.547922435111,23.9529679368423
花蓮縣吉安鄉南華村7鄰南華七街19巷11號,10015,1001505,1001505-008,7鄰,南華七街,,19巷,,,,11號,121.547816963208,23.9529234914314
