FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
花蓮縣玉里鎮中城里12鄰城西一街1之1號,10015,1001503,1001503-001,12鄰,城西一街,,,,,,1之1號,121.31318018789,23.3252923336705
花蓮縣玉里鎮中城里12鄰城西一街1號,10015,1001503,1001503-001,12鄰,城西一街,,,,,,1號,121.313211044575,23.3252739405439
花蓮縣玉里鎮中城里12鄰城西一街3號,10015,1001503,1001503-001,12鄰,城西一街,,,,,,3號,121.313145626419,23.3253154299358
花蓮縣玉里鎮中城里12鄰城西一街3之1號,10015,1001503,1001503-001,12鄰,城西一街,,,,,,3之1號,121.313102378052,23.3253453162553
花蓮縣玉里鎮中城里12鄰城西一街5號,10015,1001503,1001503-001,12鄰,城西一街,,,,,,5號,121.313062157365,23.3253736613677
花蓮縣玉里鎮中城里12鄰城西一街5之1號,10015,1001503,1001503-001,12鄰,城西一街,,,,,,5之1號,121.312996515627,23.3254032311868
花蓮縣玉里鎮中城里12鄰城西一街7號,10015,1001503,1001503-001,12鄰,城西一街,,,,,,7號,121.31294014302,23.3254241134065
花蓮縣玉里鎮中城里12鄰城西一街7之1號,10015,1001503,1001503-001,12鄰,城西一街,,,,,,7之1號,121.312878424211,23.3254586419905
花蓮縣玉里鎮中城里12鄰城西一街9號,10015,1001503,1001503-001,12鄰,城西一街,,,,,,9號,121.312844261602,23.3254850785935
花蓮縣玉里鎮中城里17鄰城西一街13號,10015,1001503,1001503-001,17鄰,城西一街,,,,,,13號,121.312644221281,23.3256426316667
花蓮縣玉里鎮中城里17鄰城西一街15號,10015,1001503,1001503-001,17鄰,城西一街,,,,,,15號,121.312607615858,23.3256698767866
花蓮縣玉里鎮中城里17鄰城西一街17號,10015,1001503,1001503-001,17鄰,城西一街,,,,,,17號,121.312571010442,23.3256971309282
花蓮縣玉里鎮中城里17鄰城西一街19號,10015,1001503,1001503-001,17鄰,城西一街,,,,,,19號,121.31253440499,23.3257243760312
花蓮縣玉里鎮中城里17鄰城西一街21號,10015,1001503,1001503-001,17鄰,城西一街,,,,,,21號,121.312497799544,23.3257516301558
花蓮縣玉里鎮中城里17鄰城西一街22號,10015,1001503,1001503-001,17鄰,城西一街,,,,,,22號,121.312772697896,23.3258922970325
