FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
花蓮縣壽豐鄉壽豐村8鄰壽豐路一段1號,10015,1001506,1001506-007,8鄰,壽豐路,一段,,,,,1號,121.508888590384,23.8676660923031
花蓮縣壽豐鄉壽豐村8鄰壽豐路一段3號,10015,1001506,1001506-007,8鄰,壽豐路,一段,,,,,3號,121.508978780019,23.8677732090348
花蓮縣壽豐鄉壽豐村8鄰壽豐路一段5號,10015,1001506,1001506-007,8鄰,壽豐路,一段,,,,,5號,121.50900464985,23.8678103611417
花蓮縣壽豐鄉壽豐村8鄰壽豐路一段7之1號,10015,1001506,1001506-007,8鄰,壽豐路,一段,,,,,7之1號,121.5090597982,23.8678900988553
花蓮縣壽豐鄉壽豐村8鄰壽豐路一段7之2號,10015,1001506,1001506-007,8鄰,壽豐路,一段,,,,,7之2號,121.509097866939,23.867935860866
花蓮縣壽豐鄉壽豐村8鄰壽豐路一段7號,10015,1001506,1001506-007,8鄰,壽豐路,一段,,,,,7號,121.50903010015,23.8678481918428
花蓮縣壽豐鄉壽豐村8鄰壽豐路一段7之3號,10015,1001506,1001506-007,8鄰,壽豐路,一段,,,,,7之3號,121.509133632789,23.8679802489694
花蓮縣壽豐鄉壽豐村8鄰壽豐路一段9號,10015,1001506,1001506-007,8鄰,壽豐路,一段,,,,,9號,121.509167070851,23.8680194076565
花蓮縣壽豐鄉壽豐村8鄰壽豐路一段11號,10015,1001506,1001506-007,8鄰,壽豐路,一段,,,,,11號,121.509197115954,23.8680571418675
花蓮縣壽豐鄉壽豐村8鄰壽豐路一段13號,10015,1001506,1001506-007,8鄰,壽豐路,一段,,,,,13號,121.509223870002,23.8680793381721
花蓮縣壽豐鄉壽豐村8鄰壽豐路一段13之1號,10015,1001506,1001506-007,8鄰,壽豐路,一段,,,,,13之1號,121.50923866406,23.8680962646875
花蓮縣壽豐鄉壽豐村8鄰壽豐路一段15號,10015,1001506,1001506-007,8鄰,壽豐路,一段,,,,,15號,121.509251870339,23.8681415309978
花蓮縣壽豐鄉壽豐村8鄰壽豐路一段25號,10015,1001506,1001506-007,8鄰,壽豐路,一段,,,,,25號,121.509387713535,23.8683732479214
花蓮縣壽豐鄉壽豐村8鄰壽豐路一段27號,10015,1001506,1001506-007,8鄰,壽豐路,一段,,,,,27號,121.509414552609,23.8684322119973
花蓮縣壽豐鄉壽豐村8鄰壽豐路一段29號,10015,1001506,1001506-007,8鄰,壽豐路,一段,,,,,29號,121.509462798818,23.8684918275947
花蓮縣壽豐鄉壽豐村8鄰壽豐路一段31號,10015,1001506,1001506-007,8鄰,壽豐路,一段,,,,,31號,121.50953967931,23.8685346890057
