FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
花蓮縣花蓮市主權里10鄰德安二街2號,10015,1001501,1001501-037,10鄰,德安二街,,,,,,2號,121.593850777781,23.9743505271676
花蓮縣花蓮市主權里10鄰德安二街3號,10015,1001501,1001501-037,10鄰,德安二街,,,,,,3號,121.594357875794,23.9744191909424
花蓮縣花蓮市主權里10鄰德安二街5號,10015,1001501,1001501-037,10鄰,德安二街,,,,,,5號,121.594297913765,23.9743847868556
花蓮縣花蓮市主權里10鄰德安二街6號,10015,1001501,1001501-037,10鄰,德安二街,,,,,,6號,121.593815218927,23.9743233782844
花蓮縣花蓮市主權里10鄰德安二街7號,10015,1001501,1001501-037,10鄰,德安二街,,,,,,7號,121.594251203359,23.9743579972877
花蓮縣花蓮市主權里10鄰德安二街8號,10015,1001501,1001501-037,10鄰,德安二街,,,,,,8號,121.59378196384,23.974301466491
花蓮縣花蓮市主權里10鄰德安二街10號,10015,1001501,1001501-037,10鄰,德安二街,,,,,,10號,121.593748293843,23.9742769287746
花蓮縣花蓮市主權里10鄰德安二街11號,10015,1001501,1001501-037,10鄰,德安二街,,,,,,11號,121.594183081164,23.9743033901362
花蓮縣花蓮市主權里10鄰德安二街12號,10015,1001501,1001501-037,10鄰,德安二街,,,,,,12號,121.593699886692,23.9742593915855
花蓮縣花蓮市主權里10鄰德安二街14號,10015,1001501,1001501-037,10鄰,德安二街,,,,,,14號,121.593603899635,23.9742826160328
花蓮縣花蓮市主權里10鄰德安二街15號,10015,1001501,1001501-037,10鄰,德安二街,,,,,,15號,121.594101818621,23.9742525538908
花蓮縣花蓮市主權里10鄰德安二街16號,10015,1001501,1001501-037,10鄰,德安二街,,,,,,16號,121.59361169152,23.9742374575414
花蓮縣花蓮市主權里10鄰德安二街17號,10015,1001501,1001501-037,10鄰,德安二街,,,,,,17號,121.59405105429,23.9742267099709
花蓮縣花蓮市主權里10鄰德安二街18號,10015,1001501,1001501-037,10鄰,德安二街,,,,,,18號,121.593588729689,23.9742144584902
花蓮縣花蓮市主權里10鄰德安二街19號,10015,1001501,1001501-037,10鄰,德安二街,,,,,,19號,121.594007333469,23.9741896876067
花蓮縣花蓮市主權里10鄰德安二街20號,10015,1001501,1001501-037,10鄰,德安二街,,,,,,20號,121.593579408299,23.9741767160316
花蓮縣花蓮市主權里10鄰德安二街21號,10015,1001501,1001501-037,10鄰,德安二街,,,,,,21號,121.593966081846,23.9741596894823
花蓮縣花蓮市主權里10鄰德安二街25號,10015,1001501,1001501-037,10鄰,德安二街,,,,,,25號,121.593854411486,23.9741078060192
花蓮縣花蓮市主權里10鄰德安二街27號,10015,1001501,1001501-037,10鄰,德安二街,,,,,,27號,121.593832792657,23.9740219309186
花蓮縣花蓮市主權里10鄰德安二街27號二樓,10015,1001501,1001501-037,10鄰,德安二街,,,,,,27號二樓,121.593832792657,23.9740219309186
花蓮縣花蓮市主權里10鄰德安二街27號三樓,10015,1001501,1001501-037,10鄰,德安二街,,,,,,27號三樓,121.593832792657,23.9740219309186
花蓮縣花蓮市主權里10鄰德安二街27號四樓,10015,1001501,1001501-037,10鄰,德安二街,,,,,,27號四樓,121.593832792657,23.9740219309186
花蓮縣花蓮市主權里10鄰德安二街27號五樓,10015,1001501,1001501-037,10鄰,德安二街,,,,,,27號五樓,121.593832792657,23.9740219309186
花蓮縣花蓮市主權里19鄰德安二街28號,10015,1001501,1001501-037,19鄰,德安二街,,,,,,28號,121.593387644094,23.974063011527
花蓮縣花蓮市主權里18鄰德安二街29號,10015,1001501,1001501-037,18鄰,德安二街,,,,,,29號,121.593612402707,23.9739379896264
花蓮縣花蓮市主權里18鄰德安二街31號,10015,1001501,1001501-037,18鄰,德安二街,,,,,,31號,121.593567572305,23.9738903710468
花蓮縣花蓮市主權里19鄰德安二街32號,10015,1001501,1001501-037,19鄰,德安二街,,,,,,32號,121.593325934598,23.9739859594796
花蓮縣花蓮市主權里18鄰德安二街33之1號,10015,1001501,1001501-037,18鄰,德安二街,,,,,,33之1號,121.593489150336,23.9738116952308
花蓮縣花蓮市主權里18鄰德安二街33號,10015,1001501,1001501-037,18鄰,德安二街,,,,,,33號,121.593519050352,23.9738391550183
花蓮縣花蓮市主權里19鄰德安二街34號,10015,1001501,1001501-037,19鄰,德安二街,,,,,,34號,121.593288918253,23.9739623646132
花蓮縣花蓮市主權里18鄰德安二街35號,10015,1001501,1001501-037,18鄰,德安二街,,,,,,35號,121.593449073,23.9737505413961
花蓮縣花蓮市主權里19鄰德安二街36號,10015,1001501,1001501-037,19鄰,德安二街,,,,,,36號,121.593251886887,23.973937632106
花蓮縣花蓮市主權里18鄰德安二街37號,10015,1001501,1001501-037,18鄰,德安二街,,,,,,37號,121.593393262496,23.9737084730869
花蓮縣花蓮市主權里19鄰德安二街38巷1號,10015,1001501,1001501-037,19鄰,德安二街,,38巷,,,,1號,121.593003528438,23.9740355665431
花蓮縣花蓮市主權里19鄰德安二街38巷2號,10015,1001501,1001501-037,19鄰,德安二街,,38巷,,,,2號,121.592971099581,23.9740009020298
花蓮縣花蓮市主權里19鄰德安二街38之1號,10015,1001501,1001501-037,19鄰,德安二街,,,,,,38之1號,121.593146125421,23.9738949261138
花蓮縣花蓮市主權里19鄰德安二街38之2號,10015,1001501,1001501-037,19鄰,德安二街,,,,,,38之2號,121.593114774028,23.973868094883
花蓮縣花蓮市主權里19鄰德安二街38號之1,10015,1001501,1001501-037,19鄰,德安二街,,,,,,38號之1,121.593146125421,23.9738949261138
花蓮縣花蓮市主權里18鄰德安二街39號,10015,1001501,1001501-037,18鄰,德安二街,,,,,,39號,121.593334975857,23.973668572329
花蓮縣花蓮市主權里19鄰德安二街40號,10015,1001501,1001501-037,19鄰,德安二街,,,,,,40號,121.593065861281,23.9738366543478
花蓮縣花蓮市主權里18鄰德安二街41號,10015,1001501,1001501-037,18鄰,德安二街,,,,,,41號,121.593289000465,23.9736455448275
花蓮縣花蓮市主權里19鄰德安二街42號,10015,1001501,1001501-037,19鄰,德安二街,,,,,,42號,121.592997341208,23.9737872671172
花蓮縣花蓮市主權里18鄰德安二街43號,10015,1001501,1001501-037,18鄰,德安二街,,,,,,43號,121.593251378109,23.9736247784578
花蓮縣花蓮市主權里19鄰德安二街44號,10015,1001501,1001501-037,19鄰,德安二街,,,,,,44號,121.592922202531,23.9737431333827
花蓮縣花蓮市主權里18鄰德安二街45號,10015,1001501,1001501-037,18鄰,德安二街,,,,,,45號,121.593219125124,23.9736027633399
花蓮縣花蓮市主權里19鄰德安二街46號,10015,1001501,1001501-037,19鄰,德安二街,,,,,,46號,121.59287463146,23.9737128252903
花蓮縣花蓮市主權里18鄰德安二街47號,10015,1001501,1001501-037,18鄰,德安二街,,,,,,47號,121.593189535073,23.9735807379215
花蓮縣花蓮市主權里18鄰德安二街49巷1弄1號,10015,1001501,1001501-037,18鄰,德安二街,,49巷,1弄,,,1號,121.59309089094,23.9733175002457
花蓮縣花蓮市主權里18鄰德安二街49巷1號,10015,1001501,1001501-037,18鄰,德安二街,,49巷,,,,1號,121.593336477614,23.9734686401423
花蓮縣花蓮市主權里18鄰德安二街49巷1弄2號,10015,1001501,1001501-037,18鄰,德安二街,,49巷,1弄,,,2號,121.593044105369,23.9732827377298
花蓮縣花蓮市主權里18鄰德安二街49巷1弄3號,10015,1001501,1001501-037,18鄰,德安二街,,49巷,1弄,,,3號,121.592991602789,23.9732462546389
花蓮縣花蓮市主權里18鄰德安二街49巷1弄4號,10015,1001501,1001501-037,18鄰,德安二街,,49巷,1弄,,,4號,121.592941945845,23.9732088846939
花蓮縣花蓮市主權里18鄰德安二街49巷3號,10015,1001501,1001501-037,18鄰,德安二街,,49巷,,,,3號,121.5933761533,23.9734421212272
花蓮縣花蓮市主權里18鄰德安二街49巷5號,10015,1001501,1001501-037,18鄰,德安二街,,49巷,,,,5號,121.593414156021,23.9734150670143
花蓮縣花蓮市主權里18鄰德安二街49巷7號,10015,1001501,1001501-037,18鄰,德安二街,,49巷,,,,7號,121.59345443986,23.9733926089048
花蓮縣花蓮市主權里18鄰德安二街49巷9號,10015,1001501,1001501-037,18鄰,德安二街,,49巷,,,,9號,121.593487915436,23.9733640372031
花蓮縣花蓮市主權里18鄰德安二街49巷11號,10015,1001501,1001501-037,18鄰,德安二街,,49巷,,,,11號,121.59352366965,23.9733395198587
花蓮縣花蓮市主權里18鄰德安二街49巷13號,10015,1001501,1001501-037,18鄰,德安二街,,49巷,,,,13號,121.593557248008,23.9733119409657
花蓮縣花蓮市主權里18鄰德安二街49巷15號,10015,1001501,1001501-037,18鄰,德安二街,,49巷,,,,15號,121.593589048111,23.9732822922089
花蓮縣花蓮市主權里18鄰德安二街49巷17號,10015,1001501,1001501-037,18鄰,德安二街,,49巷,,,,17號,121.593623143402,23.9732603094577
花蓮縣花蓮市主權里18鄰德安二街49巷19號,10015,1001501,1001501-037,18鄰,德安二街,,49巷,,,,19號,121.593656132143,23.9732327328243
花蓮縣花蓮市主權里19鄰德安二街50號,10015,1001501,1001501-037,19鄰,德安二街,,,,,,50號,121.592816463393,23.9736451136824
花蓮縣花蓮市主權里18鄰德安二街51號,10015,1001501,1001501-037,18鄰,德安二街,,,,,,51號,121.593095653578,23.9734799547623
花蓮縣花蓮市主權里18鄰德安二街51之1號,10015,1001501,1001501-037,18鄰,德安二街,,,,,,51之1號,121.593033029226,23.9734455243372
