FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
花蓮縣吉安鄉南昌村8鄰昌隆九街1號,10015,1001505,1001505-012,8鄰,昌隆九街,,,,,,1號,121.577185563901,23.969889658212
花蓮縣吉安鄉南昌村10鄰昌隆九街2號,10015,1001505,1001505-012,10鄰,昌隆九街,,,,,,2號,121.577074478756,23.9696734177667
花蓮縣吉安鄉南昌村8鄰昌隆九街3號,10015,1001505,1001505-012,8鄰,昌隆九街,,,,,,3號,121.577239714853,23.9698695268779
花蓮縣吉安鄉南昌村8鄰昌隆九街5號,10015,1001505,1001505-012,8鄰,昌隆九街,,,,,,5號,121.577326348626,23.9698355849126
花蓮縣吉安鄉南昌村10鄰昌隆九街6號,10015,1001505,1001505-012,10鄰,昌隆九街,,,,,,6號,121.577122559384,23.9696516027603
花蓮縣吉安鄉南昌村8鄰昌隆九街7號,10015,1001505,1001505-012,8鄰,昌隆九街,,,,,,7號,121.577379125609,23.9698092284782
花蓮縣吉安鄉南昌村10鄰昌隆九街8號,10015,1001505,1001505-012,10鄰,昌隆九街,,,,,,8號,121.577165268385,23.9696239118036
花蓮縣吉安鄉南昌村8鄰昌隆九街9號,10015,1001505,1001505-012,8鄰,昌隆九街,,,,,,9號,121.577434565945,23.9697741577559
花蓮縣吉安鄉南昌村10鄰昌隆九街10號,10015,1001505,1001505-012,10鄰,昌隆九街,,,,,,10號,121.577209057169,23.9695981851627
花蓮縣吉安鄉南昌村8鄰昌隆九街11號,10015,1001505,1001505-012,8鄰,昌隆九街,,,,,,11號,121.577485982656,23.9697490614764
花蓮縣吉安鄉南昌村10鄰昌隆九街12號,10015,1001505,1001505-012,10鄰,昌隆九街,,,,,,12號,121.577253916971,23.9695724544812
花蓮縣吉安鄉南昌村8鄰昌隆九街13號,10015,1001505,1001505-012,8鄰,昌隆九街,,,,,,13號,121.577544145984,23.9697164635278
花蓮縣吉安鄉南昌村10鄰昌隆九街14號,10015,1001505,1001505-012,10鄰,昌隆九街,,,,,,14號,121.57729770568,23.9695467187863
花蓮縣吉安鄉南昌村8鄰昌隆九街15號,10015,1001505,1001505-012,8鄰,昌隆九街,,,,,,15號,121.577599651556,23.969693843912
花蓮縣吉安鄉南昌村10鄰昌隆九街16號,10015,1001505,1001505-012,10鄰,昌隆九街,,,,,,16號,121.577342546851,23.9695190197609
花蓮縣吉安鄉南昌村8鄰昌隆九街17號,10015,1001505,1001505-012,8鄰,昌隆九街,,,,,,17號,121.577659187483,23.9696649788868
花蓮縣吉安鄉南昌村10鄰昌隆九街18之1號,10015,1001505,1001505-012,10鄰,昌隆九街,,,,,,18之1號,121.577445934756,23.9694830463165
花蓮縣吉安鄉南昌村10鄰昌隆九街18號,10015,1001505,1001505-012,10鄰,昌隆九街,,,,,,18號,121.577386348679,23.9694962365745
花蓮縣吉安鄉南昌村10鄰昌隆九街18之2號,10015,1001505,1001505-012,10鄰,昌隆九街,,,,,,18之2號,121.577487901536,23.9694630239436
花蓮縣吉安鄉南昌村8鄰昌隆九街19號,10015,1001505,1001505-012,8鄰,昌隆九街,,,,,,19號,121.577709214788,23.969632411499
花蓮縣吉安鄉南昌村10鄰昌隆九街20巷1號,10015,1001505,1001505-012,10鄰,昌隆九街,,20巷,,,,1號,121.577537670266,23.9693415731073
花蓮縣吉安鄉南昌村10鄰昌隆九街20巷3號,10015,1001505,1001505-012,10鄰,昌隆九街,,20巷,,,,3號,121.57750977628,23.9693002335601
花蓮縣吉安鄉南昌村10鄰昌隆九街22號,10015,1001505,1001505-012,10鄰,昌隆九街,,,,,,22號,121.577567280648,23.9694284951498
花蓮縣吉安鄉南昌村10鄰昌隆九街24號,10015,1001505,1001505-012,10鄰,昌隆九街,,,,,,24號,121.577611091177,23.9694076802557
花蓮縣吉安鄉南昌村10鄰昌隆九街26號,10015,1001505,1001505-012,10鄰,昌隆九街,,,,,,26號,121.577651697365,23.9693888457981
花蓮縣吉安鄉南昌村10鄰昌隆九街28號,10015,1001505,1001505-012,10鄰,昌隆九街,,,,,,28號,121.57768801502,23.9693690432776
花蓮縣吉安鄉南昌村8鄰昌隆九街35號,10015,1001505,1001505-012,8鄰,昌隆九街,,,,,,35號,121.577756499254,23.9695708974412
花蓮縣吉安鄉南昌村8鄰昌隆九街37號,10015,1001505,1001505-012,8鄰,昌隆九街,,,,,,37號,121.577799669264,23.9695452632561
花蓮縣吉安鄉南昌村8鄰昌隆九街39號,10015,1001505,1001505-012,8鄰,昌隆九街,,,,,,39號,121.577857173891,23.9695368662062
