FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
花蓮縣吉安鄉太昌村8鄰明義四街2號,10015,1001505,1001505-003,8鄰,明義四街,,,,,,2號,121.567361559201,23.9951760597959
花蓮縣吉安鄉太昌村8鄰明義四街4號,10015,1001505,1001505-003,8鄰,明義四街,,,,,,4號,121.567329875202,23.9950845568516
花蓮縣吉安鄉太昌村8鄰明義四街6號,10015,1001505,1001505-003,8鄰,明義四街,,,,,,6號,121.567302800072,23.9949951677611
花蓮縣吉安鄉太昌村7鄰明義四街7號,10015,1001505,1001505-003,7鄰,明義四街,,,,,,7號,121.567520735289,23.9945169649957
花蓮縣吉安鄉太昌村8鄰明義四街8號,10015,1001505,1001505-003,8鄰,明義四街,,,,,,8號,121.567114540889,23.9949005870427
花蓮縣吉安鄉太昌村8鄰明義四街20巷10之1號,10015,1001505,1001505-003,8鄰,明義四街,,20巷,,,,10之1號,121.566676088103,23.9944737862301
花蓮縣吉安鄉太昌村8鄰明義四街20巷10號,10015,1001505,1001505-003,8鄰,明義四街,,20巷,,,,10號,121.566776685585,23.9944372521808
花蓮縣吉安鄉太昌村7鄰明義四街23號,10015,1001505,1001505-003,7鄰,明義四街,,,,,,23號,121.567074888758,23.993945886595
花蓮縣吉安鄉太昌村7鄰明義四街27號,10015,1001505,1001505-003,7鄰,明義四街,,,,,,27號,121.566969585628,23.9937157491945
花蓮縣吉安鄉太昌村7鄰明義四街27號之1,10015,1001505,1001505-003,7鄰,明義四街,,,,,,27號之1,121.566969585628,23.9937157491945
花蓮縣吉安鄉太昌村7鄰明義四街31號,10015,1001505,1001505-003,7鄰,明義四街,,,,,,31號,121.56680004161,23.9935382370759
花蓮縣吉安鄉太昌村8鄰明義四街32之1號,10015,1001505,1001505-003,8鄰,明義四街,,,,,,32之1號,121.56659570365,23.9935395971021
花蓮縣吉安鄉太昌村8鄰明義四街32號,10015,1001505,1001505-003,8鄰,明義四街,,,,,,32號,121.566671051055,23.9936487085385
花蓮縣吉安鄉太昌村7鄰明義四街33號,10015,1001505,1001505-003,7鄰,明義四街,,,,,,33號,121.566694262108,23.9934393058123
花蓮縣吉安鄉太昌村8鄰明義四街34號,10015,1001505,1001505-003,8鄰,明義四街,,,,,,34號,121.566526124609,23.9938187959479
花蓮縣吉安鄉太昌村7鄰明義四街35號,10015,1001505,1001505-003,7鄰,明義四街,,,,,,35號,121.56665312117,23.993371738165
花蓮縣吉安鄉太昌村8鄰明義四街36號,10015,1001505,1001505-003,8鄰,明義四街,,,,,,36號,121.566409700872,23.9937197593435
花蓮縣吉安鄉太昌村7鄰明義四街37號,10015,1001505,1001505-003,7鄰,明義四街,,,,,,37號,121.566605513458,23.9932996797531
花蓮縣吉安鄉太昌村8鄰明義四街38號,10015,1001505,1001505-003,8鄰,明義四街,,,,,,38號,121.566433012875,23.9935872316415
花蓮縣吉安鄉太昌村7鄰明義四街39號,10015,1001505,1001505-003,7鄰,明義四街,,,,,,39號,121.566564991815,23.9932343671138
花蓮縣吉安鄉太昌村8鄰明義四街40號,10015,1001505,1001505-003,8鄰,明義四街,,,,,,40號,121.566105482765,23.9935036650152
花蓮縣吉安鄉太昌村8鄰明義四街42之1號,10015,1001505,1001505-003,8鄰,明義四街,,,,,,42之1號,121.566532988194,23.9934468542088
花蓮縣吉安鄉太昌村8鄰明義四街42號,10015,1001505,1001505-003,8鄰,明義四街,,,,,,42號,121.566561252397,23.9934982438278
花蓮縣吉安鄉太昌村7鄰明義四街45號,10015,1001505,1001505-003,7鄰,明義四街,,,,,,45號,121.566491607081,23.9931020521216
花蓮縣吉安鄉太昌村8鄰明義四街46號,10015,1001505,1001505-003,8鄰,明義四街,,,,,,46號,121.566504765136,23.9934026156286
花蓮縣吉安鄉太昌村7鄰明義四街47號,10015,1001505,1001505-003,7鄰,明義四街,,,,,,47號,121.566540903969,23.9930368772003
花蓮縣吉安鄉太昌村8鄰明義四街48號,10015,1001505,1001505-003,8鄰,明義四街,,,,,,48號,121.566414202338,23.993351456098
花蓮縣吉安鄉太昌村8鄰明義四街49之1號,10015,1001505,1001505-003,8鄰,明義四街,,,,,,49之1號,121.566369626895,23.9928807252393
花蓮縣吉安鄉太昌村7鄰明義四街49號,10015,1001505,1001505-003,7鄰,明義四街,,,,,,49號,121.56640265229,23.9929399166756
花蓮縣吉安鄉太昌村8鄰明義四街50號,10015,1001505,1001505-003,8鄰,明義四街,,,,,,50號,121.566295834076,23.9931829823134
花蓮縣吉安鄉太昌村8鄰明義四街52號,10015,1001505,1001505-003,8鄰,明義四街,,,,,,52號,121.56634554435,23.9930684969794
花蓮縣吉安鄉太昌村8鄰明義四街52之1號,10015,1001505,1001505-003,8鄰,明義四街,,,,,,52之1號,121.56623656628,23.9931166643171
花蓮縣吉安鄉太昌村7鄰明義四街53巷1之1號,10015,1001505,1001505-003,7鄰,明義四街,,53巷,,,,1之1號,121.566540645589,23.9925062539119
花蓮縣吉安鄉太昌村7鄰明義四街53巷1號,10015,1001505,1001505-003,7鄰,明義四街,,53巷,,,,1號,121.566413065645,23.9926918616968
花蓮縣吉安鄉太昌村7鄰明義四街53巷2號,10015,1001505,1001505-003,7鄰,明義四街,,53巷,,,,2號,121.566341745975,23.9925507264031
花蓮縣吉安鄉太昌村8鄰明義四街54號,10015,1001505,1001505-003,8鄰,明義四街,,,,,,54號,121.566254713613,23.9929762370125
花蓮縣吉安鄉太昌村7鄰明義四街57號,10015,1001505,1001505-003,7鄰,明義四街,,,,,,57號,121.566228390167,23.9926742051448
花蓮縣吉安鄉太昌村8鄰明義四街58號,10015,1001505,1001505-003,8鄰,明義四街,,,,,,58號,121.566051763521,23.9927373940121
花蓮縣吉安鄉太昌村7鄰明義四街59號,10015,1001505,1001505-003,7鄰,明義四街,,,,,,59號,121.566188888531,23.9926307936862
