FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
花蓮縣花蓮市民孝里18鄰林園二街1號,10015,1001501,1001501-045,18鄰,林園二街,,,,,,1號,121.632042984154,24.0033807148832
花蓮縣花蓮市民孝里19鄰林園二街2號,10015,1001501,1001501-045,19鄰,林園二街,,,,,,2號,121.632026640473,24.0036023318401
花蓮縣花蓮市民孝里18鄰林園二街3號,10015,1001501,1001501-045,18鄰,林園二街,,,,,,3號,121.631971737063,24.0033748777575
花蓮縣花蓮市民孝里18鄰林園二街5號,10015,1001501,1001501-045,18鄰,林園二街,,,,,,5號,121.631924972894,24.0033709893164
花蓮縣花蓮市民孝里19鄰林園二街6號,10015,1001501,1001501-045,19鄰,林園二街,,,,,,6號,121.631941065825,24.0036111539897
花蓮縣花蓮市民孝里18鄰林園二街7號,10015,1001501,1001501-045,18鄰,林園二街,,,,,,7號,121.631880439611,24.0033650420371
花蓮縣花蓮市民孝里19鄰林園二街8號,10015,1001501,1001501-045,19鄰,林園二街,,,,,,8號,121.631892102321,24.0036057396409
花蓮縣花蓮市民孝里18鄰林園二街9號,10015,1001501,1001501-045,18鄰,林園二街,,,,,,9號,121.631827011877,24.0033632216299
花蓮縣花蓮市民孝里19鄰林園二街10號,10015,1001501,1001501-045,19鄰,林園二街,,,,,,10號,121.631843262236,24.0036255975102
花蓮縣花蓮市民孝里18鄰林園二街11號,10015,1001501,1001501-045,18鄰,林園二街,,,,,,11號,121.631782458764,24.0033552247743
花蓮縣花蓮市民孝里19鄰林園二街12號,10015,1001501,1001501-045,19鄰,林園二街,,,,,,12號,121.631794298729,24.0036201831302
花蓮縣花蓮市民孝里18鄰林園二街13號,10015,1001501,1001501-045,18鄰,林園二街,,,,,,13號,121.631733473371,24.0033513454279
花蓮縣花蓮市民孝里19鄰林園二街14號,10015,1001501,1001501-045,19鄰,林園二街,,,,,,14號,121.631747495843,24.0035983176504
花蓮縣花蓮市民孝里18鄰林園二街15號,10015,1001501,1001501-045,18鄰,林園二街,,,,,,15號,121.631684487803,24.0033454164371
花蓮縣花蓮市民孝里19鄰林園二街16號,10015,1001501,1001501-045,19鄰,林園二街,,,,,,16號,121.631701575302,24.0035900826189
花蓮縣花蓮市民孝里18鄰林園二街17號,10015,1001501,1001501-045,18鄰,林園二街,,,,,,17號,121.631635492411,24.003339487471
花蓮縣花蓮市民孝里19鄰林園二街18號,10015,1001501,1001501-045,19鄰,林園二街,,,,,,18號,121.631652611814,24.0035846681933
花蓮縣花蓮市民孝里17鄰林園二街19號,10015,1001501,1001501-045,17鄰,林園二街,,,,,,19號,121.63126095089,24.0032749633924
花蓮縣花蓮市民孝里19鄰林園二街20號,10015,1001501,1001501-045,19鄰,林園二街,,,,,,20號,121.63160184998,24.0035813288484
花蓮縣花蓮市民孝里17鄰林園二街21號,10015,1001501,1001501-045,17鄰,林園二街,,,,,,21號,121.631202144355,24.0032665735937
花蓮縣花蓮市民孝里20鄰林園二街22號,10015,1001501,1001501-045,20鄰,林園二街,,,,,,22號,121.631359686304,24.003606614862
