FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
花蓮縣富里鄉東里村7鄰福安路1號,10015,1001510,1001510-002,7鄰,福安路,,,,,,1號,121.304772126848,23.2681082472194
花蓮縣富里鄉東里村7鄰福安路2號,10015,1001510,1001510-002,7鄰,福安路,,,,,,2號,121.304807481717,23.2680873907318
花蓮縣富里鄉東里村7鄰福安路3號,10015,1001510,1001510-002,7鄰,福安路,,,,,,3號,121.304841754654,23.2680635653549
花蓮縣富里鄉東里村7鄰福安路4號,10015,1001510,1001510-002,7鄰,福安路,,,,,,4號,121.304870684084,23.2680496566323
花蓮縣富里鄉東里村9鄰福安路5號,10015,1001510,1001510-002,9鄰,福安路,,,,,,5號,121.305253168298,23.2677744722708
花蓮縣富里鄉東里村11鄰福安路6號,10015,1001510,1001510-002,11鄰,福安路,,,,,,6號,121.304967258545,23.2682279266593
花蓮縣富里鄉東里村9鄰福安路6號,10015,1001510,1001510-002,9鄰,福安路,,,,,,6號,121.304967258545,23.2682279266593
花蓮縣富里鄉東里村9鄰福安路6之1號,10015,1001510,1001510-002,9鄰,福安路,,,,,,6之1號,121.305184973288,23.267302254763
花蓮縣富里鄉東里村11鄰福安路7號,10015,1001510,1001510-002,11鄰,福安路,,,,,,7號,121.305498909189,23.267799089571
花蓮縣富里鄉東里村11鄰福安路8號,10015,1001510,1001510-002,11鄰,福安路,,,,,,8號,121.305650374714,23.2678523537005
花蓮縣富里鄉東里村9鄰福安路9號,10015,1001510,1001510-002,9鄰,福安路,,,,,,9號,121.304872500543,23.2675506273878
花蓮縣富里鄉東里村11鄰福安路20之1號,10015,1001510,1001510-002,11鄰,福安路,,,,,,20之1號,121.306101145969,23.2676143025369
花蓮縣富里鄉東里村11鄰福安路20之2號,10015,1001510,1001510-002,11鄰,福安路,,,,,,20之2號,121.305940258463,23.2676981468139
花蓮縣富里鄉東里村11鄰福安路20號,10015,1001510,1001510-002,11鄰,福安路,,,,,,20號,121.306120088818,23.2674647412085
花蓮縣富里鄉東里村11鄰福安路21號,10015,1001510,1001510-002,11鄰,福安路,,,,,,21號,121.306160853883,23.2674505472904
花蓮縣富里鄉東里村11鄰福安路22號,10015,1001510,1001510-002,11鄰,福安路,,,,,,22號,121.306207943943,23.2674197251968
花蓮縣富里鄉東里村11鄰福安路23號,10015,1001510,1001510-002,11鄰,福安路,,,,,,23號,121.306251238532,23.2673961167057
花蓮縣富里鄉東里村11鄰福安路24號,10015,1001510,1001510-002,11鄰,福安路,,,,,,24號,121.306321254712,23.2673549552639
花蓮縣富里鄉東里村11鄰福安路25號,10015,1001510,1001510-002,11鄰,福安路,,,,,,25號,121.306359368089,23.2673352489299
花蓮縣富里鄉東里村11鄰福安路27號,10015,1001510,1001510-002,11鄰,福安路,,,,,,27號,121.306448158025,23.2672844966934
花蓮縣富里鄉東里村11鄰福安路28號,10015,1001510,1001510-002,11鄰,福安路,,,,,,28號,121.306270224696,23.2675307401172
花蓮縣富里鄉東里村11鄰福安路29號,10015,1001510,1001510-002,11鄰,福安路,,,,,,29號,121.306294494975,23.2675653602466
花蓮縣富里鄉東里村11鄰福安路30號,10015,1001510,1001510-002,11鄰,福安路,,,,,,30號,121.306420946359,23.2674382281581
花蓮縣富里鄉東里村11鄰福安路31號,10015,1001510,1001510-002,11鄰,福安路,,,,,,31號,121.306447588442,23.267492755537
