FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
花蓮縣瑞穗鄉瑞北村7鄰竹圍路31號,10015,1001509,1001509-005,7鄰,竹圍路,,,,,,31號,121.375803162756,23.5169240947316
花蓮縣瑞穗鄉瑞北村7鄰竹圍路32號,10015,1001509,1001509-005,7鄰,竹圍路,,,,,,32號,121.37586538174,23.5174441543485
花蓮縣瑞穗鄉瑞北村6鄰竹圍路67號,10015,1001509,1001509-005,6鄰,竹圍路,,,,,,67號,121.37600761207,23.5258338222597
花蓮縣瑞穗鄉瑞北村6鄰竹圍路68號,10015,1001509,1001509-005,6鄰,竹圍路,,,,,,68號,121.376086106552,23.52566584623
花蓮縣瑞穗鄉瑞北村6鄰竹圍路69號,10015,1001509,1001509-005,6鄰,竹圍路,,,,,,69號,121.376169842012,23.5253744806143
花蓮縣瑞穗鄉瑞北村6鄰竹圍路70號,10015,1001509,1001509-005,6鄰,竹圍路,,,,,,70號,121.376485470613,23.5253115099304
花蓮縣瑞穗鄉瑞北村6鄰竹圍路70之1號,10015,1001509,1001509-005,6鄰,竹圍路,,,,,,70之1號,121.376360545803,23.5253031612677
花蓮縣瑞穗鄉瑞北村6鄰竹圍路71號,10015,1001509,1001509-005,6鄰,竹圍路,,,,,,71號,121.376316416979,23.52486531297
花蓮縣瑞穗鄉瑞北村6鄰竹圍路72號,10015,1001509,1001509-005,6鄰,竹圍路,,,,,,72號,121.376185814761,23.5247164439958
花蓮縣瑞穗鄉瑞北村6鄰竹圍路73之1號,10015,1001509,1001509-005,6鄰,竹圍路,,,,,,73之1號,121.376190529203,23.5243078160578
花蓮縣瑞穗鄉瑞北村6鄰竹圍路73號,10015,1001509,1001509-005,6鄰,竹圍路,,,,,,73號,121.376313225244,23.5245865916752
花蓮縣瑞穗鄉瑞北村6鄰竹圍路74號,10015,1001509,1001509-005,6鄰,竹圍路,,,,,,74號,121.376192633846,23.5244315580988
花蓮縣瑞穗鄉瑞北村6鄰竹圍路75之1號,10015,1001509,1001509-005,6鄰,竹圍路,,,,,,75之1號,121.375929487569,23.5240668038207
花蓮縣瑞穗鄉瑞北村6鄰竹圍路75號,10015,1001509,1001509-005,6鄰,竹圍路,,,,,,75號,121.376044449749,23.5241502974861
