FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
花蓮縣玉里鎮永昌里7鄰自強五街1之1號,10015,1001503,1001503-003,7鄰,自強五街,,,,,,1之1號,121.315935376354,23.3418152934563
花蓮縣玉里鎮永昌里7鄰自強五街1號,10015,1001503,1001503-003,7鄰,自強五街,,,,,,1號,121.315910553872,23.341901338604
花蓮縣玉里鎮永昌里7鄰自強五街3號,10015,1001503,1001503-003,7鄰,自強五街,,,,,,3號,121.315900949064,23.3419380298248
花蓮縣玉里鎮永昌里7鄰自強五街4號,10015,1001503,1001503-003,7鄰,自強五街,,,,,,4號,121.316055007553,23.3420619481352
花蓮縣玉里鎮永昌里7鄰自強五街5號,10015,1001503,1001503-003,7鄰,自強五街,,,,,,5號,121.315886981043,23.3419782245528
花蓮縣玉里鎮永昌里7鄰自強五街6號,10015,1001503,1001503-003,7鄰,自強五街,,,,,,6號,121.316007559245,23.3422282998168
花蓮縣玉里鎮永昌里7鄰自強五街7號,10015,1001503,1001503-003,7鄰,自強五街,,,,,,7號,121.3158767855,23.3420173822218
花蓮縣玉里鎮永昌里7鄰自強五街8號,10015,1001503,1001503-003,7鄰,自強五街,,,,,,8號,121.315986933321,23.3422693568303
花蓮縣玉里鎮永昌里7鄰自強五街9號,10015,1001503,1001503-003,7鄰,自強五街,,,,,,9號,121.315867542396,23.3420581543836
花蓮縣玉里鎮永昌里7鄰自強五街10號,10015,1001503,1001503-003,7鄰,自強五街,,,,,,10號,121.315976457739,23.3423058872667
花蓮縣玉里鎮永昌里7鄰自強五街11號,10015,1001503,1001503-003,7鄰,自強五街,,,,,,11號,121.315859188454,23.3420903279534
花蓮縣玉里鎮永昌里7鄰自強五街12號,10015,1001503,1001503-003,7鄰,自強五街,,,,,,12號,121.315967132699,23.342349224189
花蓮縣玉里鎮永昌里7鄰自強五街13號,10015,1001503,1001503-003,7鄰,自強五街,,,,,,13號,121.31584575662,23.3421339530907
花蓮縣玉里鎮永昌里7鄰自強五街14號,10015,1001503,1001503-003,7鄰,自強五街,,,,,,14號,121.315947196736,23.3424132346994
花蓮縣玉里鎮永昌里7鄰自強五街15號,10015,1001503,1001503-003,7鄰,自強五街,,,,,,15號,121.315835538245,23.34216760235
花蓮縣玉里鎮永昌里7鄰自強五街16號,10015,1001503,1001503-003,7鄰,自強五街,,,,,,16號,121.315936269652,23.3424532155988
花蓮縣玉里鎮永昌里7鄰自強五街17號,10015,1001503,1001503-003,7鄰,自強五街,,,,,,17號,121.31582296762,23.3422114876255
花蓮縣玉里鎮永昌里7鄰自強五街18號,10015,1001503,1001503-003,7鄰,自強五街,,,,,,18號,121.315922834427,23.342491278114
花蓮縣玉里鎮永昌里7鄰自強五街19號,10015,1001503,1001503-003,7鄰,自強五街,,,,,,19號,121.315810387208,23.3422553729195
花蓮縣玉里鎮永昌里7鄰自強五街20號,10015,1001503,1001503-003,7鄰,自強五街,,,,,,20號,121.315909181911,23.3425325738955
花蓮縣玉里鎮永昌里7鄰自強五街22號,10015,1001503,1001503-003,7鄰,自強五街,,,,,,22號,121.315896164011,23.3425692900591
花蓮縣玉里鎮永昌里7鄰自強五街23號,10015,1001503,1001503-003,7鄰,自強五街,,,,,,23號,121.315789582683,23.3423325873878
花蓮縣玉里鎮永昌里7鄰自強五街24號,10015,1001503,1001503-003,7鄰,自強五街,,,,,,24號,121.3158827894,23.3426040473769
花蓮縣玉里鎮永昌里7鄰自強五街25號,10015,1001503,1001503-003,7鄰,自強五街,,,,,,25號,121.315773714183,23.3423755853141
花蓮縣玉里鎮永昌里7鄰自強五街26號,10015,1001503,1001503-003,7鄰,自強五街,,,,,,26號,121.315871520012,23.3426399021376
花蓮縣玉里鎮永昌里7鄰自強五街27號,10015,1001503,1001503-003,7鄰,自強五街,,,,,,27號,121.315761954735,23.3424109895437
花蓮縣玉里鎮永昌里7鄰自強五街28號,10015,1001503,1001503-003,7鄰,自強五街,,,,,,28號,121.315862836407,23.3426691595999
花蓮縣玉里鎮永昌里7鄰自強五街29號,10015,1001503,1001503-003,7鄰,自強五街,,,,,,29號,121.315744895621,23.3424467837282
花蓮縣玉里鎮永昌里7鄰自強五街31號,10015,1001503,1001503-003,7鄰,自強五街,,,,,,31號,121.315732220739,23.3424879601306
花蓮縣玉里鎮永昌里7鄰自強五街33號,10015,1001503,1001503-003,7鄰,自強五街,,,,,,33號,121.315720415148,23.3425245383823
花蓮縣玉里鎮永昌里7鄰自強五街35號,10015,1001503,1001503-003,7鄰,自強五街,,,,,,35號,121.31570787657,23.3425613258064
花蓮縣玉里鎮永昌里7鄰自強五街37號,10015,1001503,1001503-003,7鄰,自強五街,,,,,,37號,121.315697023988,23.3426038982205
花蓮縣玉里鎮永昌里7鄰自強五街39號,10015,1001503,1001503-003,7鄰,自強五街,,,,,,39號,121.315681488364,23.3426388043618
花蓮縣玉里鎮永昌里7鄰自強五街41號,10015,1001503,1001503-003,7鄰,自強五街,,,,,,41號,121.315667194851,23.3426778890033
花蓮縣玉里鎮永昌里7鄰自強五街43號,10015,1001503,1001503-003,7鄰,自強五街,,,,,,43號,121.315651353284,23.3427199025645
花蓮縣玉里鎮永昌里7鄰自強五街45號,10015,1001503,1001503-003,7鄰,自強五街,,,,,,45號,121.315643765328,23.3427534562051
