FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
花蓮縣壽豐鄉豐山村12鄰豐裡一街257巷1號,10015,1001506,1001506-003,12鄰,豐裡一街,,257巷,,,,1號,121.49408029614,23.8450976969973
花蓮縣壽豐鄉豐山村12鄰豐裡一街257巷2號,10015,1001506,1001506-003,12鄰,豐裡一街,,257巷,,,,2號,121.493868714555,23.8448673908271
花蓮縣壽豐鄉豐山村12鄰豐裡一街257巷3號,10015,1001506,1001506-003,12鄰,豐裡一街,,257巷,,,,3號,121.493801811276,23.8445585965613
花蓮縣壽豐鄉豐山村12鄰豐裡一街257巷6號,10015,1001506,1001506-003,12鄰,豐裡一街,,257巷,,,,6號,121.493428883818,23.8441679365545
花蓮縣壽豐鄉豐山村12鄰豐裡一街267巷1號,10015,1001506,1001506-003,12鄰,豐裡一街,,267巷,,,,1號,121.494771864623,23.8451675967322
花蓮縣壽豐鄉豐山村12鄰豐裡一街267巷2號,10015,1001506,1001506-003,12鄰,豐裡一街,,267巷,,,,2號,121.494232675774,23.8452976910085
花蓮縣壽豐鄉豐山村12鄰豐裡一街345號,10015,1001506,1001506-003,12鄰,豐裡一街,,,,,,345號,121.496150370876,23.8468215726174
花蓮縣壽豐鄉豐山村12鄰豐裡一街347號,10015,1001506,1001506-003,12鄰,豐裡一街,,,,,,347號,121.496205580096,23.8468830665027
花蓮縣壽豐鄉豐山村12鄰豐裡一街349號,10015,1001506,1001506-003,12鄰,豐裡一街,,,,,,349號,121.496272259482,23.8469481532922
花蓮縣壽豐鄉豐山村12鄰豐裡一街351巷7號,10015,1001506,1001506-003,12鄰,豐裡一街,,351巷,,,,7號,121.496026883596,23.8469274983261
花蓮縣壽豐鄉豐山村12鄰豐裡一街351巷9號,10015,1001506,1001506-003,12鄰,豐裡一街,,351巷,,,,9號,121.495961330612,23.8470113498795
花蓮縣壽豐鄉豐山村12鄰豐裡一街351巷10號,10015,1001506,1001506-003,12鄰,豐裡一街,,351巷,,,,10號,121.496122021837,23.8473432094678
