FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
花蓮縣新城鄉順安村5鄰順興街6巷1號,10015,1001504,1001504-002,5鄰,順興街,,6巷,,,,1號,121.632815792715,24.1142068461763
花蓮縣新城鄉順安村5鄰順興街6巷3號,10015,1001504,1001504-002,5鄰,順興街,,6巷,,,,3號,121.632855722189,24.1142309780253
花蓮縣新城鄉順安村5鄰順興街6巷5號,10015,1001504,1001504-002,5鄰,順興街,,6巷,,,,5號,121.632892838052,24.1142550673442
花蓮縣新城鄉順安村5鄰順興街6巷7號,10015,1001504,1001504-002,5鄰,順興街,,6巷,,,,7號,121.632934985081,24.1142800477478
花蓮縣新城鄉順安村5鄰順興街6巷9號,10015,1001504,1001504-002,5鄰,順興街,,6巷,,,,9號,121.632978056531,24.1143049701351
花蓮縣新城鄉順安村5鄰順興街6巷11號,10015,1001504,1001504-002,5鄰,順興街,,6巷,,,,11號,121.633023815191,24.1143282290556
花蓮縣新城鄉順安村5鄰順興街6巷13號,10015,1001504,1001504-002,5鄰,順興街,,6巷,,,,13號,121.633060501949,24.1143590648285
花蓮縣新城鄉順安村5鄰順興街6巷17號,10015,1001504,1001504-002,5鄰,順興街,,6巷,,,,17號,121.633139663297,24.1144114575612
花蓮縣新城鄉順安村5鄰順興街6巷19號,10015,1001504,1001504-002,5鄰,順興街,,6巷,,,,19號,121.633175866673,24.1144380064985
花蓮縣新城鄉順安村5鄰順興街6巷21號,10015,1001504,1001504-002,5鄰,順興街,,6巷,,,,21號,121.633213112513,24.1144644969318
花蓮縣新城鄉順安村5鄰順興街6巷23號,10015,1001504,1001504-002,5鄰,順興街,,6巷,,,,23號,121.633255417117,24.1144974853791
花蓮縣新城鄉順安村5鄰順興街6巷25號,10015,1001504,1001504-002,5鄰,順興街,,6巷,,,,25號,121.633297206789,24.1145217809511
花蓮縣新城鄉順安村5鄰順興街6巷27號,10015,1001504,1001504-002,5鄰,順興街,,6巷,,,,27號,121.633336083389,24.11454781314
花蓮縣新城鄉順安村5鄰順興街6巷29號,10015,1001504,1001504-002,5鄰,順興街,,6巷,,,,29號,121.633375655291,24.1145712059469
花蓮縣新城鄉順安村5鄰順興街8號,10015,1001504,1001504-002,5鄰,順興街,,,,,,8號,121.632667058773,24.1141054516637
花蓮縣新城鄉順安村5鄰順興街10號,10015,1001504,1001504-002,5鄰,順興街,,,,,,10號,121.632611501264,24.1141299789522
花蓮縣新城鄉順安村5鄰順興街12號,10015,1001504,1001504-002,5鄰,順興街,,,,,,12號,121.6325719285,24.1141543948945
花蓮縣新城鄉順安村5鄰順興街58巷1號,10015,1001504,1001504-002,5鄰,順興街,,58巷,,,,1號,121.630763973932,24.1153667005343
花蓮縣新城鄉順安村5鄰順興街58巷3號,10015,1001504,1001504-002,5鄰,順興街,,58巷,,,,3號,121.630803521336,24.1153931639953
花蓮縣新城鄉順安村5鄰順興街58巷5號,10015,1001504,1001504-002,5鄰,順興街,,58巷,,,,5號,121.630843058963,24.1154196365152
花蓮縣新城鄉順安村5鄰順興街58巷7號,10015,1001504,1001504-002,5鄰,順興街,,58巷,,,,7號,121.6308826064,24.1154460999549
花蓮縣新城鄉順安村5鄰順興街58巷9號,10015,1001504,1001504-002,5鄰,順興街,,58巷,,,,9號,121.630922144016,24.1154725634245
花蓮縣新城鄉順安村5鄰順興街58巷11號,10015,1001504,1001504-002,5鄰,順興街,,58巷,,,,11號,121.630961691529,24.1154990358718
花蓮縣新城鄉順安村5鄰順興街58巷13號,10015,1001504,1001504-002,5鄰,順興街,,58巷,,,,13號,121.631008433059,24.1155361509618
花蓮縣新城鄉順安村5鄰順興街58巷15號,10015,1001504,1001504-002,5鄰,順興街,,58巷,,,,15號,121.631047021858,24.1155616973512
花蓮縣新城鄉順安村5鄰順興街58巷17號,10015,1001504,1001504-002,5鄰,順興街,,58巷,,,,17號,121.631085610672,24.1155872437304
花蓮縣新城鄉順安村5鄰順興街58巷19號,10015,1001504,1001504-002,5鄰,順興街,,58巷,,,,19號,121.631124209338,24.1156127900589
花蓮縣新城鄉順安村5鄰順興街58巷21號,10015,1001504,1001504-002,5鄰,順興街,,58巷,,,,21號,121.631162798183,24.1156383364178
花蓮縣新城鄉順安村5鄰順興街58巷23號,10015,1001504,1001504-002,5鄰,順興街,,58巷,,,,23號,121.631201386998,24.1156638737376
花蓮縣新城鄉順安村5鄰順興街58巷25號,10015,1001504,1001504-002,5鄰,順興街,,58巷,,,,25號,121.631239975873,24.1156894200763
花蓮縣新城鄉順安村5鄰順興街58巷27號,10015,1001504,1001504-002,5鄰,順興街,,58巷,,,,27號,121.631278564763,24.1157149664047
花蓮縣新城鄉順安村5鄰順興街60號,10015,1001504,1001504-002,5鄰,順興街,,,,,,60號,121.630716125886,24.1152181801738
花蓮縣新城鄉順安村5鄰順興街62號,10015,1001504,1001504-002,5鄰,順興街,,,,,,62號,121.630684435515,24.1152573617488
花蓮縣新城鄉順安村5鄰順興街66號,10015,1001504,1001504-002,5鄰,順興街,,,,,,66號,121.630653481117,24.1152921611778
花蓮縣新城鄉順安村5鄰順興街68號,10015,1001504,1001504-002,5鄰,順興街,,,,,,68號,121.630626106562,24.1153287877555
