FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
澎湖縣馬公市中央里10鄰正義街1號,10016,1001601,1001601-004,10鄰,正義街,,,,,,1號,121.564039226067,23.564694368407
澎湖縣馬公市中央里10鄰正義街3號,10016,1001601,1001601-004,10鄰,正義街,,,,,,3號,121.564141046161,23.5645228574117
澎湖縣馬公市中央里9鄰正義街6號,10016,1001601,1001601-004,9鄰,正義街,,,,,,6號,121.564178342923,23.5642898528776
澎湖縣馬公市中央里9鄰正義街8號,10016,1001601,1001601-004,9鄰,正義街,,,,,,8號,121.564178507198,23.5643283191775
澎湖縣馬公市中央里9鄰正義街10號,10016,1001601,1001601-004,9鄰,正義街,,,,,,10號,121.564175697687,23.5643562855956
澎湖縣馬公市中央里9鄰正義街12號,10016,1001601,1001601-004,9鄰,正義街,,,,,,12號,121.56418044189,23.5643982839819
澎湖縣馬公市中央里9鄰正義街14號,10016,1001601,1001601-004,9鄰,正義街,,,,,,14號,121.564192888763,23.5644318476834
澎湖縣馬公市中央里9鄰正義街18號,10016,1001601,1001601-004,9鄰,正義街,,,,,,18號,121.564222307814,23.5644897121574
澎湖縣馬公市中央里10鄰正義街20號,10016,1001601,1001601-004,10鄰,正義街,,,,,,20號,121.564215393803,23.5646805095682
澎湖縣馬公市中央里10鄰正義街20號之1,10016,1001601,1001601-004,10鄰,正義街,,,,,,20號之1,121.56420522149,23.5647345626719
澎湖縣馬公市中央里12鄰正義街22號,10016,1001601,1001601-004,12鄰,正義街,,,,,,22號,121.564447772791,23.56479112073
澎湖縣馬公市中央里12鄰正義街24號,10016,1001601,1001601-004,12鄰,正義街,,,,,,24號,121.564380070117,23.5648131915121
澎湖縣馬公市中央里12鄰正義街26號,10016,1001601,1001601-004,12鄰,正義街,,,,,,26號,121.564330265507,23.5648148802778
澎湖縣馬公市中央里12鄰正義街28號,10016,1001601,1001601-004,12鄰,正義街,,,,,,28號,121.564251019002,23.5648061290937
澎湖縣馬公市中央里12鄰正義街30號,10016,1001601,1001601-004,12鄰,正義街,,,,,,30號,121.564164897822,23.5648070195393
澎湖縣馬公市中央里12鄰正義街44號,10016,1001601,1001601-004,12鄰,正義街,,,,,,44號,121.564194150622,23.5650690661622
澎湖縣馬公市中央里12鄰正義街46號,10016,1001601,1001601-004,12鄰,正義街,,,,,,46號,121.564130963613,23.5651668261838
澎湖縣馬公市中央里12鄰正義街48號,10016,1001601,1001601-004,12鄰,正義街,,,,,,48號,121.564130209348,23.5652241770969
