FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
基隆市七堵區堵南里5鄰堵南街4號,10017,1001702,1001702-011,5鄰,堵南街,,,,,,4號,121.688955913963,25.0828338405857
基隆市七堵區堵南里6鄰堵南街5號,10017,1001702,1001702-011,6鄰,堵南街,,,,,,5號,121.689053597367,25.0826461492136
基隆市七堵區堵南里6鄰堵南街7號,10017,1001702,1001702-011,6鄰,堵南街,,,,,,7號,121.689024683764,25.0826696656231
基隆市七堵區堵南里5鄰堵南街8號,10017,1001702,1001702-011,5鄰,堵南街,,,,,,8號,121.688993765285,25.0829371241394
基隆市七堵區堵南里6鄰堵南街9號,10017,1001702,1001702-011,6鄰,堵南街,,,,,,9號,121.68889305938,25.0826911310584
基隆市七堵區堵南里6鄰堵南街9之1號,10017,1001702,1001702-011,6鄰,堵南街,,,,,,9之1號,121.687139987357,25.0822744074315
基隆市七堵區堵南里5鄰堵南街10號,10017,1001702,1001702-011,5鄰,堵南街,,,,,,10號,121.689022193565,25.0830039788756
基隆市七堵區堵南里6鄰堵南街11號,10017,1001702,1001702-011,6鄰,堵南街,,,,,,11號,121.688170681689,25.0823696601855
基隆市七堵區堵南里5鄰堵南街12號,10017,1001702,1001702-011,5鄰,堵南街,,,,,,12號,121.688944243049,25.0831750576292
基隆市七堵區堵南里10鄰堵南街12之1號,10017,1001702,1001702-011,10鄰,堵南街,,,,,,12之1號,121.689127408743,25.0834355637159
基隆市七堵區堵南里10鄰堵南街12之1號二樓,10017,1001702,1001702-011,10鄰,堵南街,,,,,,12之1號二樓,121.689127408743,25.0834355637159
基隆市七堵區堵南里10鄰堵南街12之10號二樓,10017,1001702,1001702-011,10鄰,堵南街,,,,,,12之10號二樓,121.689048659453,25.0833577481222
基隆市七堵區堵南里10鄰堵南街12之10號三樓,10017,1001702,1001702-011,10鄰,堵南街,,,,,,12之10號三樓,121.689048659453,25.0833577481222
基隆市七堵區堵南里10鄰堵南街12之1號三樓,10017,1001702,1001702-011,10鄰,堵南街,,,,,,12之1號三樓,121.689127408743,25.0834355637159
基隆市七堵區堵南里10鄰堵南街12之10號四樓,10017,1001702,1001702-011,10鄰,堵南街,,,,,,12之10號四樓,121.689048659453,25.0833577481222
基隆市七堵區堵南里10鄰堵南街12之1號四樓,10017,1001702,1001702-011,10鄰,堵南街,,,,,,12之1號四樓,121.689127408743,25.0834355637159
基隆市七堵區堵南里10鄰堵南街12之1號五樓,10017,1001702,1001702-011,10鄰,堵南街,,,,,,12之1號五樓,121.689127408743,25.0834355637159
基隆市七堵區堵南里10鄰堵南街12之10號五樓,10017,1001702,1001702-011,10鄰,堵南街,,,,,,12之10號五樓,121.689048659453,25.0833577481222
基隆市七堵區堵南里10鄰堵南街12之10號六樓,10017,1001702,1001702-011,10鄰,堵南街,,,,,,12之10號六樓,121.689048659453,25.0833577481222
基隆市七堵區堵南里10鄰堵南街12之1號六樓,10017,1001702,1001702-011,10鄰,堵南街,,,,,,12之1號六樓,121.689127408743,25.0834355637159
基隆市七堵區堵南里10鄰堵南街12之10號七樓,10017,1001702,1001702-011,10鄰,堵南街,,,,,,12之10號七樓,121.689048659453,25.0833577481222
基隆市七堵區堵南里10鄰堵南街12之1號七樓,10017,1001702,1001702-011,10鄰,堵南街,,,,,,12之1號七樓,121.689127408743,25.0834355637159
基隆市七堵區堵南里10鄰堵南街12之10號八樓,10017,1001702,1001702-011,10鄰,堵南街,,,,,,12之10號八樓,121.689048659453,25.0833577481222
基隆市七堵區堵南里10鄰堵南街12之1號八樓,10017,1001702,1001702-011,10鄰,堵南街,,,,,,12之1號八樓,121.689127408743,25.0834355637159
基隆市七堵區堵南里10鄰堵南街12之1號九樓,10017,1001702,1001702-011,10鄰,堵南街,,,,,,12之1號九樓,121.689127408743,25.0834355637159
基隆市七堵區堵南里10鄰堵南街12之10號九樓,10017,1001702,1001702-011,10鄰,堵南街,,,,,,12之10號九樓,121.689048659453,25.0833577481222
基隆市七堵區堵南里10鄰堵南街12之10號十樓,10017,1001702,1001702-011,10鄰,堵南街,,,,,,12之10號十樓,121.689048659453,25.0833577481222
基隆市七堵區堵南里10鄰堵南街12之1號十樓,10017,1001702,1001702-011,10鄰,堵南街,,,,,,12之1號十樓,121.689127408743,25.0834355637159
基隆市七堵區堵南里10鄰堵南街12之11號二樓,10017,1001702,1001702-011,10鄰,堵南街,,,,,,12之11號二樓,121.689025511092,25.0833132579745
基隆市七堵區堵南里10鄰堵南街12之11號三樓,10017,1001702,1001702-011,10鄰,堵南街,,,,,,12之11號三樓,121.689025511092,25.0833132579745
基隆市七堵區堵南里10鄰堵南街12之11號四樓,10017,1001702,1001702-011,10鄰,堵南街,,,,,,12之11號四樓,121.689025511092,25.0833132579745
基隆市七堵區堵南里10鄰堵南街12之11號五樓,10017,1001702,1001702-011,10鄰,堵南街,,,,,,12之11號五樓,121.689025511092,25.0833132579745
基隆市七堵區堵南里10鄰堵南街12之11號六樓,10017,1001702,1001702-011,10鄰,堵南街,,,,,,12之11號六樓,121.689025511092,25.0833132579745
基隆市七堵區堵南里10鄰堵南街12之11號七樓,10017,1001702,1001702-011,10鄰,堵南街,,,,,,12之11號七樓,121.689025511092,25.0833132579745
基隆市七堵區堵南里10鄰堵南街12之11號八樓,10017,1001702,1001702-011,10鄰,堵南街,,,,,,12之11號八樓,121.689025511092,25.0833132579745
基隆市七堵區堵南里10鄰堵南街12之11號九樓,10017,1001702,1001702-011,10鄰,堵南街,,,,,,12之11號九樓,121.689025511092,25.0833132579745
基隆市七堵區堵南里10鄰堵南街12之11號十樓,10017,1001702,1001702-011,10鄰,堵南街,,,,,,12之11號十樓,121.689025511092,25.0833132579745
基隆市七堵區堵南里10鄰堵南街12之12號二樓,10017,1001702,1001702-011,10鄰,堵南街,,,,,,12之12號二樓,121.689008949269,25.0832588968736
基隆市七堵區堵南里10鄰堵南街12之12號三樓,10017,1001702,1001702-011,10鄰,堵南街,,,,,,12之12號三樓,121.689008949269,25.0832588968736
基隆市七堵區堵南里10鄰堵南街12之12號四樓,10017,1001702,1001702-011,10鄰,堵南街,,,,,,12之12號四樓,121.689008949269,25.0832588968736
基隆市七堵區堵南里10鄰堵南街12之12號五樓,10017,1001702,1001702-011,10鄰,堵南街,,,,,,12之12號五樓,121.689008949269,25.0832588968736
基隆市七堵區堵南里10鄰堵南街12之12號六樓,10017,1001702,1001702-011,10鄰,堵南街,,,,,,12之12號六樓,121.689008949269,25.0832588968736
基隆市七堵區堵南里10鄰堵南街12之12號七樓,10017,1001702,1001702-011,10鄰,堵南街,,,,,,12之12號七樓,121.689008949269,25.0832588968736
基隆市七堵區堵南里10鄰堵南街12之12號八樓,10017,1001702,1001702-011,10鄰,堵南街,,,,,,12之12號八樓,121.689008949269,25.0832588968736
基隆市七堵區堵南里10鄰堵南街12之12號九樓,10017,1001702,1001702-011,10鄰,堵南街,,,,,,12之12號九樓,121.689008949269,25.0832588968736
基隆市七堵區堵南里10鄰堵南街12之12號十樓,10017,1001702,1001702-011,10鄰,堵南街,,,,,,12之12號十樓,121.689008949269,25.0832588968736
基隆市七堵區堵南里10鄰堵南街12之13號二樓,10017,1001702,1001702-011,10鄰,堵南街,,,,,,12之13號二樓,121.689231801358,25.0834014952604
基隆市七堵區堵南里10鄰堵南街12之13號三樓,10017,1001702,1001702-011,10鄰,堵南街,,,,,,12之13號三樓,121.689231801358,25.0834014952604
基隆市七堵區堵南里10鄰堵南街12之13號四樓,10017,1001702,1001702-011,10鄰,堵南街,,,,,,12之13號四樓,121.689231801358,25.0834014952604
基隆市七堵區堵南里10鄰堵南街12之13號五樓,10017,1001702,1001702-011,10鄰,堵南街,,,,,,12之13號五樓,121.689231801358,25.0834014952604
基隆市七堵區堵南里10鄰堵南街12之13號六樓,10017,1001702,1001702-011,10鄰,堵南街,,,,,,12之13號六樓,121.689231801358,25.0834014952604
基隆市七堵區堵南里10鄰堵南街12之13號七樓,10017,1001702,1001702-011,10鄰,堵南街,,,,,,12之13號七樓,121.689231801358,25.0834014952604
