FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
基隆市暖暖區過港里4鄰寧靜街3號,10017,1001703,1001703-004,4鄰,寧靜街,,,,,,3號,121.737802140905,25.1054358969108
基隆市暖暖區過港里4鄰寧靜街3之1號,10017,1001703,1001703-004,4鄰,寧靜街,,,,,,3之1號,121.737802140905,25.1054358969108
基隆市暖暖區過港里4鄰寧靜街3之2號,10017,1001703,1001703-004,4鄰,寧靜街,,,,,,3之2號,121.737802140905,25.1054358969108
基隆市暖暖區過港里4鄰寧靜街3之3號,10017,1001703,1001703-004,4鄰,寧靜街,,,,,,3之3號,121.737802140905,25.1054358969108
基隆市暖暖區過港里4鄰寧靜街3之5號,10017,1001703,1001703-004,4鄰,寧靜街,,,,,,3之5號,121.737802140905,25.1054358969108
基隆市暖暖區過港里4鄰寧靜街3之6號,10017,1001703,1001703-004,4鄰,寧靜街,,,,,,3之6號,121.737802140905,25.1054358969108
基隆市暖暖區過港里4鄰寧靜街3之7號,10017,1001703,1001703-004,4鄰,寧靜街,,,,,,3之7號,121.737802140905,25.1054358969108
基隆市暖暖區過港里4鄰寧靜街3之8號,10017,1001703,1001703-004,4鄰,寧靜街,,,,,,3之8號,121.737802140905,25.1054358969108
基隆市暖暖區過港里4鄰寧靜街5號,10017,1001703,1001703-004,4鄰,寧靜街,,,,,,5號,121.738094911705,25.1052353777097
基隆市暖暖區過港里7鄰寧靜街8號,10017,1001703,1001703-004,7鄰,寧靜街,,,,,,8號,121.738897972324,25.1046184833311
基隆市暖暖區過港里4鄰寧靜街9號,10017,1001703,1001703-004,4鄰,寧靜街,,,,,,9號,121.738169289977,25.1052052158652
基隆市暖暖區過港里4鄰寧靜街11號,10017,1001703,1001703-004,4鄰,寧靜街,,,,,,11號,121.738203413732,25.1051915043536
基隆市暖暖區過港里4鄰寧靜街11號二樓,10017,1001703,1001703-004,4鄰,寧靜街,,,,,,11號二樓,121.738203413732,25.1051915043536
基隆市暖暖區過港里4鄰寧靜街13號,10017,1001703,1001703-004,4鄰,寧靜街,,,,,,13號,121.738245023721,25.1051696305734
基隆市暖暖區過港里7鄰寧靜街14號,10017,1001703,1001703-004,7鄰,寧靜街,,,,,,14號,121.739080408063,25.1045532062591
基隆市暖暖區過港里4鄰寧靜街15號,10017,1001703,1001703-004,4鄰,寧靜街,,,,,,15號,121.73828805425,25.105153166373
