FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
新竹市東區南市里5鄰南外街2號,10018,1001801,1001801-003,5鄰,南外街,,,,,,2號,120.966504869442,24.7985603473667
新竹市東區南市里5鄰南外街2之1號,10018,1001801,1001801-003,5鄰,南外街,,,,,,2之1號,120.966566127949,24.7984320642966
新竹市東區南市里5鄰南外街2之2號,10018,1001801,1001801-003,5鄰,南外街,,,,,,2之2號,120.966651261143,24.7985314884596
新竹市東區南市里5鄰南外街4號,10018,1001801,1001801-003,5鄰,南外街,,,,,,4號,120.966460363715,24.798549503048
新竹市東區南市里5鄰南外街6號,10018,1001801,1001801-003,5鄰,南外街,,,,,,6號,120.96644206572,24.7985494989459
新竹市東區南市里5鄰南外街8號,10018,1001801,1001801-003,5鄰,南外街,,,,,,8號,120.966414665482,24.7985595145733
新竹市東區南市里5鄰南外街10號,10018,1001801,1001801-003,5鄰,南外街,,,,,,10號,120.966388646254,24.7985832540165
新竹市東區南市里6鄰南外街12號,10018,1001801,1001801-003,6鄰,南外街,,,,,,12號,120.966167311454,24.7988683281253
新竹市東區南市里6鄰南外街14號,10018,1001801,1001801-003,6鄰,南外街,,,,,,14號,120.966146035622,24.7989071464013
新竹市東區南市里6鄰南外街16號,10018,1001801,1001801-003,6鄰,南外街,,,,,,16號,120.96612238048,24.7989661882553
新竹市東區南市里6鄰南外街16號二樓,10018,1001801,1001801-003,6鄰,南外街,,,,,,16號二樓,120.96612238048,24.7989661882553
新竹市東區南市里6鄰南外街16號三樓,10018,1001801,1001801-003,6鄰,南外街,,,,,,16號三樓,120.96612238048,24.7989661882553
新竹市東區南市里6鄰南外街16號四樓,10018,1001801,1001801-003,6鄰,南外街,,,,,,16號四樓,120.96612238048,24.7989661882553
新竹市東區南市里6鄰南外街20號,10018,1001801,1001801-003,6鄰,南外街,,,,,,20號,120.966101005292,24.7990065413682
新竹市東區南市里6鄰南外街20之1號,10018,1001801,1001801-003,6鄰,南外街,,,,,,20之1號,120.966079633085,24.7990358795561
新竹市東區南市里6鄰南外街22號二樓之1,10018,1001801,1001801-003,6鄰,南外街,,,,,,22號二樓之1,120.966062513001,24.7990686495826
新竹市東區南市里6鄰南外街22號二樓之2,10018,1001801,1001801-003,6鄰,南外街,,,,,,22號二樓之2,120.966062513001,24.7990686495826
新竹市東區南市里6鄰南外街22號二樓之3,10018,1001801,1001801-003,6鄰,南外街,,,,,,22號二樓之3,120.966062513001,24.7990686495826
新竹市東區南市里6鄰南外街22號二樓之5,10018,1001801,1001801-003,6鄰,南外街,,,,,,22號二樓之5,120.966062513001,24.7990686495826
新竹市東區南市里6鄰南外街22號二樓之6,10018,1001801,1001801-003,6鄰,南外街,,,,,,22號二樓之6,120.966062513001,24.7990686495826
新竹市東區南市里6鄰南外街22號三樓之1,10018,1001801,1001801-003,6鄰,南外街,,,,,,22號三樓之1,120.966062513001,24.7990686495826
新竹市東區南市里6鄰南外街22號三樓之2,10018,1001801,1001801-003,6鄰,南外街,,,,,,22號三樓之2,120.966062513001,24.7990686495826
新竹市東區南市里6鄰南外街22號三樓之3,10018,1001801,1001801-003,6鄰,南外街,,,,,,22號三樓之3,120.966062513001,24.7990686495826
新竹市東區南市里6鄰南外街22號三樓之5,10018,1001801,1001801-003,6鄰,南外街,,,,,,22號三樓之5,120.966062513001,24.7990686495826
新竹市東區南市里6鄰南外街22號三樓之6,10018,1001801,1001801-003,6鄰,南外街,,,,,,22號三樓之6,120.966062513001,24.7990686495826
新竹市東區南市里6鄰南外街22號四樓之1,10018,1001801,1001801-003,6鄰,南外街,,,,,,22號四樓之1,120.966062513001,24.7990686495826
新竹市東區南市里6鄰南外街22號四樓之2,10018,1001801,1001801-003,6鄰,南外街,,,,,,22號四樓之2,120.966062513001,24.7990686495826
新竹市東區南市里6鄰南外街22號四樓之3,10018,1001801,1001801-003,6鄰,南外街,,,,,,22號四樓之3,120.966062513001,24.7990686495826
新竹市東區南市里6鄰南外街22號四樓之5,10018,1001801,1001801-003,6鄰,南外街,,,,,,22號四樓之5,120.966062513001,24.7990686495826
新竹市東區南市里6鄰南外街22號四樓之6,10018,1001801,1001801-003,6鄰,南外街,,,,,,22號四樓之6,120.966062513001,24.7990686495826
新竹市東區南市里6鄰南外街22號五樓之1,10018,1001801,1001801-003,6鄰,南外街,,,,,,22號五樓之1,120.966062513001,24.7990686495826
新竹市東區南市里6鄰南外街22號五樓之2,10018,1001801,1001801-003,6鄰,南外街,,,,,,22號五樓之2,120.966062513001,24.7990686495826
新竹市東區南市里6鄰南外街22號五樓之3,10018,1001801,1001801-003,6鄰,南外街,,,,,,22號五樓之3,120.966062513001,24.7990686495826
新竹市東區南市里6鄰南外街22號五樓之5,10018,1001801,1001801-003,6鄰,南外街,,,,,,22號五樓之5,120.966062513001,24.7990686495826
新竹市東區南市里6鄰南外街22號五樓之6,10018,1001801,1001801-003,6鄰,南外街,,,,,,22號五樓之6,120.966062513001,24.7990686495826
新竹市東區南市里6鄰南外街22號六樓之1,10018,1001801,1001801-003,6鄰,南外街,,,,,,22號六樓之1,120.966062513001,24.7990686495826
新竹市東區南市里6鄰南外街22號六樓之2,10018,1001801,1001801-003,6鄰,南外街,,,,,,22號六樓之2,120.966062513001,24.7990686495826
新竹市東區南市里6鄰南外街22號六樓之3,10018,1001801,1001801-003,6鄰,南外街,,,,,,22號六樓之3,120.966062513001,24.7990686495826
新竹市東區南市里6鄰南外街22號七樓之1,10018,1001801,1001801-003,6鄰,南外街,,,,,,22號七樓之1,120.966062513001,24.7990686495826
新竹市東區南市里6鄰南外街22號七樓之2,10018,1001801,1001801-003,6鄰,南外街,,,,,,22號七樓之2,120.966062513001,24.7990686495826
新竹市東區南市里6鄰南外街24號,10018,1001801,1001801-003,6鄰,南外街,,,,,,24號,120.966052023194,24.7990888713229
新竹市東區南市里6鄰南外街26號,10018,1001801,1001801-003,6鄰,南外街,,,,,,26號,120.966037074558,24.7991382545083
新竹市東區南市里6鄰南外街28號,10018,1001801,1001801-003,6鄰,南外街,,,,,,28號,120.966018672696,24.7991561270077
新竹市東區南市里6鄰南外街30號,10018,1001801,1001801-003,6鄰,南外街,,,,,,30號,120.96605574807,24.79921247404
新竹市東區南市里6鄰南外街32號,10018,1001801,1001801-003,6鄰,南外街,,,,,,32號,120.965970874679,24.79924838869
新竹市東區南市里6鄰南外街34號,10018,1001801,1001801-003,6鄰,南外街,,,,,,34號,120.965942375428,24.7992980396417
新竹市東區南市里6鄰南外街34之1號二樓之1,10018,1001801,1001801-003,6鄰,南外街,,,,,,34之1號二樓之1,120.965890123689,24.7994002317695
新竹市東區南市里6鄰南外街34之1號二樓之2,10018,1001801,1001801-003,6鄰,南外街,,,,,,34之1號二樓之2,120.965890123689,24.7994002317695
新竹市東區南市里6鄰南外街34之1號二樓之3,10018,1001801,1001801-003,6鄰,南外街,,,,,,34之1號二樓之3,120.965890123689,24.7994002317695
新竹市東區南市里6鄰南外街34之1號二樓之5,10018,1001801,1001801-003,6鄰,南外街,,,,,,34之1號二樓之5,120.965890123689,24.7994002317695
新竹市東區南市里6鄰南外街34之1號二樓之6,10018,1001801,1001801-003,6鄰,南外街,,,,,,34之1號二樓之6,120.965890123689,24.7994002317695
新竹市東區南市里6鄰南外街34之1號三樓之1,10018,1001801,1001801-003,6鄰,南外街,,,,,,34之1號三樓之1,120.965890123689,24.7994002317695
新竹市東區南市里6鄰南外街34之1號三樓之2,10018,1001801,1001801-003,6鄰,南外街,,,,,,34之1號三樓之2,120.965890123689,24.7994002317695
新竹市東區南市里6鄰南外街34之1號三樓之3,10018,1001801,1001801-003,6鄰,南外街,,,,,,34之1號三樓之3,120.965890123689,24.7994002317695
新竹市東區南市里6鄰南外街34之1號三樓之5,10018,1001801,1001801-003,6鄰,南外街,,,,,,34之1號三樓之5,120.965890123689,24.7994002317695
新竹市東區南市里6鄰南外街34之1號三樓之6,10018,1001801,1001801-003,6鄰,南外街,,,,,,34之1號三樓之6,120.965890123689,24.7994002317695
新竹市東區南市里6鄰南外街34之1號四樓之1,10018,1001801,1001801-003,6鄰,南外街,,,,,,34之1號四樓之1,120.965890123689,24.7994002317695
新竹市東區南市里6鄰南外街34之1號四樓之2,10018,1001801,1001801-003,6鄰,南外街,,,,,,34之1號四樓之2,120.965890123689,24.7994002317695
新竹市東區南市里6鄰南外街34之1號四樓之3,10018,1001801,1001801-003,6鄰,南外街,,,,,,34之1號四樓之3,120.965890123689,24.7994002317695
新竹市東區南市里6鄰南外街34之1號四樓之5,10018,1001801,1001801-003,6鄰,南外街,,,,,,34之1號四樓之5,120.965890123689,24.7994002317695
新竹市東區南市里6鄰南外街34之1號四樓之6,10018,1001801,1001801-003,6鄰,南外街,,,,,,34之1號四樓之6,120.965890123689,24.7994002317695
新竹市東區南市里6鄰南外街34之1號五樓之1,10018,1001801,1001801-003,6鄰,南外街,,,,,,34之1號五樓之1,120.965890123689,24.7994002317695
