FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
新竹市東區武功里21鄰建功一路59巷2號,10018,1001801,1001801-025,21鄰,建功一路,,59巷,,,,2號,120.996859217206,24.8007335512554
新竹市東區武功里21鄰建功一路59巷2號二樓之1,10018,1001801,1001801-025,21鄰,建功一路,,59巷,,,,2號二樓之1,120.996859217206,24.8007335512554
新竹市東區武功里21鄰建功一路59巷2號二樓之2,10018,1001801,1001801-025,21鄰,建功一路,,59巷,,,,2號二樓之2,120.996859217206,24.8007335512554
新竹市東區武功里21鄰建功一路59巷2號三樓之1,10018,1001801,1001801-025,21鄰,建功一路,,59巷,,,,2號三樓之1,120.996859217206,24.8007335512554
新竹市東區武功里21鄰建功一路59巷2號三樓之2,10018,1001801,1001801-025,21鄰,建功一路,,59巷,,,,2號三樓之2,120.996859217206,24.8007335512554
新竹市東區武功里21鄰建功一路59巷2號四樓之1,10018,1001801,1001801-025,21鄰,建功一路,,59巷,,,,2號四樓之1,120.996859217206,24.8007335512554
新竹市東區武功里21鄰建功一路59巷2號四樓之2,10018,1001801,1001801-025,21鄰,建功一路,,59巷,,,,2號四樓之2,120.996859217206,24.8007335512554
新竹市東區武功里21鄰建功一路59巷2號五樓之1,10018,1001801,1001801-025,21鄰,建功一路,,59巷,,,,2號五樓之1,120.996859217206,24.8007335512554
新竹市東區武功里21鄰建功一路59巷2號五樓之2,10018,1001801,1001801-025,21鄰,建功一路,,59巷,,,,2號五樓之2,120.996859217206,24.8007335512554
新竹市東區武功里21鄰建功一路59巷2號六樓之1,10018,1001801,1001801-025,21鄰,建功一路,,59巷,,,,2號六樓之1,120.996859217206,24.8007335512554
新竹市東區武功里21鄰建功一路59巷2號六樓之2,10018,1001801,1001801-025,21鄰,建功一路,,59巷,,,,2號六樓之2,120.996859217206,24.8007335512554
新竹市東區武功里21鄰建功一路59巷2號七樓之1,10018,1001801,1001801-025,21鄰,建功一路,,59巷,,,,2號七樓之1,120.996859217206,24.8007335512554
新竹市東區武功里21鄰建功一路59巷2號七樓之2,10018,1001801,1001801-025,21鄰,建功一路,,59巷,,,,2號七樓之2,120.996859217206,24.8007335512554
新竹市東區武功里21鄰建功一路59巷2號八樓之1,10018,1001801,1001801-025,21鄰,建功一路,,59巷,,,,2號八樓之1,120.996859217206,24.8007335512554
新竹市東區武功里21鄰建功一路59巷2號八樓之2,10018,1001801,1001801-025,21鄰,建功一路,,59巷,,,,2號八樓之2,120.996859217206,24.8007335512554
新竹市東區武功里21鄰建功一路59巷2號九樓之1,10018,1001801,1001801-025,21鄰,建功一路,,59巷,,,,2號九樓之1,120.996859217206,24.8007335512554
新竹市東區武功里21鄰建功一路59巷2號九樓之2,10018,1001801,1001801-025,21鄰,建功一路,,59巷,,,,2號九樓之2,120.996859217206,24.8007335512554
新竹市東區武功里21鄰建功一路59巷2號十樓之1,10018,1001801,1001801-025,21鄰,建功一路,,59巷,,,,2號十樓之1,120.996859217206,24.8007335512554
新竹市東區武功里21鄰建功一路59巷2號十樓之2,10018,1001801,1001801-025,21鄰,建功一路,,59巷,,,,2號十樓之2,120.996859217206,24.8007335512554
新竹市東區武功里21鄰建功一路59巷2號十一樓之1,10018,1001801,1001801-025,21鄰,建功一路,,59巷,,,,2號十一樓之1,120.996859217206,24.8007335512554
新竹市東區武功里21鄰建功一路59巷2號十一樓之2,10018,1001801,1001801-025,21鄰,建功一路,,59巷,,,,2號十一樓之2,120.996859217206,24.8007335512554
新竹市東區武功里21鄰建功一路59巷2號十二樓之1,10018,1001801,1001801-025,21鄰,建功一路,,59巷,,,,2號十二樓之1,120.996859217206,24.8007335512554
新竹市東區武功里21鄰建功一路59巷2號十二樓之2,10018,1001801,1001801-025,21鄰,建功一路,,59巷,,,,2號十二樓之2,120.996859217206,24.8007335512554
新竹市東區武功里21鄰建功一路59巷6號,10018,1001801,1001801-025,21鄰,建功一路,,59巷,,,,6號,120.996728656541,24.8007216306746
新竹市東區武功里21鄰建功一路59巷6號二樓之1,10018,1001801,1001801-025,21鄰,建功一路,,59巷,,,,6號二樓之1,120.996728656541,24.8007216306746
新竹市東區武功里21鄰建功一路59巷6號二樓之2,10018,1001801,1001801-025,21鄰,建功一路,,59巷,,,,6號二樓之2,120.996728656541,24.8007216306746
新竹市東區武功里21鄰建功一路59巷6號三樓之1,10018,1001801,1001801-025,21鄰,建功一路,,59巷,,,,6號三樓之1,120.996728656541,24.8007216306746
新竹市東區武功里21鄰建功一路59巷6號三樓之2,10018,1001801,1001801-025,21鄰,建功一路,,59巷,,,,6號三樓之2,120.996728656541,24.8007216306746
新竹市東區武功里21鄰建功一路59巷6號四樓之1,10018,1001801,1001801-025,21鄰,建功一路,,59巷,,,,6號四樓之1,120.996728656541,24.8007216306746
新竹市東區武功里21鄰建功一路59巷6號四樓之2,10018,1001801,1001801-025,21鄰,建功一路,,59巷,,,,6號四樓之2,120.996728656541,24.8007216306746
新竹市東區武功里21鄰建功一路59巷6號五樓之1,10018,1001801,1001801-025,21鄰,建功一路,,59巷,,,,6號五樓之1,120.996728656541,24.8007216306746
新竹市東區武功里21鄰建功一路59巷6號五樓之2,10018,1001801,1001801-025,21鄰,建功一路,,59巷,,,,6號五樓之2,120.996728656541,24.8007216306746
新竹市東區武功里21鄰建功一路59巷6號六樓之1,10018,1001801,1001801-025,21鄰,建功一路,,59巷,,,,6號六樓之1,120.996728656541,24.8007216306746
新竹市東區武功里21鄰建功一路59巷6號六樓之2,10018,1001801,1001801-025,21鄰,建功一路,,59巷,,,,6號六樓之2,120.996728656541,24.8007216306746
新竹市東區武功里21鄰建功一路59巷6號七樓之1,10018,1001801,1001801-025,21鄰,建功一路,,59巷,,,,6號七樓之1,120.996728656541,24.8007216306746
