FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺北市內湖區內湖里1鄰內湖路二段263巷9弄1號,63,6301000,6301000-009,1鄰,內湖路,二段,263巷,9弄,,,1號,121.590354809033,25.0826387999295
臺北市內湖區內湖里1鄰內湖路二段263巷9弄1號二樓,63,6301000,6301000-009,1鄰,內湖路,二段,263巷,9弄,,,1號二樓,121.590354809033,25.0826387999295
臺北市內湖區內湖里1鄰內湖路二段263巷9弄1號三樓,63,6301000,6301000-009,1鄰,內湖路,二段,263巷,9弄,,,1號三樓,121.590354809033,25.0826387999295
臺北市內湖區內湖里1鄰內湖路二段263巷9弄1號四樓,63,6301000,6301000-009,1鄰,內湖路,二段,263巷,9弄,,,1號四樓,121.590354809033,25.0826387999295
臺北市內湖區內湖里1鄰內湖路二段263巷9弄1號五樓,63,6301000,6301000-009,1鄰,內湖路,二段,263巷,9弄,,,1號五樓,121.590354809033,25.0826387999295
臺北市內湖區內湖里1鄰內湖路二段263巷9弄1號六樓,63,6301000,6301000-009,1鄰,內湖路,二段,263巷,9弄,,,1號六樓,121.590354809033,25.0826387999295
臺北市內湖區內湖里1鄰內湖路二段263巷9弄1號七樓,63,6301000,6301000-009,1鄰,內湖路,二段,263巷,9弄,,,1號七樓,121.590354809033,25.0826387999295
臺北市內湖區內湖里1鄰內湖路二段263巷9弄3號,63,6301000,6301000-009,1鄰,內湖路,二段,263巷,9弄,,,3號,121.590389966804,25.0826600104575
臺北市內湖區內湖里1鄰內湖路二段263巷9弄3號二樓,63,6301000,6301000-009,1鄰,內湖路,二段,263巷,9弄,,,3號二樓,121.590389966804,25.0826600104575
臺北市內湖區內湖里1鄰內湖路二段263巷9弄3號三樓,63,6301000,6301000-009,1鄰,內湖路,二段,263巷,9弄,,,3號三樓,121.590389966804,25.0826600104575
臺北市內湖區內湖里1鄰內湖路二段263巷9弄3號四樓,63,6301000,6301000-009,1鄰,內湖路,二段,263巷,9弄,,,3號四樓,121.590389966804,25.0826600104575
臺北市內湖區內湖里1鄰內湖路二段263巷9弄3號五樓,63,6301000,6301000-009,1鄰,內湖路,二段,263巷,9弄,,,3號五樓,121.590389966804,25.0826600104575
臺北市內湖區內湖里1鄰內湖路二段263巷9弄3號六樓,63,6301000,6301000-009,1鄰,內湖路,二段,263巷,9弄,,,3號六樓,121.590389966804,25.0826600104575
臺北市內湖區內湖里1鄰內湖路二段263巷9弄3號七樓,63,6301000,6301000-009,1鄰,內湖路,二段,263巷,9弄,,,3號七樓,121.590389966804,25.0826600104575
臺北市內湖區內湖里1鄰內湖路二段263巷9弄3號八樓,63,6301000,6301000-009,1鄰,內湖路,二段,263巷,9弄,,,3號八樓,121.590389966804,25.0826600104575
臺北市內湖區內湖里1鄰內湖路二段263巷9弄3號九樓,63,6301000,6301000-009,1鄰,內湖路,二段,263巷,9弄,,,3號九樓,121.590389966804,25.0826600104575
臺北市內湖區內湖里1鄰內湖路二段263巷9弄3號二樓之1,63,6301000,6301000-009,1鄰,內湖路,二段,263巷,9弄,,,3號二樓之1,121.590389966804,25.0826600104575
臺北市內湖區內湖里1鄰內湖路二段263巷9弄3號四樓之1,63,6301000,6301000-009,1鄰,內湖路,二段,263巷,9弄,,,3號四樓之1,121.590389966804,25.0826600104575
臺北市內湖區內湖里1鄰內湖路二段263巷9弄3號五樓之1,63,6301000,6301000-009,1鄰,內湖路,二段,263巷,9弄,,,3號五樓之1,121.590389966804,25.0826600104575
臺北市內湖區內湖里1鄰內湖路二段263巷9弄3號六樓之1,63,6301000,6301000-009,1鄰,內湖路,二段,263巷,9弄,,,3號六樓之1,121.590389966804,25.0826600104575
臺北市內湖區內湖里1鄰內湖路二段263巷9弄5號,63,6301000,6301000-009,1鄰,內湖路,二段,263巷,9弄,,,5號,121.590423847251,25.0826895326788
臺北市內湖區內湖里1鄰內湖路二段263巷9弄5號二樓,63,6301000,6301000-009,1鄰,內湖路,二段,263巷,9弄,,,5號二樓,121.590423847251,25.0826895326788
臺北市內湖區內湖里1鄰內湖路二段263巷9弄5號三樓,63,6301000,6301000-009,1鄰,內湖路,二段,263巷,9弄,,,5號三樓,121.590423847251,25.0826895326788
臺北市內湖區內湖里1鄰內湖路二段263巷9弄5號四樓,63,6301000,6301000-009,1鄰,內湖路,二段,263巷,9弄,,,5號四樓,121.590423847251,25.0826895326788
臺北市內湖區內湖里1鄰內湖路二段263巷9弄5號五樓,63,6301000,6301000-009,1鄰,內湖路,二段,263巷,9弄,,,5號五樓,121.590423847251,25.0826895326788
臺北市內湖區內湖里1鄰內湖路二段263巷9弄5號六樓,63,6301000,6301000-009,1鄰,內湖路,二段,263巷,9弄,,,5號六樓,121.590423847251,25.0826895326788
臺北市內湖區內湖里1鄰內湖路二段263巷9弄5號七樓,63,6301000,6301000-009,1鄰,內湖路,二段,263巷,9弄,,,5號七樓,121.590423847251,25.0826895326788
臺北市內湖區內湖里1鄰內湖路二段263巷9弄5號二樓之1,63,6301000,6301000-009,1鄰,內湖路,二段,263巷,9弄,,,5號二樓之1,121.590423847251,25.0826895326788
臺北市內湖區內湖里1鄰內湖路二段263巷9弄5號三樓之1,63,6301000,6301000-009,1鄰,內湖路,二段,263巷,9弄,,,5號三樓之1,121.590423847251,25.0826895326788
臺北市內湖區內湖里1鄰內湖路二段263巷9弄5號四樓之1,63,6301000,6301000-009,1鄰,內湖路,二段,263巷,9弄,,,5號四樓之1,121.590423847251,25.0826895326788
臺北市內湖區內湖里1鄰內湖路二段263巷9弄5號五樓之1,63,6301000,6301000-009,1鄰,內湖路,二段,263巷,9弄,,,5號五樓之1,121.590423847251,25.0826895326788
臺北市內湖區內湖里1鄰內湖路二段263巷9弄5號六樓之1,63,6301000,6301000-009,1鄰,內湖路,二段,263巷,9弄,,,5號六樓之1,121.590423847251,25.0826895326788
臺北市內湖區內湖里1鄰內湖路二段263巷9弄7號,63,6301000,6301000-009,1鄰,內湖路,二段,263巷,9弄,,,7號,121.590456436992,25.0827166856121
臺北市內湖區內湖里1鄰內湖路二段263巷9弄7號地下二層,63,6301000,6301000-009,1鄰,內湖路,二段,263巷,9弄,,,7號地下二層,121.590456436992,25.0827166856121
臺北市內湖區內湖里1鄰內湖路二段263巷9弄7號二樓,63,6301000,6301000-009,1鄰,內湖路,二段,263巷,9弄,,,7號二樓,121.590456436992,25.0827166856121
臺北市內湖區內湖里1鄰內湖路二段263巷9弄7號三樓,63,6301000,6301000-009,1鄰,內湖路,二段,263巷,9弄,,,7號三樓,121.590456436992,25.0827166856121
臺北市內湖區內湖里1鄰內湖路二段263巷9弄7號四樓,63,6301000,6301000-009,1鄰,內湖路,二段,263巷,9弄,,,7號四樓,121.590456436992,25.0827166856121
臺北市內湖區內湖里1鄰內湖路二段263巷9弄7號五樓,63,6301000,6301000-009,1鄰,內湖路,二段,263巷,9弄,,,7號五樓,121.590456436992,25.0827166856121
臺北市內湖區內湖里1鄰內湖路二段263巷9弄7號六樓,63,6301000,6301000-009,1鄰,內湖路,二段,263巷,9弄,,,7號六樓,121.590456436992,25.0827166856121
臺北市內湖區內湖里1鄰內湖路二段263巷9弄7號七樓,63,6301000,6301000-009,1鄰,內湖路,二段,263巷,9弄,,,7號七樓,121.590456436992,25.0827166856121
臺北市內湖區內湖里1鄰內湖路二段263巷9弄7號八樓,63,6301000,6301000-009,1鄰,內湖路,二段,263巷,9弄,,,7號八樓,121.590456436992,25.0827166856121
