FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺北市士林區陽明里12鄰愛富二街1號,63,6301100,6301100-046,12鄰,愛富二街,,,,,,1號,121.546126463039,25.1387971871498
臺北市士林區陽明里12鄰愛富二街2號,63,6301100,6301100-046,12鄰,愛富二街,,,,,,2號,121.545054215309,25.1389369400069
臺北市士林區陽明里12鄰愛富二街3號,63,6301100,6301100-046,12鄰,愛富二街,,,,,,3號,121.545095524463,25.1387315304054
臺北市士林區陽明里12鄰愛富二街4號,63,6301100,6301100-046,12鄰,愛富二街,,,,,,4號,121.544851461792,25.1388908761621
臺北市士林區陽明里12鄰愛富二街5號,63,6301100,6301100-046,12鄰,愛富二街,,,,,,5號,121.544844601646,25.1386708256
臺北市士林區陽明里12鄰愛富二街6號,63,6301100,6301100-046,12鄰,愛富二街,,,,,,6號,121.544578008589,25.1388287475089
臺北市士林區陽明里12鄰愛富二街7號,63,6301100,6301100-046,12鄰,愛富二街,,,,,,7號,121.544430069213,25.1385705458515
臺北市士林區陽明里12鄰愛富二街8號,63,6301100,6301100-046,12鄰,愛富二街,,,,,,8號,121.544342371337,25.13877520629
臺北市士林區陽明里12鄰愛富二街厚生巷1號,63,6301100,6301100-046,12鄰,愛富二街,,厚生巷,,,,1號,121.545834052964,25.1391497850907
臺北市士林區陽明里12鄰愛富二街樂生巷1號,63,6301100,6301100-046,12鄰,愛富二街,,樂生巷,,,,1號,121.544571869705,25.138057556481
臺北市士林區陽明里12鄰愛富二街厚生巷2號,63,6301100,6301100-046,12鄰,愛富二街,,厚生巷,,,,2號,121.546016632842,25.1391366777922
臺北市士林區陽明里12鄰愛富二街樂生巷2號,63,6301100,6301100-046,12鄰,愛富二街,,樂生巷,,,,2號,121.544385813951,25.1382743032265
臺北市士林區陽明里12鄰愛富二街厚生巷3號,63,6301100,6301100-046,12鄰,愛富二街,,厚生巷,,,,3號,121.545726372803,25.1394855710166
臺北市士林區陽明里12鄰愛富二街樂生巷3號,63,6301100,6301100-046,12鄰,愛富二街,,樂生巷,,,,3號,121.544167795302,25.138344870568
臺北市士林區陽明里12鄰愛富二街厚生巷4號,63,6301100,6301100-046,12鄰,愛富二街,,厚生巷,,,,4號,121.545919388853,25.1394590453727
