FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺北市北投區中央里3鄰新市街1號,63,6301200,6301200-022,3鄰,新市街,,,,,,1號,121.501759797056,25.1315733760575
臺北市北投區中央里3鄰新市街3號,63,6301200,6301200-022,3鄰,新市街,,,,,,3號,121.501770587479,25.1316080157892
臺北市北投區中央里3鄰新市街5號,63,6301200,6301200-022,3鄰,新市街,,,,,,5號,121.501781368012,25.1316426555712
臺北市北投區中央里3鄰新市街7號,63,6301200,6301200-022,3鄰,新市街,,,,,,7號,121.501797091724,25.1316931678048
臺北市北投區中央里3鄰新市街11之2號,63,6301200,6301200-022,3鄰,新市街,,,,,,11之2號,121.501683190188,25.1318570511341
臺北市北投區中央里3鄰新市街11號,63,6301200,6301200-022,3鄰,新市街,,,,,,11號,121.501815174834,25.1317508312447
臺北市北投區中央里3鄰新市街11之1號,63,6301200,6301200-022,3鄰,新市街,,,,,,11之1號,121.50168181387,25.131790460068
臺北市北投區中央里3鄰新市街11之3號,63,6301200,6301200-022,3鄰,新市街,,,,,,11之3號,121.501698925296,25.131927569541
臺北市北投區中央里3鄰新市街11號二樓,63,6301200,6301200-022,3鄰,新市街,,,,,,11號二樓,121.501815174834,25.1317508312447
臺北市北投區中央里3鄰新市街11之1號二樓,63,6301200,6301200-022,3鄰,新市街,,,,,,11之1號二樓,121.50168181387,25.131790460068
臺北市北投區中央里3鄰新市街11之3號二樓,63,6301200,6301200-022,3鄰,新市街,,,,,,11之3號二樓,121.501698925296,25.131927569541
臺北市北投區中央里3鄰新市街11之2號二樓,63,6301200,6301200-022,3鄰,新市街,,,,,,11之2號二樓,121.501683190188,25.1318570511341
臺北市北投區中央里3鄰新市街11號三樓,63,6301200,6301200-022,3鄰,新市街,,,,,,11號三樓,121.501815174834,25.1317508312447
臺北市北投區中央里3鄰新市街11之3號三樓,63,6301200,6301200-022,3鄰,新市街,,,,,,11之3號三樓,121.501698925296,25.131927569541
臺北市北投區中央里3鄰新市街11之1號三樓,63,6301200,6301200-022,3鄰,新市街,,,,,,11之1號三樓,121.50168181387,25.131790460068
臺北市北投區中央里3鄰新市街11之2號三樓,63,6301200,6301200-022,3鄰,新市街,,,,,,11之2號三樓,121.501683190188,25.1318570511341
臺北市北投區中央里3鄰新市街11號四樓,63,6301200,6301200-022,3鄰,新市街,,,,,,11號四樓,121.501815174834,25.1317508312447
臺北市北投區中央里3鄰新市街11之2號四樓,63,6301200,6301200-022,3鄰,新市街,,,,,,11之2號四樓,121.501683190188,25.1318570511341
臺北市北投區中央里3鄰新市街11之1號四樓,63,6301200,6301200-022,3鄰,新市街,,,,,,11之1號四樓,121.50168181387,25.131790460068
臺北市北投區中央里3鄰新市街11之3號四樓,63,6301200,6301200-022,3鄰,新市街,,,,,,11之3號四樓,121.501698925296,25.131927569541
臺北市北投區中央里3鄰新市街11號五樓,63,6301200,6301200-022,3鄰,新市街,,,,,,11號五樓,121.501815174834,25.1317508312447
臺北市北投區中央里3鄰新市街11之2號五樓,63,6301200,6301200-022,3鄰,新市街,,,,,,11之2號五樓,121.501683190188,25.1318570511341
臺北市北投區中央里3鄰新市街11之1號五樓,63,6301200,6301200-022,3鄰,新市街,,,,,,11之1號五樓,121.50168181387,25.131790460068
臺北市北投區中央里3鄰新市街11之3號五樓,63,6301200,6301200-022,3鄰,新市街,,,,,,11之3號五樓,121.501698925296,25.131927569541
臺北市北投區中央里3鄰新市街15號,63,6301200,6301200-022,3鄰,新市街,,,,,,15號,121.501831639708,25.1318084692083
臺北市北投區中央里3鄰新市街17號,63,6301200,6301200-022,3鄰,新市街,,,,,,17號,121.501845721666,25.131852268709
臺北市北投區中央里3鄰新市街19號,63,6301200,6301200-022,3鄰,新市街,,,,,,19號,121.501861675366,25.1319006913424
臺北市北投區中央里3鄰新市街23號,63,6301200,6301200-022,3鄰,新市街,,,,,,23號,121.501880875591,25.1319405073019
臺北市北投區中央里3鄰新市街25號,63,6301200,6301200-022,3鄰,新市街,,,,,,25號,121.501907069952,25.1319768089352
臺北市北投區中央里3鄰新市街27號,63,6301200,6301200-022,3鄰,新市街,,,,,,27號,121.501920145969,25.1320168760483
臺北市北投區中央里3鄰新市街29號,63,6301200,6301200-022,3鄰,新市街,,,,,,29號,121.501932886524,25.1320517820862
臺北市北投區中央里3鄰新市街31號,63,6301200,6301200-022,3鄰,新市街,,,,,,31號,121.501925510426,25.1320872961338
臺北市北投區中央里3鄰新市街35號,63,6301200,6301200-022,3鄰,新市街,,,,,,35號,121.501976679198,25.1321097812877
臺北市北投區中央里3鄰新市街37號,63,6301200,6301200-022,3鄰,新市街,,,,,,37號,121.501996588387,25.1321464857895
臺北市北投區中央里3鄰新市街39號,63,6301200,6301200-022,3鄰,新市街,,,,,,39號,121.502005976157,25.1321695548318
臺北市北投區中央里3鄰新市街41號,63,6301200,6301200-022,3鄰,新市街,,,,,,41號,121.502022069978,25.132191408557
臺北市北投區中央里3鄰新市街43號,63,6301200,6301200-022,3鄰,新市街,,,,,,43號,121.502046880632,25.132222369987
臺北市北投區中央里3鄰新市街45號,63,6301200,6301200-022,3鄰,新市街,,,,,,45號,121.502081077982,25.1322509017735
臺北市北投區中央里2鄰新市街47號,63,6301200,6301200-022,2鄰,新市街,,,,,,47號,121.502157328241,25.1323496895851
臺北市北投區中央里2鄰新市街49號,63,6301200,6301200-022,2鄰,新市街,,,,,,49號,121.502181197105,25.1323838735667
臺北市北投區中央里2鄰新市街51號,63,6301200,6301200-022,2鄰,新市街,,,,,,51號,121.502194943401,25.1324212083136
臺北市北投區中央里2鄰新市街53號,63,6301200,6301200-022,2鄰,新市街,,,,,,53號,121.502209360365,25.1324588468352
臺北市北投區中央里2鄰新市街55號,63,6301200,6301200-022,2鄰,新市街,,,,,,55號,121.502231488513,25.1324934501893
臺北市北投區中央里2鄰新市街57號,63,6301200,6301200-022,2鄰,新市街,,,,,,57號,121.502246911089,25.1325274461124
臺北市北投區中央里2鄰新市街59號,63,6301200,6301200-022,2鄰,新市街,,,,,,59號,121.502270381082,25.132564477055
臺北市北投區中央里2鄰新市街61號,63,6301200,6301200-022,2鄰,新市街,,,,,,61號,121.502290460584,25.1326092618898
臺北市北投區中央里2鄰新市街63號,63,6301200,6301200-022,2鄰,新市街,,,,,,63號,121.502305832269,25.1326386591838
