FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺北市北投區泉源里10鄰東昇路1號,63,6301200,6301200-039,10鄰,東昇路,,,,,,1號,121.518226754013,25.1453763566008
臺北市北投區泉源里10鄰東昇路1之5號,63,6301200,6301200-039,10鄰,東昇路,,,,,,1之5號,121.519613546326,25.1447216497465
臺北市北投區泉源里10鄰東昇路3號,63,6301200,6301200-039,10鄰,東昇路,,,,,,3號,121.521117116034,25.1445613378331
臺北市北投區泉源里10鄰東昇路5號,63,6301200,6301200-039,10鄰,東昇路,,,,,,5號,121.521263014118,25.1445094348551
臺北市北投區泉源里10鄰東昇路9號,63,6301200,6301200-039,10鄰,東昇路,,,,,,9號,121.521683203899,25.1445176959799
臺北市北投區泉源里10鄰東昇路11號,63,6301200,6301200-039,10鄰,東昇路,,,,,,11號,121.521645912308,25.1440823058067
臺北市北投區泉源里10鄰東昇路11之4號,63,6301200,6301200-039,10鄰,東昇路,,,,,,11之4號,121.521990583856,25.1440994603355
臺北市北投區泉源里10鄰東昇路11之6號,63,6301200,6301200-039,10鄰,東昇路,,,,,,11之6號,121.522394067325,25.1446773358581
臺北市北投區泉源里10鄰東昇路臨11之7號,63,6301200,6301200-039,10鄰,東昇路,,,,,,臨11之7號,121.522318139597,25.1447830544163
臺北市北投區泉源里10鄰東昇路臨11之9號,63,6301200,6301200-039,10鄰,東昇路,,,,,,臨11之9號,121.523046743217,25.145408840189
臺北市北投區泉源里2鄰東昇路12巷1號,63,6301200,6301200-039,2鄰,東昇路,,12巷,,,,1號,121.522868813139,25.14619623783
臺北市北投區泉源里2鄰東昇路12巷1號二樓,63,6301200,6301200-039,2鄰,東昇路,,12巷,,,,1號二樓,121.522868813139,25.14619623783
臺北市北投區泉源里2鄰東昇路12巷2號,63,6301200,6301200-039,2鄰,東昇路,,12巷,,,,2號,121.522991492662,25.1461606392145
臺北市北投區泉源里2鄰東昇路12巷2號二樓,63,6301200,6301200-039,2鄰,東昇路,,12巷,,,,2號二樓,121.522991492662,25.1461606392145
臺北市北投區泉源里2鄰東昇路12巷3號,63,6301200,6301200-039,2鄰,東昇路,,12巷,,,,3號,121.5228076123,25.1462000839563
臺北市北投區泉源里2鄰東昇路12巷3號二樓,63,6301200,6301200-039,2鄰,東昇路,,12巷,,,,3號二樓,121.5228076123,25.1462000839563
臺北市北投區泉源里2鄰東昇路12巷4號,63,6301200,6301200-039,2鄰,東昇路,,12巷,,,,4號,121.523059349617,25.1461430108671
臺北市北投區泉源里2鄰東昇路12巷4號二樓,63,6301200,6301200-039,2鄰,東昇路,,12巷,,,,4號二樓,121.523059349617,25.1461430108671
臺北市北投區泉源里2鄰東昇路12巷5號,63,6301200,6301200-039,2鄰,東昇路,,12巷,,,,5號,121.522761979383,25.1462029450154
臺北市北投區泉源里2鄰東昇路12巷5號二樓,63,6301200,6301200-039,2鄰,東昇路,,12巷,,,,5號二樓,121.522761979383,25.1462029450154
臺北市北投區泉源里2鄰東昇路12巷6號,63,6301200,6301200-039,2鄰,東昇路,,12巷,,,,6號,121.523088705755,25.1461353865248
臺北市北投區泉源里2鄰東昇路12巷6號二樓,63,6301200,6301200-039,2鄰,東昇路,,12巷,,,,6號二樓,121.523088705755,25.1461353865248
臺北市北投區泉源里2鄰東昇路12巷7號,63,6301200,6301200-039,2鄰,東昇路,,12巷,,,,7號,121.522699380392,25.1462068682731
臺北市北投區泉源里2鄰東昇路12巷7號二樓,63,6301200,6301200-039,2鄰,東昇路,,12巷,,,,7號二樓,121.522699380392,25.1462068682731
臺北市北投區泉源里2鄰東昇路12巷8號,63,6301200,6301200-039,2鄰,東昇路,,12巷,,,,8號,121.523160149262,25.1461168336002
臺北市北投區泉源里2鄰東昇路12巷8號二樓,63,6301200,6301200-039,2鄰,東昇路,,12巷,,,,8號二樓,121.523160149262,25.1461168336002
臺北市北投區泉源里2鄰東昇路12巷9號,63,6301200,6301200-039,2鄰,東昇路,,12巷,,,,9號,121.522873725101,25.1463317926911
臺北市北投區泉源里2鄰東昇路12巷9號二樓,63,6301200,6301200-039,2鄰,東昇路,,12巷,,,,9號二樓,121.522873725101,25.1463317926911
臺北市北投區泉源里2鄰東昇路12巷10號,63,6301200,6301200-039,2鄰,東昇路,,12巷,,,,10號,121.523195331015,25.1461076899464
臺北市北投區泉源里2鄰東昇路12巷10號二樓,63,6301200,6301200-039,2鄰,東昇路,,12巷,,,,10號二樓,121.523195331015,25.1461076899464
