FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺北市松山區慈祐里11鄰松河街2號,63,6300100,6300100-018,11鄰,松河街,,,,,,2號,121.571091506125,25.0512950212083
臺北市松山區慈祐里11鄰松河街3號,63,6300100,6300100-018,11鄰,松河街,,,,,,3號,121.571916720655,25.0508092133206
臺北市松山區慈祐里9鄰松河街14號,63,6300100,6300100-018,9鄰,松河街,,,,,,14號,121.572265473786,25.0507181020203
臺北市松山區慈祐里9鄰松河街16號,63,6300100,6300100-018,9鄰,松河街,,,,,,16號,121.572516151551,25.0507290682006
臺北市松山區慈祐里9鄰松河街16號二樓,63,6300100,6300100-018,9鄰,松河街,,,,,,16號二樓,121.572516151551,25.0507290682006
臺北市松山區慈祐里9鄰松河街16號三樓,63,6300100,6300100-018,9鄰,松河街,,,,,,16號三樓,121.572516151551,25.0507290682006
臺北市松山區慈祐里9鄰松河街16號四樓,63,6300100,6300100-018,9鄰,松河街,,,,,,16號四樓,121.572516151551,25.0507290682006
臺北市松山區慈祐里9鄰松河街16號五樓,63,6300100,6300100-018,9鄰,松河街,,,,,,16號五樓,121.572516151551,25.0507290682006
臺北市松山區慈祐里9鄰松河街18號,63,6300100,6300100-018,9鄰,松河街,,,,,,18號,121.572602222899,25.0507189544243
臺北市松山區慈祐里9鄰松河街18號二樓,63,6300100,6300100-018,9鄰,松河街,,,,,,18號二樓,121.572602222899,25.0507189544243
臺北市松山區慈祐里9鄰松河街18號三樓,63,6300100,6300100-018,9鄰,松河街,,,,,,18號三樓,121.572602222899,25.0507189544243
臺北市松山區慈祐里9鄰松河街18號四樓,63,6300100,6300100-018,9鄰,松河街,,,,,,18號四樓,121.572602222899,25.0507189544243
臺北市松山區慈祐里9鄰松河街18號五樓,63,6300100,6300100-018,9鄰,松河街,,,,,,18號五樓,121.572602222899,25.0507189544243
臺北市松山區慈祐里9鄰松河街20號,63,6300100,6300100-018,9鄰,松河街,,,,,,20號,121.572636903155,25.0507157457253
臺北市松山區慈祐里9鄰松河街20號二樓,63,6300100,6300100-018,9鄰,松河街,,,,,,20號二樓,121.572636903155,25.0507157457253
臺北市松山區慈祐里9鄰松河街20號三樓,63,6300100,6300100-018,9鄰,松河街,,,,,,20號三樓,121.572636903155,25.0507157457253
臺北市松山區慈祐里9鄰松河街20號四樓,63,6300100,6300100-018,9鄰,松河街,,,,,,20號四樓,121.572636903155,25.0507157457253
臺北市松山區慈祐里9鄰松河街20號五樓,63,6300100,6300100-018,9鄰,松河街,,,,,,20號五樓,121.572636903155,25.0507157457253
臺北市松山區慈祐里9鄰松河街22號,63,6300100,6300100-018,9鄰,松河街,,,,,,22號,121.572690623063,25.0507088041936
臺北市松山區慈祐里9鄰松河街22號二樓,63,6300100,6300100-018,9鄰,松河街,,,,,,22號二樓,121.572690623063,25.0507088041936
臺北市松山區慈祐里9鄰松河街22號三樓,63,6300100,6300100-018,9鄰,松河街,,,,,,22號三樓,121.572690623063,25.0507088041936
臺北市松山區慈祐里9鄰松河街22號四樓,63,6300100,6300100-018,9鄰,松河街,,,,,,22號四樓,121.572690623063,25.0507088041936
臺北市松山區慈祐里9鄰松河街22號五樓,63,6300100,6300100-018,9鄰,松河街,,,,,,22號五樓,121.572690623063,25.0507088041936
臺北市松山區慈祐里9鄰松河街24號,63,6300100,6300100-018,9鄰,松河街,,,,,,24號,121.572731768155,25.0507042062732
臺北市松山區慈祐里9鄰松河街24號二樓,63,6300100,6300100-018,9鄰,松河街,,,,,,24號二樓,121.572731768155,25.0507042062732
臺北市松山區慈祐里9鄰松河街24號三樓,63,6300100,6300100-018,9鄰,松河街,,,,,,24號三樓,121.572731768155,25.0507042062732
臺北市松山區慈祐里9鄰松河街24號四樓,63,6300100,6300100-018,9鄰,松河街,,,,,,24號四樓,121.572731768155,25.0507042062732
臺北市松山區慈祐里9鄰松河街24號五樓,63,6300100,6300100-018,9鄰,松河街,,,,,,24號五樓,121.572731768155,25.0507042062732
臺北市松山區慈祐里9鄰松河街26號,63,6300100,6300100-018,9鄰,松河街,,,,,,26號,121.572783578317,25.0507084043154
臺北市松山區慈祐里9鄰松河街26號二樓,63,6300100,6300100-018,9鄰,松河街,,,,,,26號二樓,121.572783578317,25.0507084043154
臺北市松山區慈祐里9鄰松河街26號三樓,63,6300100,6300100-018,9鄰,松河街,,,,,,26號三樓,121.572783578317,25.0507084043154
臺北市松山區慈祐里9鄰松河街26號四樓,63,6300100,6300100-018,9鄰,松河街,,,,,,26號四樓,121.572783578317,25.0507084043154
臺北市松山區慈祐里9鄰松河街26號五樓,63,6300100,6300100-018,9鄰,松河街,,,,,,26號五樓,121.572783578317,25.0507084043154
臺北市松山區慈祐里9鄰松河街28號,63,6300100,6300100-018,9鄰,松河街,,,,,,28號,121.572855779989,25.0507012892922
臺北市松山區慈祐里9鄰松河街28號二樓,63,6300100,6300100-018,9鄰,松河街,,,,,,28號二樓,121.572855779989,25.0507012892922
臺北市松山區慈祐里9鄰松河街28號三樓,63,6300100,6300100-018,9鄰,松河街,,,,,,28號三樓,121.572855779989,25.0507012892922
臺北市松山區慈祐里9鄰松河街28號四樓,63,6300100,6300100-018,9鄰,松河街,,,,,,28號四樓,121.572855779989,25.0507012892922
臺北市松山區慈祐里9鄰松河街28號五樓,63,6300100,6300100-018,9鄰,松河街,,,,,,28號五樓,121.572855779989,25.0507012892922
臺北市松山區慈祐里7鄰松河街38號十四樓之1,63,6300100,6300100-018,7鄰,松河街,,,,,,38號十四樓之1,121.573237776415,25.0506909136769
臺北市松山區慈祐里7鄰松河街38號二樓,63,6300100,6300100-018,7鄰,松河街,,,,,,38號二樓,121.573237776415,25.0506909136769
臺北市松山區慈祐里7鄰松河街38號三樓,63,6300100,6300100-018,7鄰,松河街,,,,,,38號三樓,121.573237776415,25.0506909136769
臺北市松山區慈祐里7鄰松河街38號四樓,63,6300100,6300100-018,7鄰,松河街,,,,,,38號四樓,121.573237776415,25.0506909136769
臺北市松山區慈祐里7鄰松河街38號五樓,63,6300100,6300100-018,7鄰,松河街,,,,,,38號五樓,121.573237776415,25.0506909136769
臺北市松山區慈祐里7鄰松河街38號六樓,63,6300100,6300100-018,7鄰,松河街,,,,,,38號六樓,121.573237776415,25.0506909136769
臺北市松山區慈祐里7鄰松河街38號七樓,63,6300100,6300100-018,7鄰,松河街,,,,,,38號七樓,121.573237776415,25.0506909136769
臺北市松山區慈祐里7鄰松河街38號八樓,63,6300100,6300100-018,7鄰,松河街,,,,,,38號八樓,121.573237776415,25.0506909136769
臺北市松山區慈祐里7鄰松河街38號九樓,63,6300100,6300100-018,7鄰,松河街,,,,,,38號九樓,121.573237776415,25.0506909136769
