FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺北市文山區木新里10鄰永安街1號,63,6300800,6300800-028,10鄰,永安街,,,,,,1號,121.570232810079,24.9874478550142
臺北市文山區木新里11鄰永安街2號,63,6300800,6300800-028,11鄰,永安街,,,,,,2號,121.570112541197,24.9874138615899
臺北市文山區木新里11鄰永安街2號二樓,63,6300800,6300800-028,11鄰,永安街,,,,,,2號二樓,121.570112541197,24.9874138615899
臺北市文山區木新里11鄰永安街2號三樓,63,6300800,6300800-028,11鄰,永安街,,,,,,2號三樓,121.570112541197,24.9874138615899
臺北市文山區木新里11鄰永安街2號四樓,63,6300800,6300800-028,11鄰,永安街,,,,,,2號四樓,121.570112541197,24.9874138615899
臺北市文山區木新里10鄰永安街3號,63,6300800,6300800-028,10鄰,永安街,,,,,,3號,121.570288968389,24.9873351517288
臺北市文山區木新里10鄰永安街3號二樓,63,6300800,6300800-028,10鄰,永安街,,,,,,3號二樓,121.570288968389,24.9873351517288
臺北市文山區木新里10鄰永安街3號三樓,63,6300800,6300800-028,10鄰,永安街,,,,,,3號三樓,121.570288968389,24.9873351517288
臺北市文山區木新里10鄰永安街3號四樓,63,6300800,6300800-028,10鄰,永安街,,,,,,3號四樓,121.570288968389,24.9873351517288
臺北市文山區木新里10鄰永安街3號五樓,63,6300800,6300800-028,10鄰,永安街,,,,,,3號五樓,121.570288968389,24.9873351517288
臺北市文山區木新里11鄰永安街4號,63,6300800,6300800-028,11鄰,永安街,,,,,,4號,121.570122904416,24.9873584995781
臺北市文山區木新里11鄰永安街4號二樓,63,6300800,6300800-028,11鄰,永安街,,,,,,4號二樓,121.570122904416,24.9873584995781
臺北市文山區木新里11鄰永安街4號三樓,63,6300800,6300800-028,11鄰,永安街,,,,,,4號三樓,121.570122904416,24.9873584995781
臺北市文山區木新里11鄰永安街4號四樓,63,6300800,6300800-028,11鄰,永安街,,,,,,4號四樓,121.570122904416,24.9873584995781
臺北市文山區木新里10鄰永安街5號,63,6300800,6300800-028,10鄰,永安街,,,,,,5號,121.570321057441,24.9872505457056
臺北市文山區木新里10鄰永安街5號二樓,63,6300800,6300800-028,10鄰,永安街,,,,,,5號二樓,121.570321057441,24.9872505457056
臺北市文山區木新里10鄰永安街5號三樓,63,6300800,6300800-028,10鄰,永安街,,,,,,5號三樓,121.570321057441,24.9872505457056
臺北市文山區木新里10鄰永安街5號四樓,63,6300800,6300800-028,10鄰,永安街,,,,,,5號四樓,121.570321057441,24.9872505457056
