FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺北市中正區光復里9鄰永綏街2號,63,6300500,6300500-023,9鄰,永綏街,,,,,,2號,121.511270978341,25.0429949177088
臺北市中正區光復里9鄰永綏街3號,63,6300500,6300500-023,9鄰,永綏街,,,,,,3號,121.51118337128,25.0431719985665
臺北市中正區光復里9鄰永綏街3號二樓,63,6300500,6300500-023,9鄰,永綏街,,,,,,3號二樓,121.51118337128,25.0431719985665
臺北市中正區光復里9鄰永綏街4號,63,6300500,6300500-023,9鄰,永綏街,,,,,,4號,121.511239836898,25.0429917186461
臺北市中正區光復里9鄰永綏街4號二樓,63,6300500,6300500-023,9鄰,永綏街,,,,,,4號二樓,121.511239836898,25.0429917186461
臺北市中正區光復里9鄰永綏街4號三樓,63,6300500,6300500-023,9鄰,永綏街,,,,,,4號三樓,121.511239836898,25.0429917186461
臺北市中正區光復里9鄰永綏街4號四樓,63,6300500,6300500-023,9鄰,永綏街,,,,,,4號四樓,121.511239836898,25.0429917186461
臺北市中正區光復里9鄰永綏街4號五樓,63,6300500,6300500-023,9鄰,永綏街,,,,,,4號五樓,121.511239836898,25.0429917186461
臺北市中正區光復里9鄰永綏街5號,63,6300500,6300500-023,9鄰,永綏街,,,,,,5號,121.511080267957,25.0431754762888
臺北市中正區光復里9鄰永綏街5號二樓,63,6300500,6300500-023,9鄰,永綏街,,,,,,5號二樓,121.511080267957,25.0431754762888
臺北市中正區光復里9鄰永綏街5號三樓,63,6300500,6300500-023,9鄰,永綏街,,,,,,5號三樓,121.511080267957,25.0431754762888
臺北市中正區光復里9鄰永綏街5號四樓,63,6300500,6300500-023,9鄰,永綏街,,,,,,5號四樓,121.511080267957,25.0431754762888
臺北市中正區光復里9鄰永綏街5號五樓,63,6300500,6300500-023,9鄰,永綏街,,,,,,5號五樓,121.511080267957,25.0431754762888
臺北市中正區光復里9鄰永綏街5號六樓,63,6300500,6300500-023,9鄰,永綏街,,,,,,5號六樓,121.511080267957,25.0431754762888
臺北市中正區光復里9鄰永綏街5號七樓,63,6300500,6300500-023,9鄰,永綏街,,,,,,5號七樓,121.511080267957,25.0431754762888
臺北市中正區光復里9鄰永綏街5號八樓,63,6300500,6300500-023,9鄰,永綏街,,,,,,5號八樓,121.511080267957,25.0431754762888
臺北市中正區光復里9鄰永綏街5號九樓,63,6300500,6300500-023,9鄰,永綏街,,,,,,5號九樓,121.511080267957,25.0431754762888
臺北市中正區光復里9鄰永綏街5號十樓,63,6300500,6300500-023,9鄰,永綏街,,,,,,5號十樓,121.511080267957,25.0431754762888
臺北市中正區光復里9鄰永綏街5號十一樓,63,6300500,6300500-023,9鄰,永綏街,,,,,,5號十一樓,121.511080267957,25.0431754762888
臺北市中正區光復里9鄰永綏街5號十二樓,63,6300500,6300500-023,9鄰,永綏街,,,,,,5號十二樓,121.511080267957,25.0431754762888
臺北市中正區光復里9鄰永綏街5號十三樓,63,6300500,6300500-023,9鄰,永綏街,,,,,,5號十三樓,121.511080267957,25.0431754762888
臺北市中正區光復里9鄰永綏街6號地下,63,6300500,6300500-023,9鄰,永綏街,,,,,,6號地下,121.511180063204,25.0429980106254
臺北市中正區光復里9鄰永綏街6號,63,6300500,6300500-023,9鄰,永綏街,,,,,,6號,121.511180063204,25.0429980106254
臺北市中正區光復里9鄰永綏街6號二樓,63,6300500,6300500-023,9鄰,永綏街,,,,,,6號二樓,121.511180063204,25.0429980106254
臺北市中正區光復里9鄰永綏街6號三樓,63,6300500,6300500-023,9鄰,永綏街,,,,,,6號三樓,121.511180063204,25.0429980106254
臺北市中正區光復里9鄰永綏街6號四樓,63,6300500,6300500-023,9鄰,永綏街,,,,,,6號四樓,121.511180063204,25.0429980106254
臺北市中正區光復里9鄰永綏街6號五樓,63,6300500,6300500-023,9鄰,永綏街,,,,,,6號五樓,121.511180063204,25.0429980106254
臺北市中正區光復里9鄰永綏街7號,63,6300500,6300500-023,9鄰,永綏街,,,,,,7號,121.51090685551,25.0431849463827
臺北市中正區光復里9鄰永綏街8號,63,6300500,6300500-023,9鄰,永綏街,,,,,,8號,121.511035431425,25.0430029220227
