FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺北市北投區中庸里7鄰永興路一段1號,63,6301200,6301200-028,7鄰,永興路,一段,,,,,1號,121.499383694069,25.1388250240393
臺北市北投區中庸里7鄰永興路一段1號二樓,63,6301200,6301200-028,7鄰,永興路,一段,,,,,1號二樓,121.499383694069,25.1388250240393
臺北市北投區中庸里7鄰永興路一段1號三樓,63,6301200,6301200-028,7鄰,永興路,一段,,,,,1號三樓,121.499383694069,25.1388250240393
臺北市北投區中庸里7鄰永興路一段1號四樓,63,6301200,6301200-028,7鄰,永興路,一段,,,,,1號四樓,121.499383694069,25.1388250240393
臺北市北投區中庸里7鄰永興路一段1號五樓,63,6301200,6301200-028,7鄰,永興路,一段,,,,,1號五樓,121.499383694069,25.1388250240393
臺北市北投區中庸里10鄰永興路一段2號,63,6301200,6301200-028,10鄰,永興路,一段,,,,,2號,121.499377079649,25.1386477058493
臺北市北投區中庸里13鄰永興路一段2之18號,63,6301200,6301200-028,13鄰,永興路,一段,,,,,2之18號,121.49908684657,25.1382706735134
臺北市北投區中庸里10鄰永興路一段2號二樓,63,6301200,6301200-028,10鄰,永興路,一段,,,,,2號二樓,121.499377079649,25.1386477058493
臺北市北投區中庸里13鄰永興路一段2之18號二樓,63,6301200,6301200-028,13鄰,永興路,一段,,,,,2之18號二樓,121.49908684657,25.1382706735134
臺北市北投區中庸里13鄰永興路一段2之20號二樓,63,6301200,6301200-028,13鄰,永興路,一段,,,,,2之20號二樓,121.499142064558,25.138330858064
臺北市北投區中庸里10鄰永興路一段2號三樓,63,6301200,6301200-028,10鄰,永興路,一段,,,,,2號三樓,121.499377079649,25.1386477058493
臺北市北投區中庸里13鄰永興路一段2之18號三樓,63,6301200,6301200-028,13鄰,永興路,一段,,,,,2之18號三樓,121.49908684657,25.1382706735134
臺北市北投區中庸里13鄰永興路一段2之20號三樓,63,6301200,6301200-028,13鄰,永興路,一段,,,,,2之20號三樓,121.499142064558,25.138330858064
臺北市北投區中庸里10鄰永興路一段2號四樓,63,6301200,6301200-028,10鄰,永興路,一段,,,,,2號四樓,121.499377079649,25.1386477058493
臺北市北投區中庸里13鄰永興路一段2之20號四樓,63,6301200,6301200-028,13鄰,永興路,一段,,,,,2之20號四樓,121.499142064558,25.138330858064
臺北市北投區中庸里13鄰永興路一段2之18號四樓,63,6301200,6301200-028,13鄰,永興路,一段,,,,,2之18號四樓,121.49908684657,25.1382706735134
臺北市北投區中庸里13鄰永興路一段2之20號五樓,63,6301200,6301200-028,13鄰,永興路,一段,,,,,2之20號五樓,121.499142064558,25.138330858064
臺北市北投區中庸里13鄰永興路一段2之18號五樓,63,6301200,6301200-028,13鄰,永興路,一段,,,,,2之18號五樓,121.49908684657,25.1382706735134
臺北市北投區中庸里13鄰永興路一段2之18號六樓,63,6301200,6301200-028,13鄰,永興路,一段,,,,,2之18號六樓,121.49908684657,25.1382706735134
臺北市北投區中庸里13鄰永興路一段2之20號六樓,63,6301200,6301200-028,13鄰,永興路,一段,,,,,2之20號六樓,121.499142064558,25.138330858064
臺北市北投區中庸里13鄰永興路一段2之20號七樓,63,6301200,6301200-028,13鄰,永興路,一段,,,,,2之20號七樓,121.499142064558,25.138330858064
臺北市北投區中庸里13鄰永興路一段2之18號七樓,63,6301200,6301200-028,13鄰,永興路,一段,,,,,2之18號七樓,121.49908684657,25.1382706735134
臺北市北投區中庸里7鄰永興路一段3號,63,6301200,6301200-028,7鄰,永興路,一段,,,,,3號,121.499429382723,25.1388516705385
臺北市北投區中庸里7鄰永興路一段3號二樓,63,6301200,6301200-028,7鄰,永興路,一段,,,,,3號二樓,121.499429382723,25.1388516705385
臺北市北投區中庸里7鄰永興路一段3號三樓,63,6301200,6301200-028,7鄰,永興路,一段,,,,,3號三樓,121.499429382723,25.1388516705385
臺北市北投區中庸里7鄰永興路一段3號四樓,63,6301200,6301200-028,7鄰,永興路,一段,,,,,3號四樓,121.499429382723,25.1388516705385
臺北市北投區中庸里7鄰永興路一段3號五樓,63,6301200,6301200-028,7鄰,永興路,一段,,,,,3號五樓,121.499429382723,25.1388516705385
臺北市北投區中庸里10鄰永興路一段4號,63,6301200,6301200-028,10鄰,永興路,一段,,,,,4號,121.499420664866,25.1386780573082
臺北市北投區中庸里10鄰永興路一段4號二樓,63,6301200,6301200-028,10鄰,永興路,一段,,,,,4號二樓,121.499420664866,25.1386780573082
臺北市北投區中庸里10鄰永興路一段4號三樓,63,6301200,6301200-028,10鄰,永興路,一段,,,,,4號三樓,121.499420664866,25.1386780573082
臺北市北投區中庸里10鄰永興路一段4號四樓,63,6301200,6301200-028,10鄰,永興路,一段,,,,,4號四樓,121.499420664866,25.1386780573082
臺北市北投區中庸里10鄰永興路一段4號五樓,63,6301200,6301200-028,10鄰,永興路,一段,,,,,4號五樓,121.499420664866,25.1386780573082
臺北市北投區中庸里7鄰永興路一段5號,63,6301200,6301200-028,7鄰,永興路,一段,,,,,5號,121.499472968067,25.1388795943523
臺北市北投區中庸里7鄰永興路一段5號二樓,63,6301200,6301200-028,7鄰,永興路,一段,,,,,5號二樓,121.499472968067,25.1388795943523
臺北市北投區中庸里7鄰永興路一段5號三樓,63,6301200,6301200-028,7鄰,永興路,一段,,,,,5號三樓,121.499472968067,25.1388795943523
臺北市北投區中庸里7鄰永興路一段5號四樓,63,6301200,6301200-028,7鄰,永興路,一段,,,,,5號四樓,121.499472968067,25.1388795943523
臺北市北投區中庸里7鄰永興路一段5號五樓,63,6301200,6301200-028,7鄰,永興路,一段,,,,,5號五樓,121.499472968067,25.1388795943523
臺北市北投區中庸里10鄰永興路一段6號,63,6301200,6301200-028,10鄰,永興路,一段,,,,,6號,121.499464251138,25.1387059811229
臺北市北投區中庸里10鄰永興路一段6號二樓,63,6301200,6301200-028,10鄰,永興路,一段,,,,,6號二樓,121.499464251138,25.1387059811229
臺北市北投區中庸里10鄰永興路一段6號三樓,63,6301200,6301200-028,10鄰,永興路,一段,,,,,6號三樓,121.499464251138,25.1387059811229
臺北市北投區中庸里10鄰永興路一段6號四樓,63,6301200,6301200-028,10鄰,永興路,一段,,,,,6號四樓,121.499464251138,25.1387059811229
臺北市北投區中庸里7鄰永興路一段7號,63,6301200,6301200-028,7鄰,永興路,一段,,,,,7號,121.499517224847,25.1389087319599
臺北市北投區中庸里7鄰永興路一段7號二樓,63,6301200,6301200-028,7鄰,永興路,一段,,,,,7號二樓,121.499517224847,25.1389087319599
臺北市北投區中庸里7鄰永興路一段7號三樓,63,6301200,6301200-028,7鄰,永興路,一段,,,,,7號三樓,121.499517224847,25.1389087319599
臺北市北投區中庸里7鄰永興路一段7號四樓,63,6301200,6301200-028,7鄰,永興路,一段,,,,,7號四樓,121.499517224847,25.1389087319599
