FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺北市士林區蘭興里19鄰磺溪街21巷2號,63,6301100,6301100-035,19鄰,磺溪街,,21巷,,,,2號,121.522898795862,25.106210495969
臺北市士林區蘭興里19鄰磺溪街21巷6號,63,6301100,6301100-035,19鄰,磺溪街,,21巷,,,,6號,121.522764430707,25.1062159843667
臺北市士林區蘭興里19鄰磺溪街21巷8號,63,6301100,6301100-035,19鄰,磺溪街,,21巷,,,,8號,121.522590392623,25.106223094346
臺北市士林區蘭興里19鄰磺溪街21巷16號,63,6301100,6301100-035,19鄰,磺溪街,,21巷,,,,16號,121.522477020074,25.1062615231175
臺北市士林區蘭興里19鄰磺溪街21巷16號二樓,63,6301100,6301100-035,19鄰,磺溪街,,21巷,,,,16號二樓,121.522477020074,25.1062615231175
臺北市士林區蘭興里19鄰磺溪街21巷16號三樓,63,6301100,6301100-035,19鄰,磺溪街,,21巷,,,,16號三樓,121.522477020074,25.1062615231175
臺北市士林區蘭興里19鄰磺溪街21巷16號四樓,63,6301100,6301100-035,19鄰,磺溪街,,21巷,,,,16號四樓,121.522477020074,25.1062615231175
臺北市士林區蘭興里19鄰磺溪街21巷16號五樓,63,6301100,6301100-035,19鄰,磺溪街,,21巷,,,,16號五樓,121.522477020074,25.1062615231175
臺北市士林區蘭興里19鄰磺溪街21巷18號,63,6301100,6301100-035,19鄰,磺溪街,,21巷,,,,18號,121.522416598144,25.1062639045785
臺北市士林區蘭興里19鄰磺溪街21巷18號二樓,63,6301100,6301100-035,19鄰,磺溪街,,21巷,,,,18號二樓,121.522416598144,25.1062639045785
臺北市士林區蘭興里19鄰磺溪街21巷18號三樓,63,6301100,6301100-035,19鄰,磺溪街,,21巷,,,,18號三樓,121.522416598144,25.1062639045785
臺北市士林區蘭興里19鄰磺溪街21巷18號四樓,63,6301100,6301100-035,19鄰,磺溪街,,21巷,,,,18號四樓,121.522416598144,25.1062639045785
臺北市士林區蘭興里19鄰磺溪街21巷18號五樓,63,6301100,6301100-035,19鄰,磺溪街,,21巷,,,,18號五樓,121.522416598144,25.1062639045785
臺北市士林區蘭興里19鄰磺溪街21巷20號,63,6301100,6301100-035,19鄰,磺溪街,,21巷,,,,20號,121.52234804731,25.1062666128191
臺北市士林區蘭興里19鄰磺溪街21巷20號二樓,63,6301100,6301100-035,19鄰,磺溪街,,21巷,,,,20號二樓,121.52234804731,25.1062666128191
臺北市士林區蘭興里19鄰磺溪街21巷20號三樓,63,6301100,6301100-035,19鄰,磺溪街,,21巷,,,,20號三樓,121.52234804731,25.1062666128191
臺北市士林區蘭興里19鄰磺溪街21巷20號四樓,63,6301100,6301100-035,19鄰,磺溪街,,21巷,,,,20號四樓,121.52234804731,25.1062666128191
臺北市士林區蘭興里19鄰磺溪街21巷20號五樓,63,6301100,6301100-035,19鄰,磺溪街,,21巷,,,,20號五樓,121.52234804731,25.1062666128191
臺北市士林區蘭興里19鄰磺溪街21巷22號,63,6301100,6301100-035,19鄰,磺溪街,,21巷,,,,22號,121.522266966031,25.1062698169344
臺北市士林區蘭興里19鄰磺溪街21巷22號二樓,63,6301100,6301100-035,19鄰,磺溪街,,21巷,,,,22號二樓,121.522266966031,25.1062698169344
臺北市士林區蘭興里19鄰磺溪街21巷22號三樓,63,6301100,6301100-035,19鄰,磺溪街,,21巷,,,,22號三樓,121.522266966031,25.1062698169344
臺北市士林區蘭興里19鄰磺溪街21巷22號四樓,63,6301100,6301100-035,19鄰,磺溪街,,21巷,,,,22號四樓,121.522266966031,25.1062698169344
臺北市士林區蘭興里19鄰磺溪街21巷22號五樓,63,6301100,6301100-035,19鄰,磺溪街,,21巷,,,,22號五樓,121.522266966031,25.1062698169344
臺北市士林區蘭興里19鄰磺溪街21巷24號,63,6301100,6301100-035,19鄰,磺溪街,,21巷,,,,24號,121.522209448797,25.1062720886604
臺北市士林區蘭興里19鄰磺溪街21巷24號二樓,63,6301100,6301100-035,19鄰,磺溪街,,21巷,,,,24號二樓,121.522209448797,25.1062720886604
臺北市士林區蘭興里19鄰磺溪街21巷24號三樓,63,6301100,6301100-035,19鄰,磺溪街,,21巷,,,,24號三樓,121.522209448797,25.1062720886604
臺北市士林區蘭興里19鄰磺溪街21巷24號四樓,63,6301100,6301100-035,19鄰,磺溪街,,21巷,,,,24號四樓,121.522209448797,25.1062720886604
臺北市士林區蘭興里19鄰磺溪街21巷24號五樓,63,6301100,6301100-035,19鄰,磺溪街,,21巷,,,,24號五樓,121.522209448797,25.1062720886604
臺北市士林區蘭興里19鄰磺溪街21巷26號,63,6301100,6301100-035,19鄰,磺溪街,,21巷,,,,26號,121.522126993031,25.1062506603845
臺北市士林區蘭興里19鄰磺溪街21巷26號二樓,63,6301100,6301100-035,19鄰,磺溪街,,21巷,,,,26號二樓,121.522126993031,25.1062506603845
臺北市士林區蘭興里19鄰磺溪街21巷26號三樓,63,6301100,6301100-035,19鄰,磺溪街,,21巷,,,,26號三樓,121.522126993031,25.1062506603845
臺北市士林區蘭興里19鄰磺溪街21巷26號四樓,63,6301100,6301100-035,19鄰,磺溪街,,21巷,,,,26號四樓,121.522126993031,25.1062506603845
臺北市士林區蘭興里19鄰磺溪街21巷26號五樓,63,6301100,6301100-035,19鄰,磺溪街,,21巷,,,,26號五樓,121.522126993031,25.1062506603845
臺北市士林區蘭興里19鄰磺溪街21巷28號,63,6301100,6301100-035,19鄰,磺溪街,,21巷,,,,28號,121.522062479655,25.1062538235642
臺北市士林區蘭興里19鄰磺溪街21巷28號二樓,63,6301100,6301100-035,19鄰,磺溪街,,21巷,,,,28號二樓,121.522062479655,25.1062538235642
臺北市士林區蘭興里19鄰磺溪街21巷28號三樓,63,6301100,6301100-035,19鄰,磺溪街,,21巷,,,,28號三樓,121.522062479655,25.1062538235642
臺北市士林區蘭興里19鄰磺溪街21巷28號四樓,63,6301100,6301100-035,19鄰,磺溪街,,21巷,,,,28號四樓,121.522062479655,25.1062538235642
臺北市士林區蘭興里19鄰磺溪街21巷28號五樓,63,6301100,6301100-035,19鄰,磺溪街,,21巷,,,,28號五樓,121.522062479655,25.1062538235642
臺北市士林區蘭興里19鄰磺溪街21巷30號,63,6301100,6301100-035,19鄰,磺溪街,,21巷,,,,30號,121.521978745092,25.1062579216102
臺北市士林區蘭興里19鄰磺溪街21巷30號二樓,63,6301100,6301100-035,19鄰,磺溪街,,21巷,,,,30號二樓,121.521978745092,25.1062579216102
臺北市士林區蘭興里19鄰磺溪街21巷30號三樓,63,6301100,6301100-035,19鄰,磺溪街,,21巷,,,,30號三樓,121.521978745092,25.1062579216102
臺北市士林區蘭興里19鄰磺溪街21巷30號四樓,63,6301100,6301100-035,19鄰,磺溪街,,21巷,,,,30號四樓,121.521978745092,25.1062579216102
臺北市士林區蘭興里19鄰磺溪街21巷30號五樓,63,6301100,6301100-035,19鄰,磺溪街,,21巷,,,,30號五樓,121.521978745092,25.1062579216102
臺北市士林區蘭興里19鄰磺溪街21巷32號,63,6301100,6301100-035,19鄰,磺溪街,,21巷,,,,32號,121.521918464586,25.1062608800633
臺北市士林區蘭興里19鄰磺溪街21巷32號二樓,63,6301100,6301100-035,19鄰,磺溪街,,21巷,,,,32號二樓,121.521918464586,25.1062608800633
臺北市士林區蘭興里19鄰磺溪街21巷32號三樓,63,6301100,6301100-035,19鄰,磺溪街,,21巷,,,,32號三樓,121.521918464586,25.1062608800633
臺北市士林區蘭興里19鄰磺溪街21巷32號四樓,63,6301100,6301100-035,19鄰,磺溪街,,21巷,,,,32號四樓,121.521918464586,25.1062608800633
臺北市士林區蘭興里19鄰磺溪街21巷32號五樓,63,6301100,6301100-035,19鄰,磺溪街,,21巷,,,,32號五樓,121.521918464586,25.1062608800633
臺北市士林區蘭興里9鄰磺溪街23號,63,6301100,6301100-035,9鄰,磺溪街,,,,,,23號,121.522928487576,25.1063669809117
臺北市士林區蘭興里9鄰磺溪街23號二樓,63,6301100,6301100-035,9鄰,磺溪街,,,,,,23號二樓,121.522928487576,25.1063669809117
臺北市士林區蘭興里9鄰磺溪街23號三樓,63,6301100,6301100-035,9鄰,磺溪街,,,,,,23號三樓,121.522928487576,25.1063669809117
臺北市士林區蘭興里9鄰磺溪街23號四樓,63,6301100,6301100-035,9鄰,磺溪街,,,,,,23號四樓,121.522928487576,25.1063669809117
臺北市士林區蘭興里9鄰磺溪街23號五樓,63,6301100,6301100-035,9鄰,磺溪街,,,,,,23號五樓,121.522928487576,25.1063669809117
臺北市士林區蘭興里9鄰磺溪街25號,63,6301100,6301100-035,9鄰,磺溪街,,,,,,25號,121.522839742195,25.1062129088264
臺北市士林區蘭興里9鄰磺溪街25號二樓,63,6301100,6301100-035,9鄰,磺溪街,,,,,,25號二樓,121.522839742195,25.1062129088264
臺北市士林區蘭興里9鄰磺溪街25號三樓,63,6301100,6301100-035,9鄰,磺溪街,,,,,,25號三樓,121.522839742195,25.1062129088264
臺北市士林區蘭興里9鄰磺溪街25號四樓,63,6301100,6301100-035,9鄰,磺溪街,,,,,,25號四樓,121.522839742195,25.1062129088264
臺北市士林區蘭興里9鄰磺溪街25號五樓,63,6301100,6301100-035,9鄰,磺溪街,,,,,,25號五樓,121.522839742195,25.1062129088264
臺北市士林區蘭興里9鄰磺溪街27號,63,6301100,6301100-035,9鄰,磺溪街,,,,,,27號,121.522692985447,25.1062189016901
臺北市士林區蘭興里9鄰磺溪街27號二樓,63,6301100,6301100-035,9鄰,磺溪街,,,,,,27號二樓,121.522692985447,25.1062189016901
臺北市士林區蘭興里9鄰磺溪街27號三樓,63,6301100,6301100-035,9鄰,磺溪街,,,,,,27號三樓,121.522692985447,25.1062189016901
臺北市士林區蘭興里9鄰磺溪街27號四樓,63,6301100,6301100-035,9鄰,磺溪街,,,,,,27號四樓,121.522692985447,25.1062189016901
臺北市士林區蘭興里9鄰磺溪街27號五樓,63,6301100,6301100-035,9鄰,磺溪街,,,,,,27號五樓,121.522692985447,25.1062189016901
臺北市士林區蘭興里9鄰磺溪街29號,63,6301100,6301100-035,9鄰,磺溪街,,,,,,29號,121.52283483298,25.1064510394134
臺北市士林區蘭興里9鄰磺溪街29號二樓,63,6301100,6301100-035,9鄰,磺溪街,,,,,,29號二樓,121.52283483298,25.1064510394134
臺北市士林區蘭興里9鄰磺溪街29號三樓,63,6301100,6301100-035,9鄰,磺溪街,,,,,,29號三樓,121.52283483298,25.1064510394134
臺北市士林區蘭興里9鄰磺溪街29號四樓,63,6301100,6301100-035,9鄰,磺溪街,,,,,,29號四樓,121.52283483298,25.1064510394134
臺北市士林區蘭興里9鄰磺溪街29號五樓,63,6301100,6301100-035,9鄰,磺溪街,,,,,,29號五樓,121.52283483298,25.1064510394134
臺北市士林區蘭興里9鄰磺溪街31號,63,6301100,6301100-035,9鄰,磺溪街,,,,,,31號,121.522833633629,25.1064210346391
臺北市士林區蘭興里9鄰磺溪街31號二樓,63,6301100,6301100-035,9鄰,磺溪街,,,,,,31號二樓,121.522833633629,25.1064210346391
臺北市士林區蘭興里9鄰磺溪街31號三樓,63,6301100,6301100-035,9鄰,磺溪街,,,,,,31號三樓,121.522833633629,25.1064210346391
臺北市士林區蘭興里9鄰磺溪街31號四樓,63,6301100,6301100-035,9鄰,磺溪街,,,,,,31號四樓,121.522833633629,25.1064210346391
臺北市士林區蘭興里9鄰磺溪街31號五樓,63,6301100,6301100-035,9鄰,磺溪街,,,,,,31號五樓,121.522833633629,25.1064210346391
臺北市士林區蘭興里9鄰磺溪街33號,63,6301100,6301100-035,9鄰,磺溪街,,,,,,33號,121.522706774429,25.1065354005606
臺北市士林區蘭興里9鄰磺溪街33號二樓,63,6301100,6301100-035,9鄰,磺溪街,,,,,,33號二樓,121.522706774429,25.1065354005606
臺北市士林區蘭興里9鄰磺溪街33號三樓,63,6301100,6301100-035,9鄰,磺溪街,,,,,,33號三樓,121.522706774429,25.1065354005606
臺北市士林區蘭興里9鄰磺溪街33號四樓,63,6301100,6301100-035,9鄰,磺溪街,,,,,,33號四樓,121.522706774429,25.1065354005606
臺北市士林區蘭興里9鄰磺溪街33號五樓,63,6301100,6301100-035,9鄰,磺溪街,,,,,,33號五樓,121.522706774429,25.1065354005606
臺北市士林區蘭興里9鄰磺溪街35巷2號,63,6301100,6301100-035,9鄰,磺溪街,,35巷,,,,2號,121.522740312037,25.1066916281103
臺北市士林區蘭興里9鄰磺溪街35巷2號二樓,63,6301100,6301100-035,9鄰,磺溪街,,35巷,,,,2號二樓,121.522740312037,25.1066916281103
臺北市士林區蘭興里9鄰磺溪街35巷2號三樓,63,6301100,6301100-035,9鄰,磺溪街,,35巷,,,,2號三樓,121.522740312037,25.1066916281103
臺北市士林區蘭興里9鄰磺溪街35巷2號四樓,63,6301100,6301100-035,9鄰,磺溪街,,35巷,,,,2號四樓,121.522740312037,25.1066916281103
臺北市士林區蘭興里9鄰磺溪街35巷2號五樓,63,6301100,6301100-035,9鄰,磺溪街,,35巷,,,,2號五樓,121.522740312037,25.1066916281103
臺北市士林區蘭興里9鄰磺溪街35巷4號,63,6301100,6301100-035,9鄰,磺溪街,,35巷,,,,4號,121.522679839262,25.106698388167
臺北市士林區蘭興里9鄰磺溪街35巷4號二樓,63,6301100,6301100-035,9鄰,磺溪街,,35巷,,,,4號二樓,121.522679839262,25.106698388167
