FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺北市北投區文林里14鄰致遠一路一段1號,63,6301200,6301200-002,14鄰,致遠一路,一段,,,,,1號,121.51761353516,25.1075500628474
臺北市北投區文林里14鄰致遠一路一段1號二樓,63,6301200,6301200-002,14鄰,致遠一路,一段,,,,,1號二樓,121.51761353516,25.1075500628474
臺北市北投區文林里14鄰致遠一路一段1號三樓,63,6301200,6301200-002,14鄰,致遠一路,一段,,,,,1號三樓,121.51761353516,25.1075500628474
臺北市北投區文林里14鄰致遠一路一段1號四樓,63,6301200,6301200-002,14鄰,致遠一路,一段,,,,,1號四樓,121.51761353516,25.1075500628474
臺北市北投區文林里14鄰致遠一路一段7號,63,6301200,6301200-002,14鄰,致遠一路,一段,,,,,7號,121.517432133562,25.107628708585
臺北市北投區文林里14鄰致遠一路一段7號二樓,63,6301200,6301200-002,14鄰,致遠一路,一段,,,,,7號二樓,121.517432133562,25.107628708585
臺北市北投區文林里14鄰致遠一路一段7號三樓,63,6301200,6301200-002,14鄰,致遠一路,一段,,,,,7號三樓,121.517432133562,25.107628708585
臺北市北投區文林里14鄰致遠一路一段7號四樓,63,6301200,6301200-002,14鄰,致遠一路,一段,,,,,7號四樓,121.517432133562,25.107628708585
臺北市北投區文林里14鄰致遠一路一段9號,63,6301200,6301200-002,14鄰,致遠一路,一段,,,,,9號,121.517389239113,25.1076477944154
臺北市北投區文林里14鄰致遠一路一段9之1號,63,6301200,6301200-002,14鄰,致遠一路,一段,,,,,9之1號,121.517343005676,25.1076741599795
臺北市北投區文林里14鄰致遠一路一段9號二樓,63,6301200,6301200-002,14鄰,致遠一路,一段,,,,,9號二樓,121.517389239113,25.1076477944154
臺北市北投區文林里14鄰致遠一路一段9號三樓,63,6301200,6301200-002,14鄰,致遠一路,一段,,,,,9號三樓,121.517389239113,25.1076477944154
臺北市北投區文林里14鄰致遠一路一段9號四樓,63,6301200,6301200-002,14鄰,致遠一路,一段,,,,,9號四樓,121.517389239113,25.1076477944154
臺北市北投區文林里14鄰致遠一路一段11巷1號,63,6301200,6301200-002,14鄰,致遠一路,一段,11巷,,,,1號,121.517192499587,25.1074071870263
臺北市北投區文林里14鄰致遠一路一段11巷1號二樓,63,6301200,6301200-002,14鄰,致遠一路,一段,11巷,,,,1號二樓,121.517192499587,25.1074071870263
臺北市北投區文林里14鄰致遠一路一段11巷1號三樓,63,6301200,6301200-002,14鄰,致遠一路,一段,11巷,,,,1號三樓,121.517192499587,25.1074071870263
臺北市北投區文林里14鄰致遠一路一段11巷1號四樓,63,6301200,6301200-002,14鄰,致遠一路,一段,11巷,,,,1號四樓,121.517192499587,25.1074071870263
臺北市北投區文林里14鄰致遠一路一段11巷1號五樓,63,6301200,6301200-002,14鄰,致遠一路,一段,11巷,,,,1號五樓,121.517192499587,25.1074071870263
臺北市北投區文林里14鄰致遠一路一段11巷1號六樓,63,6301200,6301200-002,14鄰,致遠一路,一段,11巷,,,,1號六樓,121.517192499587,25.1074071870263
臺北市北投區文林里14鄰致遠一路一段11巷1號七樓,63,6301200,6301200-002,14鄰,致遠一路,一段,11巷,,,,1號七樓,121.517192499587,25.1074071870263
