FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺北市中正區光復里2鄰重慶南路一段2號地下一層,63,6300500,6300500-023,2鄰,重慶南路,一段,,,,,2號地下一層,121.513134666137,25.0468585638089
臺北市中正區光復里2鄰重慶南路一段2號地下二層,63,6300500,6300500-023,2鄰,重慶南路,一段,,,,,2號地下二層,121.513134666137,25.0468585638089
臺北市中正區光復里2鄰重慶南路一段2號,63,6300500,6300500-023,2鄰,重慶南路,一段,,,,,2號,121.513134666137,25.0468585638089
臺北市中正區光復里2鄰重慶南路一段2號二樓,63,6300500,6300500-023,2鄰,重慶南路,一段,,,,,2號二樓,121.513134666137,25.0468585638089
臺北市中正區光復里2鄰重慶南路一段2號三樓,63,6300500,6300500-023,2鄰,重慶南路,一段,,,,,2號三樓,121.513134666137,25.0468585638089
臺北市中正區光復里2鄰重慶南路一段2號四樓,63,6300500,6300500-023,2鄰,重慶南路,一段,,,,,2號四樓,121.513134666137,25.0468585638089
臺北市中正區光復里2鄰重慶南路一段2號五樓,63,6300500,6300500-023,2鄰,重慶南路,一段,,,,,2號五樓,121.513134666137,25.0468585638089
臺北市中正區光復里2鄰重慶南路一段2號六樓,63,6300500,6300500-023,2鄰,重慶南路,一段,,,,,2號六樓,121.513134666137,25.0468585638089
臺北市中正區光復里2鄰重慶南路一段2號七樓,63,6300500,6300500-023,2鄰,重慶南路,一段,,,,,2號七樓,121.513134666137,25.0468585638089
臺北市中正區光復里2鄰重慶南路一段2號八樓,63,6300500,6300500-023,2鄰,重慶南路,一段,,,,,2號八樓,121.513134666137,25.0468585638089
臺北市中正區光復里2鄰重慶南路一段2號九樓,63,6300500,6300500-023,2鄰,重慶南路,一段,,,,,2號九樓,121.513134666137,25.0468585638089
臺北市中正區光復里2鄰重慶南路一段2號十樓,63,6300500,6300500-023,2鄰,重慶南路,一段,,,,,2號十樓,121.513134666137,25.0468585638089
臺北市中正區光復里2鄰重慶南路一段2號十一樓,63,6300500,6300500-023,2鄰,重慶南路,一段,,,,,2號十一樓,121.513134666137,25.0468585638089
臺北市中正區光復里2鄰重慶南路一段2號十二樓,63,6300500,6300500-023,2鄰,重慶南路,一段,,,,,2號十二樓,121.513134666137,25.0468585638089
臺北市中正區光復里2鄰重慶南路一段2號十三樓,63,6300500,6300500-023,2鄰,重慶南路,一段,,,,,2號十三樓,121.513134666137,25.0468585638089
臺北市中正區光復里2鄰重慶南路一段2號十四樓,63,6300500,6300500-023,2鄰,重慶南路,一段,,,,,2號十四樓,121.513134666137,25.0468585638089
臺北市中正區光復里2鄰重慶南路一段2號十五樓,63,6300500,6300500-023,2鄰,重慶南路,一段,,,,,2號十五樓,121.513134666137,25.0468585638089
臺北市中正區光復里2鄰重慶南路一段2號十六樓,63,6300500,6300500-023,2鄰,重慶南路,一段,,,,,2號十六樓,121.513134666137,25.0468585638089
臺北市中正區光復里2鄰重慶南路一段2號十七樓,63,6300500,6300500-023,2鄰,重慶南路,一段,,,,,2號十七樓,121.513134666137,25.0468585638089
臺北市中正區光復里2鄰重慶南路一段2號十八樓,63,6300500,6300500-023,2鄰,重慶南路,一段,,,,,2號十八樓,121.513134666137,25.0468585638089
臺北市中正區光復里2鄰重慶南路一段2號十九樓,63,6300500,6300500-023,2鄰,重慶南路,一段,,,,,2號十九樓,121.513134666137,25.0468585638089
臺北市中正區光復里2鄰重慶南路一段2號二十樓,63,6300500,6300500-023,2鄰,重慶南路,一段,,,,,2號二十樓,121.513134666137,25.0468585638089
臺北市中正區光復里2鄰重慶南路一段2號二十一樓,63,6300500,6300500-023,2鄰,重慶南路,一段,,,,,2號二十一樓,121.513134666137,25.0468585638089
臺北市中正區光復里2鄰重慶南路一段2號二十二樓,63,6300500,6300500-023,2鄰,重慶南路,一段,,,,,2號二十二樓,121.513134666137,25.0468585638089
臺北市中正區光復里2鄰重慶南路一段10號,63,6300500,6300500-023,2鄰,重慶南路,一段,,,,,10號,121.513135944193,25.0465880774431
臺北市中正區光復里2鄰重慶南路一段10號地下,63,6300500,6300500-023,2鄰,重慶南路,一段,,,,,10號地下,121.513135944193,25.0465880774431
臺北市中正區光復里2鄰重慶南路一段10號二樓,63,6300500,6300500-023,2鄰,重慶南路,一段,,,,,10號二樓,121.513135944193,25.0465880774431
臺北市中正區光復里2鄰重慶南路一段10號三樓,63,6300500,6300500-023,2鄰,重慶南路,一段,,,,,10號三樓,121.513135944193,25.0465880774431
臺北市中正區光復里2鄰重慶南路一段10號四樓,63,6300500,6300500-023,2鄰,重慶南路,一段,,,,,10號四樓,121.513135944193,25.0465880774431
臺北市中正區光復里2鄰重慶南路一段10號五樓,63,6300500,6300500-023,2鄰,重慶南路,一段,,,,,10號五樓,121.513135944193,25.0465880774431
臺北市中正區光復里2鄰重慶南路一段10號六樓,63,6300500,6300500-023,2鄰,重慶南路,一段,,,,,10號六樓,121.513135944193,25.0465880774431
臺北市中正區光復里2鄰重慶南路一段10號六樓之1,63,6300500,6300500-023,2鄰,重慶南路,一段,,,,,10號六樓之1,121.513135944085,25.0465929406609
臺北市中正區光復里2鄰重慶南路一段10號七樓,63,6300500,6300500-023,2鄰,重慶南路,一段,,,,,10號七樓,121.513135944193,25.0465880774431
臺北市中正區光復里2鄰重慶南路一段10號八樓,63,6300500,6300500-023,2鄰,重慶南路,一段,,,,,10號八樓,121.513135944193,25.0465880774431
臺北市中正區光復里2鄰重慶南路一段10號九樓,63,6300500,6300500-023,2鄰,重慶南路,一段,,,,,10號九樓,121.513135944193,25.0465880774431
臺北市中正區光復里2鄰重慶南路一段10號十樓,63,6300500,6300500-023,2鄰,重慶南路,一段,,,,,10號十樓,121.513135944193,25.0465880774431
臺北市中正區光復里2鄰重慶南路一段10號十一樓,63,6300500,6300500-023,2鄰,重慶南路,一段,,,,,10號十一樓,121.513135944193,25.0465880774431
臺北市中正區光復里2鄰重慶南路一段10號三樓之1,63,6300500,6300500-023,2鄰,重慶南路,一段,,,,,10號三樓之1,121.513135944193,25.0465880774431
臺北市中正區光復里2鄰重慶南路一段10號三樓之2,63,6300500,6300500-023,2鄰,重慶南路,一段,,,,,10號三樓之2,121.513135944193,25.0465880774431
臺北市中正區光復里2鄰重慶南路一段10號三樓之3,63,6300500,6300500-023,2鄰,重慶南路,一段,,,,,10號三樓之3,121.513135944193,25.0465880774431
臺北市中正區光復里2鄰重慶南路一段10號三樓之5,63,6300500,6300500-023,2鄰,重慶南路,一段,,,,,10號三樓之5,121.513135944193,25.0465880774431
