FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市梓官區梓信里17鄰中學路71號,64,6402900,6402900-001,17鄰,中學路,,,,,,71號,120.263476225772,22.7624275201001
高雄市梓官區梓信里14鄰中學路73號,64,6402900,6402900-001,14鄰,中學路,,,,,,73號,120.26439766514,22.7644291295363
高雄市梓官區梓信里6鄰中學路76巷1號,64,6402900,6402900-001,6鄰,中學路,,76巷,,,,1號,120.264402626736,22.7623758920595
高雄市梓官區梓信里6鄰中學路76巷5號,64,6402900,6402900-001,6鄰,中學路,,76巷,,,,5號,120.264553002991,22.7623883244008
高雄市梓官區梓信里6鄰中學路76巷7號,64,6402900,6402900-001,6鄰,中學路,,76巷,,,,7號,120.264616061594,22.7623957489218
高雄市梓官區梓信里6鄰中學路76巷15之3號,64,6402900,6402900-001,6鄰,中學路,,76巷,,,,15之3號,120.264946903783,22.7624022390985
高雄市梓官區梓信里6鄰中學路76巷15號,64,6402900,6402900-001,6鄰,中學路,,76巷,,,,15號,120.26482856881,22.7623706294277
高雄市梓官區梓信里6鄰中學路76巷15之1號,64,6402900,6402900-001,6鄰,中學路,,76巷,,,,15之1號,120.264863272948,22.7623815354877
高雄市梓官區梓信里6鄰中學路76巷15之2號,64,6402900,6402900-001,6鄰,中學路,,76巷,,,,15之2號,120.26490575377,22.7623949155735
高雄市梓官區梓信里6鄰中學路76巷15之5號,64,6402900,6402900-001,6鄰,中學路,,76巷,,,,15之5號,120.264991922566,22.7624144568827
高雄市梓官區梓信里7鄰中學路76巷17號,64,6402900,6402900-001,7鄰,中學路,,76巷,,,,17號,120.265129749587,22.7624246635981
高雄市梓官區梓信里7鄰中學路76巷21號,64,6402900,6402900-001,7鄰,中學路,,76巷,,,,21號,120.265310225565,22.7625442449795
高雄市梓官區梓信里7鄰中學路76巷27號,64,6402900,6402900-001,7鄰,中學路,,76巷,,,,27號,120.265452663402,22.7626026954138
高雄市梓官區梓信里7鄰中學路76巷29號,64,6402900,6402900-001,7鄰,中學路,,76巷,,,,29號,120.265640472986,22.7625892008485
高雄市梓官區梓信里7鄰中學路76巷32號,64,6402900,6402900-001,7鄰,中學路,,76巷,,,,32號,120.265903039998,22.762507689027
高雄市梓官區梓信里7鄰中學路76巷35號,64,6402900,6402900-001,7鄰,中學路,,76巷,,,,35號,120.265885470582,22.7626430655003
高雄市梓官區梓信里6鄰中學路78號,64,6402900,6402900-001,6鄰,中學路,,,,,,78號,120.264322881757,22.7623023777529
高雄市梓官區梓信里6鄰中學路80號,64,6402900,6402900-001,6鄰,中學路,,,,,,80號,120.264289480103,22.7623937026282
高雄市梓官區梓信里6鄰中學路82號,64,6402900,6402900-001,6鄰,中學路,,,,,,82號,120.264325973714,22.762470449259
高雄市梓官區梓信里6鄰中學路82之1號,64,6402900,6402900-001,6鄰,中學路,,,,,,82之1號,120.264314961309,22.76250850715
高雄市梓官區梓信里6鄰中學路86號,64,6402900,6402900-001,6鄰,中學路,,,,,,86號,120.264309918082,22.7625410839503
高雄市梓官區梓信里6鄰中學路88號,64,6402900,6402900-001,6鄰,中學路,,,,,,88號,120.264299013197,22.762577245934
高雄市梓官區梓信里4鄰中學路116號,64,6402900,6402900-001,4鄰,中學路,,,,,,116號,120.264338591041,22.7634051621621
高雄市梓官區梓信里4鄰中學路116之1號,64,6402900,6402900-001,4鄰,中學路,,,,,,116之1號,120.264373139627,22.7634451457621
高雄市梓官區梓信里4鄰中學路116之2號,64,6402900,6402900-001,4鄰,中學路,,,,,,116之2號,120.264382759451,22.7634852854166
高雄市梓官區梓信里4鄰中學路116之3號,64,6402900,6402900-001,4鄰,中學路,,,,,,116之3號,120.264429604711,22.7635383295507
高雄市梓官區梓信里4鄰中學路116之5號,64,6402900,6402900-001,4鄰,中學路,,,,,,116之5號,120.264442557955,22.7635742402331
高雄市梓官區梓信里19鄰中學路128之1號,64,6402900,6402900-001,19鄰,中學路,,,,,,128之1號,120.26443474112,22.7637065007562
高雄市梓官區梓信里19鄰中學路136號,64,6402900,6402900-001,19鄰,中學路,,,,,,136號,120.264569550355,22.7638258725844
高雄市梓官區梓信里19鄰中學路138號,64,6402900,6402900-001,19鄰,中學路,,,,,,138號,120.264583211549,22.7638750613222
高雄市梓官區梓信里19鄰中學路142號,64,6402900,6402900-001,19鄰,中學路,,,,,,142號,120.264666441914,22.7640252603363
高雄市梓官區梓信里19鄰中學路142之1號,64,6402900,6402900-001,19鄰,中學路,,,,,,142之1號,120.264675242433,22.7640911330678
高雄市梓官區梓信里19鄰中學路146號,64,6402900,6402900-001,19鄰,中學路,,,,,,146號,120.264688283845,22.764165152762
高雄市梓官區梓信里19鄰中學路148號,64,6402900,6402900-001,19鄰,中學路,,,,,,148號,120.264691102209,22.7642025519291
