FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市三民區力行里2鄰中都街1號,64,6400500,6400500-084,2鄰,中都街,,,,,,1號,120.28713709033,22.6385488993255
高雄市三民區力行里2鄰中都街1號二樓,64,6400500,6400500-084,2鄰,中都街,,,,,,1號二樓,120.28713709033,22.6385488993255
高雄市三民區力行里2鄰中都街1號三樓,64,6400500,6400500-084,2鄰,中都街,,,,,,1號三樓,120.28713709033,22.6385488993255
高雄市三民區力行里2鄰中都街1號四樓,64,6400500,6400500-084,2鄰,中都街,,,,,,1號四樓,120.28713709033,22.6385488993255
高雄市三民區力行里2鄰中都街1號五樓,64,6400500,6400500-084,2鄰,中都街,,,,,,1號五樓,120.28713709033,22.6385488993255
高雄市三民區力行里2鄰中都街1之1號,64,6400500,6400500-084,2鄰,中都街,,,,,,1之1號,120.287117353847,22.6386029954883
高雄市三民區力行里2鄰中都街1巷2號,64,6400500,6400500-084,2鄰,中都街,,1巷,,,,2號,120.287028125828,22.6387380585346
高雄市三民區力行里2鄰中都街1巷2之1號,64,6400500,6400500-084,2鄰,中都街,,1巷,,,,2之1號,120.286992167351,22.6387288679948
高雄市三民區力行里2鄰中都街1巷5號,64,6400500,6400500-084,2鄰,中都街,,1巷,,,,5號,120.287036924063,22.6385394233369
高雄市三民區力行里2鄰中都街1巷6號,64,6400500,6400500-084,2鄰,中都街,,1巷,,,,6號,120.286960156601,22.6387106643513
高雄市三民區力行里2鄰中都街1巷7號,64,6400500,6400500-084,2鄰,中都街,,1巷,,,,7號,120.287003893903,22.6385302458207
高雄市三民區力行里2鄰中都街1巷8號,64,6400500,6400500-084,2鄰,中都街,,1巷,,,,8號,120.286927126406,22.6387014868186
高雄市三民區力行里2鄰中都街1巷9號,64,6400500,6400500-084,2鄰,中都街,,1巷,,,,9號,120.286969937506,22.6385120335283
高雄市三民區力行里2鄰中都街1巷10號,64,6400500,6400500-084,2鄰,中都街,,1巷,,,,10號,120.286894086487,22.6386923092359
高雄市三民區力行里2鄰中都街1巷11號,64,6400500,6400500-084,2鄰,中都街,,1巷,,,,11號,120.286935934512,22.6385028516724
高雄市三民區力行里2鄰中都街1巷12號,64,6400500,6400500-084,2鄰,中都街,,1巷,,,,12號,120.286861056302,22.6386831316898
高雄市三民區力行里2鄰中都街1巷13號,64,6400500,6400500-084,2鄰,中都街,,1巷,,,,13號,120.286902894639,22.6384936740925
高雄市三民區力行里2鄰中都街1巷14號,64,6400500,6400500-084,2鄰,中都街,,1巷,,,,14號,120.28682802612,22.638673954137
高雄市三民區力行里2鄰中都街1巷15號,64,6400500,6400500-084,2鄰,中都街,,1巷,,,,15號,120.286868891654,22.6384844922226
高雄市三民區力行里2鄰中都街1巷16號,64,6400500,6400500-084,2鄰,中都街,,1巷,,,,16號,120.286794995944,22.6386647765775
高雄市三民區力行里2鄰中都街1巷17號,64,6400500,6400500-084,2鄰,中都街,,1巷,,,,17號,120.286835908132,22.638466284229
高雄市三民區力行里2鄰中都街1巷18號,64,6400500,6400500-084,2鄰,中都街,,1巷,,,,18號,120.286762002661,22.6386465685249
高雄市三民區力行里2鄰中都街1巷19號,64,6400500,6400500-084,2鄰,中都街,,1巷,,,,19號,120.28680189543,22.6384571023019
高雄市三民區力行里2鄰中都街1巷20號,64,6400500,6400500-084,2鄰,中都街,,1巷,,,,20號,120.286729945342,22.6386373952795
高雄市三民區力行里2鄰中都街1巷21號,64,6400500,6400500-084,2鄰,中都街,,1巷,,,,21號,120.286767892462,22.638447920411
高雄市三民區力行里2鄰中都街1巷22號,64,6400500,6400500-084,2鄰,中都街,,1巷,,,,22號,120.286696915181,22.6386282177002
高雄市三民區力行里2鄰中都街1巷23號,64,6400500,6400500-084,2鄰,中都街,,1巷,,,,23號,120.286733889498,22.6384387385129
高雄市三民區力行里2鄰中都街1巷24號,64,6400500,6400500-084,2鄰,中都街,,1巷,,,,24號,120.286658047946,22.638619014147
高雄市三民區力行里2鄰中都街1巷25號,64,6400500,6400500-084,2鄰,中都街,,1巷,,,,25號,120.28668631333,22.6384204655778
高雄市三民區力行里14鄰中都街2號,64,6400500,6400500-084,14鄰,中都街,,,,,,2號,120.287364476293,22.6386040939559
高雄市三民區力行里2鄰中都街3號,64,6400500,6400500-084,2鄰,中都街,,,,,,3號,120.287076907984,22.638711183479
高雄市三民區力行里14鄰中都街4號,64,6400500,6400500-084,14鄰,中都街,,,,,,4號,120.287348724434,22.6386401465548
高雄市三民區力行里2鄰中都街5號,64,6400500,6400500-084,2鄰,中都街,,,,,,5號,120.287050268322,22.6387833102406
高雄市三民區力行里14鄰中都街6號,64,6400500,6400500-084,14鄰,中都街,,,,,,6號,120.287333945414,22.6386762034756
高雄市三民區力行里4鄰中都街7號,64,6400500,6400500-084,4鄰,中都街,,,,,,7號,120.287017698294,22.6388734809591
高雄市三民區力行里3鄰中都街8號,64,6400500,6400500-084,3鄰,中都街,,,,,,8號,120.287293760941,22.6387676950111
高雄市三民區力行里3鄰中都街8之1號,64,6400500,6400500-084,3鄰,中都街,,,,,,8之1號,120.287285623748,22.638802417819
高雄市三民區力行里3鄰中都街8之2號,64,6400500,6400500-084,3鄰,中都街,,,,,,8之2號,120.287272790389,22.6388384833807
高雄市三民區力行里3鄰中都街8之3號,64,6400500,6400500-084,3鄰,中都街,,,,,,8之3號,120.287259947248,22.6388745579282
高雄市三民區力行里11鄰中都街9號,64,6400500,6400500-084,11鄰,中都街,,,,,,9號,120.286909649873,22.6390716747948
高雄市三民區力行里11鄰中都街9之1號,64,6400500,6400500-084,11鄰,中都街,,,,,,9之1號,120.286896816343,22.6391077493525
高雄市三民區力行里11鄰中都街9之2號,64,6400500,6400500-084,11鄰,中都街,,,,,,9之2號,120.286882037153,22.6391438062251
高雄市三民區力行里12鄰中都街10號,64,6400500,6400500-084,12鄰,中都街,,,,,,10號,120.287104792703,22.6391538273938
高雄市三民區力行里11鄰中都街11號,64,6400500,6400500-084,11鄰,中都街,,,,,,11號,120.286866238492,22.6391888892121
高雄市三民區力行里11鄰中都街13號,64,6400500,6400500-084,11鄰,中都街,,,,,,13號,120.286852432135,22.6392249504079
高雄市三民區力行里5鄰中都街14巷1號,64,6400500,6400500-084,5鄰,中都街,,14巷,,,,1號,120.28730088,22.6392698218047
高雄市三民區力行里5鄰中都街14巷2號,64,6400500,6400500-084,5鄰,中都街,,14巷,,,,2號,120.287243933351,22.6392574676087
高雄市三民區力行里5鄰中都街14巷3號,64,6400500,6400500-084,5鄰,中都街,,14巷,,,,3號,120.287191003653,22.639226455865
高雄市三民區力行里5鄰中都街14巷4號,64,6400500,6400500-084,5鄰,中都街,,14巷,,,,4號,120.287158696881,22.6392222303899
高雄市三民區力行里5鄰中都街14巷5號,64,6400500,6400500-084,5鄰,中都街,,14巷,,,,5號,120.287122206125,22.6392237839845
高雄市三民區力行里11鄰中都街15號,64,6400500,6400500-084,11鄰,中都街,,,,,,15號,120.286838625771,22.6392610116023
高雄市三民區力行里11鄰中都街17號,64,6400500,6400500-084,11鄰,中都街,,,,,,17號,120.28682579225,22.6392970771221
高雄市三民區力行里11鄰中都街19號,64,6400500,6400500-084,11鄰,中都街,,,,,,19號,120.286813005338,22.6393241121981
高雄市三民區力行里11鄰中都街21號,64,6400500,6400500-084,11鄰,中都街,,,,,,21號,120.286799198953,22.6393601733881
高雄市三民區力行里12鄰中都街22巷1號,64,6400500,6400500-084,12鄰,中都街,,22巷,,,,1號,120.287032161104,22.6394605285005
高雄市三民區力行里12鄰中都街22巷3號,64,6400500,6400500-084,12鄰,中都街,,22巷,,,,3號,120.287068110044,22.6394697189922
高雄市三民區力行里12鄰中都街22巷5之2號,64,6400500,6400500-084,12鄰,中都街,,22巷,,,,5之2號,120.287101973493,22.6395059921536
高雄市三民區力行里12鄰中都街22巷7號,64,6400500,6400500-084,12鄰,中都街,,22巷,,,,7號,120.287172431887,22.6394828257087
高雄市三民區力行里12鄰中都街22巷11弄14號,64,6400500,6400500-084,12鄰,中都街,,22巷,11弄,,,14號,120.287163572866,22.6395782402954
高雄市三民區力行里11鄰中都街23號,64,6400500,6400500-084,11鄰,中都街,,,,,,23號,120.286786365365,22.6393962479342
高雄市三民區力行里12鄰中都街24號,64,6400500,6400500-084,12鄰,中都街,,,,,,24號,120.287002161808,22.6394333302491
高雄市三民區力行里11鄰中都街25號,64,6400500,6400500-084,11鄰,中都街,,,,,,25號,120.286772549237,22.639432309078
高雄市三民區力行里12鄰中都街26號,64,6400500,6400500-084,12鄰,中都街,,,,,,26號,120.287010591257,22.6394965822807
高雄市三民區力行里11鄰中都街27號,64,6400500,6400500-084,11鄰,中都街,,,,,,27號,120.286758742829,22.6394683702634
