FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市三民區十全里1鄰九如二路582號,64,6400500,6400500-063,1鄰,九如二路,,,,,,582號,120.295187339658,22.6419619800534
高雄市三民區十全里1鄰九如二路584號,64,6400500,6400500-063,1鄰,九如二路,,,,,,584號,120.295110390587,22.6419797121155
高雄市三民區十全里1鄰九如二路586號,64,6400500,6400500-063,1鄰,九如二路,,,,,,586號,120.295067538144,22.6419885543688
高雄市三民區十全里1鄰九如二路588號,64,6400500,6400500-063,1鄰,九如二路,,,,,,588號,120.295022776308,22.6419883575567
高雄市三民區十全里1鄰九如二路590號,64,6400500,6400500-063,1鄰,九如二路,,,,,,590號,120.294979923857,22.6419971997864
高雄市三民區十全里1鄰九如二路592號,64,6400500,6400500-063,1鄰,九如二路,,,,,,592號,120.294934198876,22.6419969987143
高雄市三民區十全里1鄰九如二路594號,64,6400500,6400500-063,1鄰,九如二路,,,,,,594號,120.294890363817,22.6420058365987
高雄市三民區十全里1鄰九如二路596號,64,6400500,6400500-063,1鄰,九如二路,,,,,,596號,120.294671969689,22.6420951825634
高雄市三民區十全里1鄰九如二路596號二樓,64,6400500,6400500-063,1鄰,九如二路,,,,,,596號二樓,120.294671969689,22.6420951825634
高雄市三民區十全里1鄰九如二路596號三樓,64,6400500,6400500-063,1鄰,九如二路,,,,,,596號三樓,120.294671969689,22.6420951825634
高雄市三民區十全里1鄰九如二路596號四樓,64,6400500,6400500-063,1鄰,九如二路,,,,,,596號四樓,120.294671969689,22.6420951825634
高雄市三民區十全里1鄰九如二路596號五樓,64,6400500,6400500-063,1鄰,九如二路,,,,,,596號五樓,120.294671969689,22.6420951825634
高雄市三民區十全里1鄰九如二路596號六樓,64,6400500,6400500-063,1鄰,九如二路,,,,,,596號六樓,120.294671969689,22.6420951825634
高雄市三民區十全里1鄰九如二路612巷2號,64,6400500,6400500-063,1鄰,九如二路,,612巷,,,,2號,120.294377129542,22.642078921428
高雄市三民區十全里1鄰九如二路612巷2號十樓,64,6400500,6400500-063,1鄰,九如二路,,612巷,,,,2號十樓,120.294377129542,22.642078921428
高雄市三民區十全里1鄰九如二路612巷2號二樓,64,6400500,6400500-063,1鄰,九如二路,,612巷,,,,2號二樓,120.294377129542,22.642078921428
高雄市三民區十全里1鄰九如二路612巷2號三樓,64,6400500,6400500-063,1鄰,九如二路,,612巷,,,,2號三樓,120.294377129542,22.642078921428
