FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市仁武區八卦里74鄰京吉二路2號,64,6401700,6401700-009,74鄰,京吉二路,,,,,,2號,120.34407863202,22.684467233346
高雄市仁武區八卦里74鄰京吉二路2號十樓,64,6401700,6401700-009,74鄰,京吉二路,,,,,,2號十樓,120.34407863202,22.684467233346
高雄市仁武區八卦里74鄰京吉二路2號二樓,64,6401700,6401700-009,74鄰,京吉二路,,,,,,2號二樓,120.34407863202,22.684467233346
高雄市仁武區八卦里74鄰京吉二路2號三樓,64,6401700,6401700-009,74鄰,京吉二路,,,,,,2號三樓,120.34407863202,22.684467233346
高雄市仁武區八卦里74鄰京吉二路2號四樓,64,6401700,6401700-009,74鄰,京吉二路,,,,,,2號四樓,120.34407863202,22.684467233346
高雄市仁武區八卦里74鄰京吉二路2號五樓,64,6401700,6401700-009,74鄰,京吉二路,,,,,,2號五樓,120.34407863202,22.684467233346
高雄市仁武區八卦里74鄰京吉二路2號六樓,64,6401700,6401700-009,74鄰,京吉二路,,,,,,2號六樓,120.34407863202,22.684467233346
高雄市仁武區八卦里74鄰京吉二路2號七樓,64,6401700,6401700-009,74鄰,京吉二路,,,,,,2號七樓,120.34407863202,22.684467233346
高雄市仁武區八卦里74鄰京吉二路2號八樓,64,6401700,6401700-009,74鄰,京吉二路,,,,,,2號八樓,120.34407863202,22.684467233346
高雄市仁武區八卦里74鄰京吉二路2號九樓,64,6401700,6401700-009,74鄰,京吉二路,,,,,,2號九樓,120.34407863202,22.684467233346
高雄市仁武區八卦里74鄰京吉二路2號十一樓,64,6401700,6401700-009,74鄰,京吉二路,,,,,,2號十一樓,120.34407863202,22.684467233346
高雄市仁武區八卦里74鄰京吉二路2號十二樓,64,6401700,6401700-009,74鄰,京吉二路,,,,,,2號十二樓,120.34407863202,22.684467233346
高雄市仁武區八卦里74鄰京吉二路2號十三樓,64,6401700,6401700-009,74鄰,京吉二路,,,,,,2號十三樓,120.34407863202,22.684467233346
高雄市仁武區八卦里74鄰京吉二路2號十四樓,64,6401700,6401700-009,74鄰,京吉二路,,,,,,2號十四樓,120.34407863202,22.684467233346
