FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市鹽埕區藍橋里10鄰南興後街1號,64,6400100,6400100-001,10鄰,南興後街,,,,,,1號,120.284011984631,22.6329087453706
高雄市鹽埕區藍橋里11鄰南興後街2號,64,6400100,6400100-001,11鄰,南興後街,,,,,,2號,120.284066678868,22.6331637894036
高雄市鹽埕區藍橋里11鄰南興後街2之1號,64,6400100,6400100-001,11鄰,南興後街,,,,,,2之1號,120.284070203049,22.6331257409341
高雄市鹽埕區藍橋里10鄰南興後街3號,64,6400100,6400100-001,10鄰,南興後街,,,,,,3號,120.283961547267,22.6329380594609
高雄市鹽埕區藍橋里12鄰南興後街4巷1號,64,6400100,6400100-001,12鄰,南興後街,,4巷,,,,1號,120.283963324843,22.6332878245743
高雄市鹽埕區藍橋里11鄰南興後街4巷2號,64,6400100,6400100-001,11鄰,南興後街,,4巷,,,,2號,120.284102195601,22.6332560606041
高雄市鹽埕區藍橋里12鄰南興後街4巷3號,64,6400100,6400100-001,12鄰,南興後街,,4巷,,,,3號,120.283976757011,22.6333240071536
高雄市鹽埕區藍橋里11鄰南興後街4號,64,6400100,6400100-001,11鄰,南興後街,,,,,,4號,120.284015613057,22.6331435133891
高雄市鹽埕區藍橋里11鄰南興後街4巷6號,64,6400100,6400100-001,11鄰,南興後街,,4巷,,,,6號,120.284148027824,22.6333157410616
高雄市鹽埕區藍橋里11鄰南興後街4巷8號,64,6400100,6400100-001,11鄰,南興後街,,4巷,,,,8號,120.284171234906,22.6333429366031
高雄市鹽埕區藍橋里12鄰南興後街4巷9號,64,6400100,6400100-001,12鄰,南興後街,,4巷,,,,9號,120.28403451734,22.6334416635007
高雄市鹽埕區藍橋里11鄰南興後街4巷10號,64,6400100,6400100-001,11鄰,南興後街,,4巷,,,,10號,120.28419434845,22.6333881930292
高雄市鹽埕區藍橋里12鄰南興後街4巷11號,64,6400100,6400100-001,12鄰,南興後街,,4巷,,,,11號,120.284054768889,22.6334778855474
高雄市鹽埕區藍橋里11鄰南興後街4巷12號,64,6400100,6400100-001,11鄰,南興後街,,4巷,,,,12號,120.284212654463,22.6334243973429
高雄市鹽埕區藍橋里12鄰南興後街4巷15號,64,6400100,6400100-001,12鄰,南興後街,,4巷,,,,15號,120.284091408196,22.6335412636721
高雄市鹽埕區藍橋里12鄰南興後街4巷17號,64,6400100,6400100-001,12鄰,南興後街,,4巷,,,,17號,120.28410284802,22.6335864679996
高雄市鹽埕區藍橋里10鄰南興後街5號,64,6400100,6400100-001,10鄰,南興後街,,,,,,5號,120.283914460389,22.6329534632279
高雄市鹽埕區藍橋里10鄰南興後街5號之1,64,6400100,6400100-001,10鄰,南興後街,,,,,,5號之1,120.283908904298,22.6328992545036
高雄市鹽埕區藍橋里10鄰南興後街5之2號,64,6400100,6400100-001,10鄰,南興後街,,,,,,5之2號,120.2838963982,22.6328721067058
高雄市鹽埕區藍橋里10鄰南興後街5號之3,64,6400100,6400100-001,10鄰,南興後街,,,,,,5號之3,120.283879111937,22.6328268762573
高雄市鹽埕區藍橋里12鄰南興後街6號,64,6400100,6400100-001,12鄰,南興後街,,,,,,6號,120.283941501995,22.6331793593114
高雄市鹽埕區藍橋里13鄰南興後街7號,64,6400100,6400100-001,13鄰,南興後街,,,,,,7號,120.283821611193,22.6329896047194
高雄市鹽埕區藍橋里12鄰南興後街8號,64,6400100,6400100-001,12鄰,南興後街,,,,,,8號,120.283902496111,22.6331972464591
高雄市鹽埕區藍橋里13鄰南興後街9號,64,6400100,6400100-001,13鄰,南興後街,,,,,,9號,120.283776031425,22.6330070290104
高雄市鹽埕區藍橋里12鄰南興後街10號,64,6400100,6400100-001,12鄰,南興後街,,,,,,10號,120.283862517409,22.6332151292531
高雄市鹽埕區藍橋里13鄰南興後街11號,64,6400100,6400100-001,13鄰,南興後街,,,,,,11號,120.283720478133,22.6330248422167
