FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市杉林區新庄里1鄰司馬路2巷1號,64,6403400,6403400-004,1鄰,司馬路,,2巷,,,,1號,120.556310715155,22.982294802505
高雄市杉林區新庄里1鄰司馬路2巷1之1號,64,6403400,6403400-004,1鄰,司馬路,,2巷,,,,1之1號,120.55700630838,22.9819219526268
高雄市杉林區新庄里1鄰司馬路2巷1之11號,64,6403400,6403400-004,1鄰,司馬路,,2巷,,,,1之11號,120.556624848937,22.9821470204085
高雄市杉林區新庄里1鄰司馬路2巷1之13號,64,6403400,6403400-004,1鄰,司馬路,,2巷,,,,1之13號,120.556839563945,22.982469127215
高雄市杉林區新庄里1鄰司馬路2巷1之6號,64,6403400,6403400-004,1鄰,司馬路,,2巷,,,,1之6號,120.556834487121,22.9820729690913
高雄市杉林區新庄里1鄰司馬路2巷1之9號,64,6403400,6403400-004,1鄰,司馬路,,2巷,,,,1之9號,120.556705691018,22.9820974881153
高雄市杉林區新庄里1鄰司馬路2巷2號,64,6403400,6403400-004,1鄰,司馬路,,2巷,,,,2號,120.557427831445,22.9817753901543
高雄市杉林區新庄里2鄰司馬路2號,64,6403400,6403400-004,2鄰,司馬路,,,,,,2號,120.555843736334,22.9826806078137
高雄市杉林區新庄里1鄰司馬路2巷3號,64,6403400,6403400-004,1鄰,司馬路,,2巷,,,,3號,120.557631287913,22.9814907366551
高雄市杉林區新庄里1鄰司馬路2巷3之1號,64,6403400,6403400-004,1鄰,司馬路,,2巷,,,,3之1號,120.557661390521,22.9814207163597
高雄市杉林區新庄里3鄰司馬路2巷4號,64,6403400,6403400-004,3鄰,司馬路,,2巷,,,,4號,120.557462117564,22.9818643466916
高雄市杉林區新庄里1鄰司馬路2巷5號,64,6403400,6403400-004,1鄰,司馬路,,2巷,,,,5號,120.557755389771,22.9817155829482
高雄市杉林區新庄里1鄰司馬路2巷7號,64,6403400,6403400-004,1鄰,司馬路,,2巷,,,,7號,120.557816085243,22.9814848225716
高雄市杉林區新庄里1鄰司馬路2巷7之1號,64,6403400,6403400-004,1鄰,司馬路,,2巷,,,,7之1號,120.557924607546,22.981506952193
高雄市杉林區新庄里3鄰司馬路2巷8號,64,6403400,6403400-004,3鄰,司馬路,,2巷,,,,8號,120.558134179582,22.9814107379253
高雄市杉林區新庄里2鄰司馬路2巷9號,64,6403400,6403400-004,2鄰,司馬路,,2巷,,,,9號,120.558270804477,22.9813509209858
高雄市杉林區新庄里2鄰司馬路2巷10號,64,6403400,6403400-004,2鄰,司馬路,,2巷,,,,10號,120.558438682531,22.9812090128088
高雄市杉林區新庄里2鄰司馬路2巷11號,64,6403400,6403400-004,2鄰,司馬路,,2巷,,,,11號,120.558003449012,22.9816434072591
高雄市杉林區新庄里2鄰司馬路2巷12號,64,6403400,6403400-004,2鄰,司馬路,,2巷,,,,12號,120.557940661207,22.9817708882775
高雄市杉林區新庄里3鄰司馬路2巷14號,64,6403400,6403400-004,3鄰,司馬路,,2巷,,,,14號,120.55758125207,22.9825303857325
高雄市杉林區新庄里3鄰司馬路2巷14之1號,64,6403400,6403400-004,3鄰,司馬路,,2巷,,,,14之1號,120.557687391116,22.9823890284885
高雄市杉林區新庄里3鄰司馬路2巷14之2號,64,6403400,6403400-004,3鄰,司馬路,,2巷,,,,14之2號,120.55702556351,22.9823880560156
高雄市杉林區新庄里3鄰司馬路2巷14之3號,64,6403400,6403400-004,3鄰,司馬路,,2巷,,,,14之3號,120.557783907155,22.982162576359
高雄市杉林區新庄里3鄰司馬路2巷15號,64,6403400,6403400-004,3鄰,司馬路,,2巷,,,,15號,120.557760516542,22.9827564425592
高雄市杉林區新庄里3鄰司馬路2巷15之1號,64,6403400,6403400-004,3鄰,司馬路,,2巷,,,,15之1號,120.557647703081,22.9826440312792
高雄市杉林區新庄里3鄰司馬路2巷18號,64,6403400,6403400-004,3鄰,司馬路,,2巷,,,,18號,120.558180148417,22.9820882581454
高雄市杉林區新庄里3鄰司馬路2巷18之3號,64,6403400,6403400-004,3鄰,司馬路,,2巷,,,,18之3號,120.558038202211,22.9821046050532
高雄市杉林區新庄里3鄰司馬路2巷19號,64,6403400,6403400-004,3鄰,司馬路,,2巷,,,,19號,120.55832145028,22.9816850487372
高雄市杉林區新庄里3鄰司馬路2巷20號,64,6403400,6403400-004,3鄰,司馬路,,2巷,,,,20號,120.558623567378,22.9818035406495
高雄市杉林區新庄里3鄰司馬路2巷21號,64,6403400,6403400-004,3鄰,司馬路,,2巷,,,,21號,120.5583705504,22.9815315665328
高雄市杉林區新庄里3鄰司馬路2巷22號,64,6403400,6403400-004,3鄰,司馬路,,2巷,,,,22號,120.558431539206,22.9814592932287
高雄市杉林區新庄里3鄰司馬路2巷23號,64,6403400,6403400-004,3鄰,司馬路,,2巷,,,,23號,120.5585613903,22.9813859654933
高雄市杉林區新庄里3鄰司馬路2巷23之5號,64,6403400,6403400-004,3鄰,司馬路,,2巷,,,,23之5號,120.558709929475,22.9814115112179
高雄市杉林區新庄里3鄰司馬路2巷24號,64,6403400,6403400-004,3鄰,司馬路,,2巷,,,,24號,120.558729248468,22.9817035775327
高雄市杉林區新庄里2鄰司馬路2巷24之9號,64,6403400,6403400-004,2鄰,司馬路,,2巷,,,,24之9號,120.574161925438,22.9679173402671
高雄市杉林區新庄里3鄰司馬路2巷25號,64,6403400,6403400-004,3鄰,司馬路,,2巷,,,,25號,120.55891250359,22.9814787839412
高雄市杉林區新庄里3鄰司馬路2巷25之2號,64,6403400,6403400-004,3鄰,司馬路,,2巷,,,,25之2號,120.558855842631,22.9815159044377
高雄市杉林區新庄里2鄰司馬路2巷26號,64,6403400,6403400-004,2鄰,司馬路,,2巷,,,,26號,120.558813128995,22.981159538557
高雄市杉林區新庄里2鄰司馬路2巷27號,64,6403400,6403400-004,2鄰,司馬路,,2巷,,,,27號,120.559077409212,22.9813480195662
高雄市杉林區新庄里2鄰司馬路2巷28號,64,6403400,6403400-004,2鄰,司馬路,,2巷,,,,28號,120.558622301691,22.9821931520309
高雄市杉林區新庄里2鄰司馬路2巷29號,64,6403400,6403400-004,2鄰,司馬路,,2巷,,,,29號,120.558655958026,22.9808878677744
高雄市杉林區新庄里2鄰司馬路2巷29之1號,64,6403400,6403400-004,2鄰,司馬路,,2巷,,,,29之1號,120.559287115496,22.9803170044919
高雄市杉林區新庄里2鄰司馬路2巷29之11號,64,6403400,6403400-004,2鄰,司馬路,,2巷,,,,29之11號,120.562143523672,22.9783302204604
高雄市杉林區新庄里2鄰司馬路2巷30號,64,6403400,6403400-004,2鄰,司馬路,,2巷,,,,30號,120.557671247842,22.9812359964731
高雄市杉林區新庄里2鄰司馬路2巷30之1號,64,6403400,6403400-004,2鄰,司馬路,,2巷,,,,30之1號,120.557717271944,22.9811886963586
高雄市杉林區新庄里2鄰司馬路2巷30之2號,64,6403400,6403400-004,2鄰,司馬路,,2巷,,,,30之2號,120.557760579742,22.9811488749934
高雄市杉林區新庄里2鄰司馬路2巷30之3號,64,6403400,6403400-004,2鄰,司馬路,,2巷,,,,30之3號,120.557803875347,22.9811127922379
高雄市杉林區新庄里2鄰司馬路2巷30之4號,64,6403400,6403400-004,2鄰,司馬路,,2巷,,,,30之4號,120.557860688099,22.9810680236476
高雄市杉林區新庄里2鄰司馬路2巷30之5號,64,6403400,6403400-004,2鄰,司馬路,,2巷,,,,30之5號,120.55785462844,22.9812727026768
高雄市杉林區新庄里2鄰司馬路2巷30之6號,64,6403400,6403400-004,2鄰,司馬路,,2巷,,,,30之6號,120.557888464984,22.9812390949789
高雄市杉林區新庄里2鄰司馬路2巷30之7號,64,6403400,6403400-004,2鄰,司馬路,,2巷,,,,30之7號,120.557919551433,22.9812143656837
高雄市杉林區新庄里2鄰司馬路2巷30之8號,64,6403400,6403400-004,2鄰,司馬路,,2巷,,,,30之8號,120.557946656767,22.9811871689634
高雄市杉林區新庄里2鄰司馬路2巷31號,64,6403400,6403400-004,2鄰,司馬路,,2巷,,,,31號,120.557616633944,22.9812374514868
高雄市杉林區新庄里2鄰司馬路2巷32號,64,6403400,6403400-004,2鄰,司馬路,,2巷,,,,32號,120.557600584914,22.9811939696491
高雄市杉林區新庄里2鄰司馬路2巷32之2號,64,6403400,6403400-004,2鄰,司馬路,,2巷,,,,32之2號,120.557713581869,22.9810788472375
高雄市杉林區新庄里2鄰司馬路2巷32之3號,64,6403400,6403400-004,2鄰,司馬路,,2巷,,,,32之3號,120.557756918084,22.9810302843597
高雄市杉林區新庄里2鄰司馬路2巷33號,64,6403400,6403400-004,2鄰,司馬路,,2巷,,,,33號,120.558303807952,22.9810425015852
高雄市杉林區新庄里2鄰司馬路2巷33之1號,64,6403400,6403400-004,2鄰,司馬路,,2巷,,,,33之1號,120.558244286195,22.981020572022
高雄市杉林區新庄里1鄰司馬路2巷34號,64,6403400,6403400-004,1鄰,司馬路,,2巷,,,,34號,120.558372162949,22.9808734049832
高雄市杉林區新庄里1鄰司馬路2巷34之1號,64,6403400,6403400-004,1鄰,司馬路,,2巷,,,,34之1號,120.557836865493,22.9809256624931
高雄市杉林區新庄里1鄰司馬路2巷35號,64,6403400,6403400-004,1鄰,司馬路,,2巷,,,,35號,120.558098593233,22.9811336801504
高雄市杉林區新庄里1鄰司馬路2巷37號,64,6403400,6403400-004,1鄰,司馬路,,2巷,,,,37號,120.558194574586,22.9811011667589
高雄市杉林區新庄里1鄰司馬路2巷38號,64,6403400,6403400-004,1鄰,司馬路,,2巷,,,,38號,120.558089267643,22.9807022637901
高雄市杉林區新庄里1鄰司馬路2巷40號,64,6403400,6403400-004,1鄰,司馬路,,2巷,,,,40號,120.557749720528,22.9807514725078
高雄市杉林區新庄里1鄰司馬路2巷40之1號,64,6403400,6403400-004,1鄰,司馬路,,2巷,,,,40之1號,120.557699608361,22.9808112414766
高雄市杉林區新庄里1鄰司馬路2巷41號,64,6403400,6403400-004,1鄰,司馬路,,2巷,,,,41號,120.557541612139,22.9810334221065
高雄市杉林區新庄里1鄰司馬路2巷42號,64,6403400,6403400-004,1鄰,司馬路,,2巷,,,,42號,120.557354396705,22.9810812129077
高雄市杉林區新庄里1鄰司馬路2巷42之3號,64,6403400,6403400-004,1鄰,司馬路,,2巷,,,,42之3號,120.557385123732,22.9813255214469
高雄市杉林區新庄里4鄰司馬路2巷49號,64,6403400,6403400-004,4鄰,司馬路,,2巷,,,,49號,120.556318750395,22.9818831214137
高雄市杉林區新庄里4鄰司馬路2巷49之2號,64,6403400,6403400-004,4鄰,司馬路,,2巷,,,,49之2號,120.556342061573,22.9815066119735
高雄市杉林區新庄里5鄰司馬路2巷50號,64,6403400,6403400-004,5鄰,司馬路,,2巷,,,,50號,120.55555813222,22.9823922287554
高雄市杉林區新庄里5鄰司馬路2巷51之1號,64,6403400,6403400-004,5鄰,司馬路,,2巷,,,,51之1號,120.566487849757,22.9772666824496
高雄市杉林區新庄里5鄰司馬路2巷51之2號,64,6403400,6403400-004,5鄰,司馬路,,2巷,,,,51之2號,120.567392993886,22.9770191887595
高雄市杉林區新庄里5鄰司馬路2巷51之5號,64,6403400,6403400-004,5鄰,司馬路,,2巷,,,,51之5號,120.567443223936,22.9755447308437
高雄市杉林區新庄里3鄰司馬路2巷53號,64,6403400,6403400-004,3鄰,司馬路,,2巷,,,,53號,120.555485684013,22.9824397792107
高雄市杉林區新庄里5鄰司馬路2巷56之12號,64,6403400,6403400-004,5鄰,司馬路,,2巷,,,,56之12號,120.575679592939,22.9722751953613
高雄市杉林區新庄里5鄰司馬路2巷56之15號,64,6403400,6403400-004,5鄰,司馬路,,2巷,,,,56之15號,120.577290444236,22.9761044969554
高雄市杉林區新庄里5鄰司馬路2巷56之16號,64,6403400,6403400-004,5鄰,司馬路,,2巷,,,,56之16號,120.576276298063,22.9729532912076
高雄市杉林區新庄里5鄰司馬路2巷56之18號,64,6403400,6403400-004,5鄰,司馬路,,2巷,,,,56之18號,120.569684508244,22.9703842498986
高雄市杉林區新庄里5鄰司馬路2巷56之20號,64,6403400,6403400-004,5鄰,司馬路,,2巷,,,,56之20號,120.573248877304,22.9688418944703
高雄市杉林區新庄里5鄰司馬路2巷56之9號,64,6403400,6403400-004,5鄰,司馬路,,2巷,,,,56之9號,120.57489078044,22.9718043943548
高雄市杉林區新庄里5鄰司馬路5之3號,64,6403400,6403400-004,5鄰,司馬路,,,,,,5之3號,120.55434284167,22.9835488644167
高雄市杉林區新庄里5鄰司馬路5號,64,6403400,6403400-004,5鄰,司馬路,,,,,,5號,120.555420648551,22.9828091907819
高雄市杉林區新庄里5鄰司馬路5之1號,64,6403400,6403400-004,5鄰,司馬路,,,,,,5之1號,120.555056856467,22.9832638522029
高雄市杉林區新庄里6鄰司馬路6號,64,6403400,6403400-004,6鄰,司馬路,,,,,,6號,120.556540156423,22.9834150363144
高雄市杉林區新庄里4鄰司馬路6號,64,6403400,6403400-004,4鄰,司馬路,,,,,,6號,120.556540156423,22.9834150363144
高雄市杉林區新庄里4鄰司馬路8號,64,6403400,6403400-004,4鄰,司馬路,,,,,,8號,120.55658640569,22.9834544938385
高雄市杉林區新庄里4鄰司馬路10號,64,6403400,6403400-004,4鄰,司馬路,,,,,,10號,120.556649730354,22.9835905358735
高雄市杉林區新庄里5鄰司馬路14號,64,6403400,6403400-004,5鄰,司馬路,,,,,,14號,120.556813435864,22.9837154981752
高雄市杉林區新庄里5鄰司馬路15之9號,64,6403400,6403400-004,5鄰,司馬路,,,,,,15之9號,120.553862262193,22.9848922534499
高雄市杉林區新庄里5鄰司馬路15之3號,64,6403400,6403400-004,5鄰,司馬路,,,,,,15之3號,120.555844147496,22.9840137282056
高雄市杉林區新庄里5鄰司馬路15號,64,6403400,6403400-004,5鄰,司馬路,,,,,,15號,120.556530027529,22.9839513332966
高雄市杉林區新庄里5鄰司馬路15之36號,64,6403400,6403400-004,5鄰,司馬路,,,,,,15之36號,120.550417469355,22.9865438700455
高雄市杉林區新庄里5鄰司馬路15之5號,64,6403400,6403400-004,5鄰,司馬路,,,,,,15之5號,120.554252179577,22.9843375195087
高雄市杉林區新庄里5鄰司馬路15之6號,64,6403400,6403400-004,5鄰,司馬路,,,,,,15之6號,120.554354976901,22.984618713319
高雄市杉林區新庄里5鄰司馬路15之7號,64,6403400,6403400-004,5鄰,司馬路,,,,,,15之7號,120.555224300018,22.9844748965252
