FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市前鎮區明孝里1鄰和昌街125號,64,6400900,6400900-002,1鄰,和昌街,,,,,,125號,120.319811670998,22.5789958018406
高雄市前鎮區明孝里1鄰和昌街125之1號,64,6400900,6400900-002,1鄰,和昌街,,,,,,125之1號,120.319772906619,22.5789685454558
高雄市前鎮區明孝里1鄰和昌街127號,64,6400900,6400900-002,1鄰,和昌街,,,,,,127號,120.319738546659,22.5789454167051
高雄市前鎮區明孝里1鄰和昌街129號,64,6400900,6400900-002,1鄰,和昌街,,,,,,129號,120.319707742288,22.5789309454394
高雄市前鎮區明孝里1鄰和昌街131號,64,6400900,6400900-002,1鄰,和昌街,,,,,,131號,120.319683162133,22.5789064673452
高雄市前鎮區明孝里1鄰和昌街133號,64,6400900,6400900-002,1鄰,和昌街,,,,,,133號,120.319657017344,22.5788877261868
高雄市前鎮區草衙里17鄰和昌街25號,64,6400900,6400900-001,17鄰,和昌街,,,,,,25號,120.322151887184,22.5806011563239
高雄市前鎮區草衙里17鄰和昌街27號,64,6400900,6400900-001,17鄰,和昌街,,,,,,27號,120.322097679504,22.5805579231297
高雄市前鎮區草衙里17鄰和昌街29號,64,6400900,6400900-001,17鄰,和昌街,,,,,,29號,120.322067750651,22.5805233896463
高雄市前鎮區草衙里17鄰和昌街31號,64,6400900,6400900-001,17鄰,和昌街,,,,,,31號,120.322035387206,22.5805114227915
高雄市前鎮區草衙里17鄰和昌街33號,64,6400900,6400900-001,17鄰,和昌街,,,,,,33號,120.321976416291,22.5804638527541
高雄市前鎮區草衙里17鄰和昌街35號,64,6400900,6400900-001,17鄰,和昌街,,,,,,35號,120.321887597484,22.5803811263987
高雄市前鎮區草衙里17鄰和昌街37號,64,6400900,6400900-001,17鄰,和昌街,,,,,,37號,120.32185221283,22.5803566030275
高雄市前鎮區草衙里17鄰和昌街39號,64,6400900,6400900-001,17鄰,和昌街,,,,,,39號,120.321821433242,22.5803349708687
高雄市前鎮區草衙里17鄰和昌街41號,64,6400900,6400900-001,17鄰,和昌街,,,,,,41號,120.321782984309,22.5803047000145
高雄市前鎮區草衙里17鄰和昌街43巷1號,64,6400900,6400900-001,17鄰,和昌街,,43巷,,,,1號,120.321820129215,22.5801285221286
高雄市前鎮區草衙里17鄰和昌街43巷3號,64,6400900,6400900-001,17鄰,和昌街,,43巷,,,,3號,120.321764968122,22.5800437071692
高雄市前鎮區草衙里3鄰和昌街43巷10號,64,6400900,6400900-001,3鄰,和昌街,,43巷,,,,10號,120.321601572228,22.5800562022799
高雄市前鎮區草衙里3鄰和昌街43巷12號,64,6400900,6400900-001,3鄰,和昌街,,43巷,,,,12號,120.321557322736,22.5800130109531
高雄市前鎮區草衙里3鄰和昌街57號,64,6400900,6400900-001,3鄰,和昌街,,,,,,57號,120.321514037774,22.5801521728442
高雄市前鎮區草衙里3鄰和昌街59號,64,6400900,6400900-001,3鄰,和昌街,,,,,,59號,120.321477181442,22.5801124534354
高雄市前鎮區草衙里3鄰和昌街61號,64,6400900,6400900-001,3鄰,和昌街,,,,,,61號,120.32142730225,22.5800829921507
高雄市前鎮區草衙里3鄰和昌街63號,64,6400900,6400900-001,3鄰,和昌街,,,,,,63號,120.321379347801,22.580039785129
高雄市前鎮區草衙里9鄰和昌街65號,64,6400900,6400900-001,9鄰,和昌街,,,,,,65號,120.32124507133,22.5799641271607
高雄市前鎮區草衙里9鄰和昌街67號,64,6400900,6400900-001,9鄰,和昌街,,,,,,67號,120.321220437899,22.5799504318007
高雄市前鎮區草衙里9鄰和昌街69號,64,6400900,6400900-001,9鄰,和昌街,,,,,,69號,120.321179644375,22.5799223905297
