FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市楠梓區中和里4鄰大學二十九路2號,64,6400400,6400400-037,4鄰,大學二十九路,,,,,,2號,120.277461324705,22.7231116427031
高雄市楠梓區中和里4鄰大學二十九路6號,64,6400400,6400400-037,4鄰,大學二十九路,,,,,,6號,120.277459598453,22.7231474771297
高雄市楠梓區中和里4鄰大學二十九路8號,64,6400400,6400400-037,4鄰,大學二十九路,,,,,,8號,120.277470217631,22.7231848032034
高雄市楠梓區中和里4鄰大學二十九路10號,64,6400400,6400400-037,4鄰,大學二十九路,,,,,,10號,120.277485440331,22.7232278754443
高雄市楠梓區中和里4鄰大學二十九路12號,64,6400400,6400400-037,4鄰,大學二十九路,,,,,,12號,120.277530024243,22.7232725162185
高雄市楠梓區中和里4鄰大學二十九路16號,64,6400400,6400400-037,4鄰,大學二十九路,,,,,,16號,120.2775390753,22.7233155695968
高雄市楠梓區中和里4鄰大學二十九路18號,64,6400400,6400400-037,4鄰,大學二十九路,,,,,,18號,120.277558939113,22.7233572359766
高雄市楠梓區中和里4鄰大學二十九路20號,64,6400400,6400400-037,4鄰,大學二十九路,,,,,,20號,120.277554102304,22.7233959190307
高雄市楠梓區中和里4鄰大學二十九路20之1號,64,6400400,6400400-037,4鄰,大學二十九路,,,,,,20之1號,120.277551376602,22.7234126041892
高雄市楠梓區中和里4鄰大學二十九路22號,64,6400400,6400400-037,4鄰,大學二十九路,,,,,,22號,120.27755696452,22.7234403712684
高雄市楠梓區中和里4鄰大學二十九路26號,64,6400400,6400400-037,4鄰,大學二十九路,,,,,,26號,120.27755305831,22.7234779477702
高雄市楠梓區中和里12鄰大學二十九路321號二樓,64,6400400,6400400-037,12鄰,大學二十九路,,,,,,321號二樓,120.275613083811,22.7287973227125
高雄市楠梓區中和里12鄰大學二十九路321號三樓,64,6400400,6400400-037,12鄰,大學二十九路,,,,,,321號三樓,120.275613083811,22.7287973227125
高雄市楠梓區中和里12鄰大學二十九路321號四樓,64,6400400,6400400-037,12鄰,大學二十九路,,,,,,321號四樓,120.275613083811,22.7287973227125
高雄市楠梓區中和里12鄰大學二十九路321號五樓,64,6400400,6400400-037,12鄰,大學二十九路,,,,,,321號五樓,120.275613083811,22.7287973227125
高雄市楠梓區中和里12鄰大學二十九路321號六樓,64,6400400,6400400-037,12鄰,大學二十九路,,,,,,321號六樓,120.275613083811,22.7287973227125
高雄市楠梓區中和里12鄰大學二十九路321號七樓,64,6400400,6400400-037,12鄰,大學二十九路,,,,,,321號七樓,120.275613083811,22.7287973227125
高雄市楠梓區中和里12鄰大學二十九路321號八樓,64,6400400,6400400-037,12鄰,大學二十九路,,,,,,321號八樓,120.275613083811,22.7287973227125
高雄市楠梓區中和里12鄰大學二十九路321號九樓,64,6400400,6400400-037,12鄰,大學二十九路,,,,,,321號九樓,120.275613083811,22.7287973227125
高雄市楠梓區中和里12鄰大學二十九路321號十樓,64,6400400,6400400-037,12鄰,大學二十九路,,,,,,321號十樓,120.275613083811,22.7287973227125
高雄市楠梓區中和里12鄰大學二十九路321號十一樓,64,6400400,6400400-037,12鄰,大學二十九路,,,,,,321號十一樓,120.275613083811,22.7287973227125
高雄市楠梓區中和里12鄰大學二十九路321號十二樓,64,6400400,6400400-037,12鄰,大學二十九路,,,,,,321號十二樓,120.275613083811,22.7287973227125
高雄市楠梓區中和里12鄰大學二十九路321號十三樓,64,6400400,6400400-037,12鄰,大學二十九路,,,,,,321號十三樓,120.275613083811,22.7287973227125
高雄市楠梓區中和里12鄰大學二十九路321號十四樓,64,6400400,6400400-037,12鄰,大學二十九路,,,,,,321號十四樓,120.275613083811,22.7287973227125
