FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市大社區三奶里7鄰大新路1之60號,64,6401600,6401600-005,7鄰,大新路,,,,,,1之60號,120.344926072404,22.7247102525865
高雄市大社區三奶里8鄰大新路2之23號,64,6401600,6401600-005,8鄰,大新路,,,,,,2之23號,120.347603722515,22.7247386757593
高雄市大社區三奶里7鄰大新路2之56號,64,6401600,6401600-005,7鄰,大新路,,,,,,2之56號,120.345703332894,22.7245319738729
高雄市大社區中里里3鄰大新路2之15號,64,6401600,6401600-008,3鄰,大新路,,,,,,2之15號,120.348155515551,22.7248656485825
高雄市大社區中里里3鄰大新路2之16號,64,6401600,6401600-008,3鄰,大新路,,,,,,2之16號,120.348103871487,22.724855504312
高雄市大社區中里里3鄰大新路2之17號,64,6401600,6401600-008,3鄰,大新路,,,,,,2之17號,120.34805913306,22.7248466524737
高雄市大社區中里里3鄰大新路2之18號,64,6401600,6401600-008,3鄰,大新路,,,,,,2之18號,120.348014394211,22.7248378909277
高雄市大社區中里里3鄰大新路2之19號,64,6401600,6401600-008,3鄰,大新路,,,,,,2之19號,120.34796819645,22.7248288525003
高雄市大社區中里里1鄰大新路2之2號,64,6401600,6401600-008,1鄰,大新路,,,,,,2之2號,120.348511840317,22.724962374204
高雄市大社區觀音里17鄰大新路1號,64,6401600,6401600-006,17鄰,大新路,,,,,,1號,120.349430413962,22.7252524762423
高雄市大社區觀音里17鄰大新路1之1號,64,6401600,6401600-006,17鄰,大新路,,,,,,1之1號,120.348713230243,22.7252143367398
高雄市大社區觀音里17鄰大新路1之2號,64,6401600,6401600-006,17鄰,大新路,,,,,,1之2號,120.348777155177,22.7252213701185
高雄市大社區觀音里17鄰大新路1之3號,64,6401600,6401600-006,17鄰,大新路,,,,,,1之3號,120.348824052937,22.7252265279927
高雄市大社區觀音里17鄰大新路1之4號,64,6401600,6401600-006,17鄰,大新路,,,,,,1之4號,120.348869102388,22.7252314074063
高雄市大社區觀音里17鄰大新路1之5號,64,6401600,6401600-006,17鄰,大新路,,,,,,1之5號,120.348916000155,22.7252365652537
高雄市大社區觀音里17鄰大新路1之6號,64,6401600,6401600-006,17鄰,大新路,,,,,,1之6號,120.348961049187,22.7252415349462
高雄市大社區觀音里11鄰大新路2號,64,6401600,6401600-006,11鄰,大新路,,,,,,2號,120.349310965624,22.725026314504
高雄市大社區觀音里11鄰大新路2之1號,64,6401600,6401600-006,11鄰,大新路,,,,,,2之1號,120.349183597912,22.7250132434831
高雄市大社區觀音里17鄰大新路5號,64,6401600,6401600-006,17鄰,大新路,,,,,,5號,120.349510208239,22.7252592126792
高雄市大社區觀音里11鄰大新路6之1號,64,6401600,6401600-006,11鄰,大新路,,,,,,6之1號,120.349265428631,22.7250216138441
高雄市大社區觀音里17鄰大新路7號,64,6401600,6401600-006,17鄰,大新路,,,,,,7號,120.349562333749,22.7252499425879
高雄市大社區觀音里17鄰大新路9號,64,6401600,6401600-006,17鄰,大新路,,,,,,9號,120.349611482917,22.7252524905066
高雄市大社區觀音里17鄰大新路9之1號,64,6401600,6401600-006,17鄰,大新路,,,,,,9之1號,120.349663076862,22.7252527003894
高雄市大社區觀音里11鄰大新路18號,64,6401600,6401600-006,11鄰,大新路,,,,,,18號,120.349380209164,22.7250202748627
高雄市大社區觀音里17鄰大新路19號,64,6401600,6401600-006,17鄰,大新路,,,,,,19號,120.349833572305,22.7253271741526
高雄市大社區觀音里11鄰大新路20號,64,6401600,6401600-006,11鄰,大新路,,,,,,20號,120.349425380259,22.7250200071504
高雄市大社區觀音里17鄰大新路21號,64,6401600,6401600-006,17鄰,大新路,,,,,,21號,120.349953974356,22.7252899156863
高雄市大社區觀音里11鄰大新路22號,64,6401600,6401600-006,11鄰,大新路,,,,,,22號,120.349469471145,22.7250217217703
高雄市大社區觀音里17鄰大新路23號,64,6401600,6401600-006,17鄰,大新路,,,,,,23號,120.34999747955,22.7252919890063
高雄市大社區觀音里17鄰大新路25號,64,6401600,6401600-006,17鄰,大新路,,,,,,25號,120.350034193059,22.725289248465
高雄市大社區觀音里11鄰大新路26號,64,6401600,6401600-006,11鄰,大新路,,,,,,26號,120.349514331415,22.7250048363947
高雄市大社區觀音里17鄰大新路27號,64,6401600,6401600-006,17鄰,大新路,,,,,,27號,120.350077111612,22.7252918612167
高雄市大社區觀音里11鄰大新路28號,64,6401600,6401600-006,11鄰,大新路,,,,,,28號,120.349556489882,22.7250240625653
高雄市大社區觀音里17鄰大新路29號,64,6401600,6401600-006,17鄰,大新路,,,,,,29號,120.350043900928,22.7254186066682
高雄市大社區觀音里17鄰大新路29之1號,64,6401600,6401600-006,17鄰,大新路,,,,,,29之1號,120.350067973309,22.725495284341
高雄市大社區觀音里11鄰大新路30號,64,6401600,6401600-006,11鄰,大新路,,,,,,30號,120.349598341793,22.7250257680404
高雄市大社區觀音里11鄰大新路32號,64,6401600,6401600-006,11鄰,大新路,,,,,,32號,120.349639132281,22.7250254824466
高雄市大社區觀音里17鄰大新路35號,64,6401600,6401600-006,17鄰,大新路,,,,,,35號,120.350290398807,22.725313408297
高雄市大社區觀音里17鄰大新路35之1號,64,6401600,6401600-006,17鄰,大新路,,,,,,35之1號,120.350330417003,22.7253117647941
高雄市大社區觀音里11鄰大新路36號,64,6401600,6401600-006,11鄰,大新路,,,,,,36號,120.349686440743,22.7250261264189
高雄市大社區觀音里17鄰大新路37號,64,6401600,6401600-006,17鄰,大新路,,,,,,37號,120.350374406389,22.7253143818177
高雄市大社區觀音里11鄰大新路38號,64,6401600,6401600-006,11鄰,大新路,,,,,,38號,120.349848627422,22.7249841614406
高雄市大社區觀音里17鄰大新路39號,64,6401600,6401600-006,17鄰,大新路,,,,,,39號,120.350545141739,22.7253175137599
高雄市大社區觀音里17鄰大新路41號,64,6401600,6401600-006,17鄰,大新路,,,,,,41號,120.350499678071,22.7253178709045
高雄市大社區觀音里11鄰大新路42號,64,6401600,6401600-006,11鄰,大新路,,,,,,42號,120.349996300225,22.7250264834496
高雄市大社區觀音里11鄰大新路42之1號,64,6401600,6401600-006,11鄰,大新路,,,,,,42之1號,120.350034942684,22.7250275436172
高雄市大社區觀音里17鄰大新路43號,64,6401600,6401600-006,17鄰,大新路,,,,,,43號,120.350458414187,22.7253153101419
高雄市大社區觀音里17鄰大新路45號,64,6401600,6401600-006,17鄰,大新路,,,,,,45號,120.350415690098,22.7253127434356
高雄市大社區觀音里11鄰大新路46號,64,6401600,6401600-006,11鄰,大新路,,,,,,46號,120.35007387761,22.7250285146581
高雄市大社區觀音里17鄰大新路47號,64,6401600,6401600-006,17鄰,大新路,,,,,,47號,120.350583207024,22.7253171265497
高雄市大社區觀音里11鄰大新路48號,64,6401600,6401600-006,11鄰,大新路,,,,,,48號,120.350112909458,22.7250295763898
高雄市大社區觀音里18鄰大新路49號,64,6401600,6401600-006,18鄰,大新路,,,,,,49號,120.350724381316,22.7252720049134
高雄市大社區觀音里11鄰大新路50號,64,6401600,6401600-006,11鄰,大新路,,,,,,50號,120.350153596205,22.7250306448388
高雄市大社區觀音里17鄰大新路51之1號,64,6401600,6401600-006,17鄰,大新路,,,,,,51之1號,120.351010956299,22.725317599233
高雄市大社區觀音里17鄰大新路51之2號,64,6401600,6401600-006,17鄰,大新路,,,,,,51之2號,120.350998768297,22.7252804338293
高雄市大社區觀音里21鄰大新路53號,64,6401600,6401600-006,21鄰,大新路,,,,,,53號,120.351378603804,22.7253673148504
高雄市大社區觀音里21鄰大新路53之10號,64,6401600,6401600-006,21鄰,大新路,,,,,,53之10號,120.351511724785,22.7253226926495
高雄市大社區觀音里11鄰大新路54號,64,6401600,6401600-006,11鄰,大新路,,,,,,54號,120.350229616472,22.7250325793361
高雄市大社區觀音里21鄰大新路55巷1號,64,6401600,6401600-006,21鄰,大新路,,55巷,,,,1號,120.351090425146,22.7254552778318
高雄市大社區觀音里21鄰大新路55巷1號十樓,64,6401600,6401600-006,21鄰,大新路,,55巷,,,,1號十樓,120.351090425146,22.7254552778318
高雄市大社區觀音里21鄰大新路55巷1號三樓,64,6401600,6401600-006,21鄰,大新路,,55巷,,,,1號三樓,120.351090425146,22.7254552778318
高雄市大社區觀音里21鄰大新路55巷1號四樓,64,6401600,6401600-006,21鄰,大新路,,55巷,,,,1號四樓,120.351090425146,22.7254552778318
高雄市大社區觀音里21鄰大新路55巷1號五樓,64,6401600,6401600-006,21鄰,大新路,,55巷,,,,1號五樓,120.351090425146,22.7254552778318
高雄市大社區觀音里21鄰大新路55巷1號六樓,64,6401600,6401600-006,21鄰,大新路,,55巷,,,,1號六樓,120.351090425146,22.7254552778318
