FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市仁武區大灣里11鄰大春三街1號,64,6401700,6401700-001,11鄰,大春三街,,,,,,1號,120.335319024012,22.6764594629546
高雄市仁武區大灣里11鄰大春三街3號,64,6401700,6401700-001,11鄰,大春三街,,,,,,3號,120.33534467104,22.676408004256
高雄市仁武區大灣里11鄰大春三街5號,64,6401700,6401700-001,11鄰,大春三街,,,,,,5號,120.335369225374,22.6763510593986
高雄市仁武區大灣里11鄰大春三街7號,64,6401700,6401700-001,11鄰,大春三街,,,,,,7號,120.335403346741,22.6762676401817
高雄市仁武區大灣里11鄰大春三街21號,64,6401700,6401700-001,11鄰,大春三街,,,,,,21號,120.335374612662,22.6761721570151
高雄市仁武區大灣里11鄰大春三街23號,64,6401700,6401700-001,11鄰,大春三街,,,,,,23號,120.335397259041,22.676117344502
高雄市仁武區大灣里11鄰大春三街25巷1號,64,6401700,6401700-001,11鄰,大春三街,,25巷,,,,1號,120.335475141293,22.6761714905158
高雄市仁武區大灣里11鄰大春三街25巷2號,64,6401700,6401700-001,11鄰,大春三街,,25巷,,,,2號,120.335549676438,22.6760316437216
高雄市仁武區大灣里11鄰大春三街25巷3號,64,6401700,6401700-001,11鄰,大春三街,,25巷,,,,3號,120.335507456157,22.6761903181006
高雄市仁武區大灣里11鄰大春三街25巷5號,64,6401700,6401700-001,11鄰,大春三街,,25巷,,,,5號,120.335543186962,22.6762070827973
高雄市仁武區大灣里11鄰大春三街25巷6號,64,6401700,6401700-001,11鄰,大春三街,,25巷,,,,6號,120.335586492867,22.6760452521765
高雄市仁武區大灣里11鄰大春三街25巷7號,64,6401700,6401700-001,11鄰,大春三街,,25巷,,,,7號,120.335576592726,22.6762216704779
高雄市仁武區大灣里11鄰大春三街25巷8號,64,6401700,6401700-001,11鄰,大春三街,,25巷,,,,8號,120.335618812939,22.6760629960796
高雄市仁武區大灣里11鄰大春三街25巷10號,64,6401700,6401700-001,11鄰,大春三街,,25巷,,,,10號,120.335653288674,22.6760776784896
高雄市仁武區大灣里11鄰大春三街27號,64,6401700,6401700-001,11鄰,大春三街,,,,,,27號,120.335450263596,22.6760229229987
高雄市仁武區大灣里11鄰大春三街28號,64,6401700,6401700-001,11鄰,大春三街,,,,,,28號,120.33506903785,22.6761335918472
高雄市仁武區大灣里11鄰大春三街29號,64,6401700,6401700-001,11鄰,大春三街,,,,,,29號,120.335477321435,22.6759815844831
高雄市仁武區大灣里11鄰大春三街31號,64,6401700,6401700-001,11鄰,大春三街,,,,,,31號,120.335496491767,22.6759412969152
高雄市仁武區大灣里11鄰大春三街32號,64,6401700,6401700-001,11鄰,大春三街,,,,,,32號,120.335121071921,22.6760164633141
高雄市仁武區大灣里11鄰大春三街33號,64,6401700,6401700-001,11鄰,大春三街,,,,,,33號,120.335520148444,22.6758989509044
高雄市仁武區大灣里11鄰大春三街34號,64,6401700,6401700-001,11鄰,大春三街,,,,,,34號,120.335140664799,22.6759591998784
高雄市仁武區大灣里11鄰大春三街35號,64,6401700,6401700-001,11鄰,大春三街,,,,,,35號,120.335544855959,22.6758606730532
高雄市仁武區大灣里11鄰大春三街37號,64,6401700,6401700-001,11鄰,大春三街,,,,,,37號,120.335560722872,22.6758192880891
高雄市仁武區大灣里11鄰大春三街39巷1號,64,6401700,6401700-001,11鄰,大春三街,,39巷,,,,1號,120.335618418692,22.6759024290509
高雄市仁武區大灣里11鄰大春三街39巷2號,64,6401700,6401700-001,11鄰,大春三街,,39巷,,,,2號,120.335712476924,22.6757297915064
高雄市仁武區大灣里11鄰大春三街39巷3號,64,6401700,6401700-001,11鄰,大春三街,,39巷,,,,3號,120.335649575777,22.6759191747485
高雄市仁武區大灣里11鄰大春三街39巷5號,64,6401700,6401700-001,11鄰,大春三街,,39巷,,,,5號,120.335688630361,22.6759327924646
高雄市仁武區大灣里11鄰大春三街39巷6號,64,6401700,6401700-001,11鄰,大春三街,,39巷,,,,6號,120.335744433354,22.675742205777
高雄市仁武區大灣里11鄰大春三街39巷7號,64,6401700,6401700-001,11鄰,大春三街,,39巷,,,,7號,120.335722118164,22.6759505411907
高雄市仁武區大灣里11鄰大春三街39巷8號,64,6401700,6401700-001,11鄰,大春三街,,39巷,,,,8號,120.335781824464,22.6757577130118
高雄市仁武區大灣里11鄰大春三街39巷10號,64,6401700,6401700-001,11鄰,大春三街,,39巷,,,,10號,120.335817060371,22.6757761914223
高雄市仁武區大灣里11鄰大春三街41號,64,6401700,6401700-001,11鄰,大春三街,,,,,,41號,120.335613614223,22.675728117097
高雄市仁武區大灣里11鄰大春三街43號,64,6401700,6401700-001,11鄰,大春三街,,,,,,43號,120.33563199337,22.6756904451235
高雄市仁武區大灣里11鄰大春三街45號,64,6401700,6401700-001,11鄰,大春三街,,,,,,45號,120.335654679018,22.6756476435278
高雄市仁武區大灣里11鄰大春三街47號,64,6401700,6401700-001,11鄰,大春三街,,,,,,47號,120.33567297649,22.6756067201669
高雄市仁武區大灣里11鄰大春三街49號,64,6401700,6401700-001,11鄰,大春三街,,,,,,49號,120.33569719126,22.6755697045395
高雄市仁武區大灣里11鄰大春三街51號,64,6401700,6401700-001,11鄰,大春三街,,,,,,51號,120.335728629816,22.675507794208
