FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市大寮區大寮里43鄰大有二街1號,64,6401400,6401400-003,43鄰,大有二街,,,,,,1號,120.428473329391,22.5872261382355
高雄市大寮區大寮里43鄰大有二街2號,64,6401400,6401400-003,43鄰,大有二街,,,,,,2號,120.428009442838,22.5878269735317
高雄市大寮區大寮里43鄰大有二街3號,64,6401400,6401400-003,43鄰,大有二街,,,,,,3號,120.427945173135,22.5869992447352
高雄市大寮區大寮里43鄰大有二街4號,64,6401400,6401400-003,43鄰,大有二街,,,,,,4號,120.427812445074,22.587836865162
高雄市大寮區大寮里43鄰大有二街5號,64,6401400,6401400-003,43鄰,大有二街,,,,,,5號,120.427592012855,22.5871728246179
高雄市大寮區大寮里43鄰大有二街6號,64,6401400,6401400-003,43鄰,大有二街,,,,,,6號,120.427575890067,22.5878501737597
高雄市大寮區大寮里43鄰大有二街7號,64,6401400,6401400-003,43鄰,大有二街,,,,,,7號,120.427314088815,22.587167047669
高雄市大寮區大寮里43鄰大有二街8號,64,6401400,6401400-003,43鄰,大有二街,,,,,,8號,120.427361044958,22.5878298109921
高雄市大寮區大寮里43鄰大有二街9號,64,6401400,6401400-003,43鄰,大有二街,,,,,,9號,120.427095671408,22.5869290275287
高雄市大寮區大寮里43鄰大有二街10號,64,6401400,6401400-003,43鄰,大有二街,,,,,,10號,120.427098905757,22.5878165039772
高雄市大寮區大寮里43鄰大有二街11號,64,6401400,6401400-003,43鄰,大有二街,,,,,,11號,120.426740693833,22.587071532806
高雄市大寮區大寮里43鄰大有二街12號,64,6401400,6401400-003,43鄰,大有二街,,,,,,12號,120.426776461493,22.5877581881702
高雄市大寮區大寮里43鄰大有二街14號,64,6401400,6401400-003,43鄰,大有二街,,,,,,14號,120.426580273665,22.5875771412309
高雄市大寮區大寮里43鄰大有二街15號,64,6401400,6401400-003,43鄰,大有二街,,,,,,15號,120.426474515821,22.5873763683877
高雄市大寮區大寮里43鄰大有二街16號,64,6401400,6401400-003,43鄰,大有二街,,,,,,16號,120.426175143548,22.5877118802303
高雄市大寮區大寮里43鄰大有二街17號,64,6401400,6401400-003,43鄰,大有二街,,,,,,17號,120.425899124594,22.5869177116101
高雄市大寮區大寮里43鄰大有二街18號,64,6401400,6401400-003,43鄰,大有二街,,,,,,18號,120.425902672668,22.5877745743848
高雄市大寮區大寮里43鄰大有二街19號,64,6401400,6401400-003,43鄰,大有二街,,,,,,19號,120.425551533835,22.5870140928308
高雄市大寮區大寮里43鄰大有二街20號,64,6401400,6401400-003,43鄰,大有二街,,,,,,20號,120.425555506705,22.5878383556043
高雄市大寮區大寮里43鄰大有二街21號,64,6401400,6401400-003,43鄰,大有二街,,,,,,21號,120.425262894654,22.5869657385682
高雄市大寮區大寮里43鄰大有二街22號,64,6401400,6401400-003,43鄰,大有二街,,,,,,22號,120.425269123436,22.5878553026641
高雄市大寮區大寮里43鄰大有二街23號,64,6401400,6401400-003,43鄰,大有二街,,,,,,23號,120.424949580497,22.5871920148723
高雄市大寮區大寮里43鄰大有二街24號,64,6401400,6401400-003,43鄰,大有二街,,,,,,24號,120.424962117295,22.5877797894798
高雄市大寮區大寮里43鄰大有二街25號,64,6401400,6401400-003,43鄰,大有二街,,,,,,25號,120.424406728207,22.5870956076402
高雄市大寮區大寮里43鄰大有二街26號,64,6401400,6401400-003,43鄰,大有二街,,,,,,26號,120.424721891191,22.5878293216518
高雄市大寮區大寮里43鄰大有二街27號,64,6401400,6401400-003,43鄰,大有二街,,,,,,27號,120.424544312358,22.5871492021478
高雄市大寮區大寮里43鄰大有二街28號,64,6401400,6401400-003,43鄰,大有二街,,,,,,28號,120.424448629647,22.5878246401277
高雄市大寮區大寮里43鄰大有二街29號,64,6401400,6401400-003,43鄰,大有二街,,,,,,29號,120.42394540911,22.5869674313612
高雄市大寮區大寮里43鄰大有二街30號,64,6401400,6401400-003,43鄰,大有二街,,,,,,30號,120.424068456382,22.5875700516521
高雄市大寮區大寮里43鄰大有二街31號,64,6401400,6401400-003,43鄰,大有二街,,,,,,31號,120.423503345163,22.587283642156
高雄市大寮區大寮里43鄰大有二街32號,64,6401400,6401400-003,43鄰,大有二街,,,,,,32號,120.423859571888,22.5876016150827
高雄市大寮區大寮里43鄰大有二街34號,64,6401400,6401400-003,43鄰,大有二街,,,,,,34號,120.423576562069,22.587731114045
