FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市湖內區大湖里1鄰大湖路3號,64,6402500,6402500-006,1鄰,大湖路,,,,,,3號,120.247708799568,22.8859870294099
高雄市湖內區大湖里1鄰大湖路7號,64,6402500,6402500-006,1鄰,大湖路,,,,,,7號,120.247682896456,22.8858486978025
高雄市湖內區大湖里1鄰大湖路8號,64,6402500,6402500-006,1鄰,大湖路,,,,,,8號,120.247271871192,22.8860184368985
高雄市湖內區大湖里1鄰大湖路10號,64,6402500,6402500-006,1鄰,大湖路,,,,,,10號,120.247215748435,22.8859874048949
高雄市湖內區大湖里1鄰大湖路21巷2號,64,6402500,6402500-006,1鄰,大湖路,,21巷,,,,2號,120.247444718208,22.885297425511
高雄市湖內區大湖里1鄰大湖路21巷6號,64,6402500,6402500-006,1鄰,大湖路,,21巷,,,,6號,120.247541925517,22.8852922145222
高雄市湖內區大湖里1鄰大湖路21巷8號,64,6402500,6402500-006,1鄰,大湖路,,21巷,,,,8號,120.247546765799,22.8852468871591
高雄市湖內區大湖里1鄰大湖路21巷10號,64,6402500,6402500-006,1鄰,大湖路,,21巷,,,,10號,120.247550845951,22.8852015471679
高雄市湖內區大湖里1鄰大湖路21巷12號,64,6402500,6402500-006,1鄰,大湖路,,21巷,,,,12號,120.247578680776,22.8851485173915
高雄市湖內區大湖里1鄰大湖路21巷16號,64,6402500,6402500-006,1鄰,大湖路,,21巷,,,,16號,120.247783689502,22.8851044351168
高雄市湖內區大湖里1鄰大湖路22號,64,6402500,6402500-006,1鄰,大湖路,,,,,,22號,120.246896050067,22.8856296177747
高雄市湖內區大湖里1鄰大湖路23巷1號,64,6402500,6402500-006,1鄰,大湖路,,23巷,,,,1號,120.247233207071,22.8853276150132
高雄市湖內區大湖里1鄰大湖路23巷3號,64,6402500,6402500-006,1鄰,大湖路,,23巷,,,,3號,120.247273132359,22.8853037021039
高雄市湖內區大湖里1鄰大湖路23巷5號,64,6402500,6402500-006,1鄰,大湖路,,23巷,,,,5號,120.247301596522,22.8852761950433
高雄市湖內區大湖里1鄰大湖路23巷7號,64,6402500,6402500-006,1鄰,大湖路,,23巷,,,,7號,120.247327748898,22.8852508081894
高雄市湖內區大湖里1鄰大湖路23巷9號,64,6402500,6402500-006,1鄰,大湖路,,23巷,,,,9號,120.247353164538,22.8852211645628
高雄市湖內區大湖里1鄰大湖路23巷11號,64,6402500,6402500-006,1鄰,大湖路,,23巷,,,,11號,120.247382382957,22.8851964965776
高雄市湖內區大湖里1鄰大湖路23巷13號,64,6402500,6402500-006,1鄰,大湖路,,23巷,,,,13號,120.247412381108,22.8851682833615
高雄市湖內區大湖里1鄰大湖路23巷15號,64,6402500,6402500-006,1鄰,大湖路,,23巷,,,,15號,120.247438762825,22.88514194939
高雄市湖內區大湖里1鄰大湖路23巷17號,64,6402500,6402500-006,1鄰,大湖路,,23巷,,,,17號,120.247468002728,22.8851116104486
高雄市湖內區大湖里1鄰大湖路23巷19號,64,6402500,6402500-006,1鄰,大湖路,,23巷,,,,19號,120.247494153089,22.8850883456812
高雄市湖內區大湖里1鄰大湖路23巷20號,64,6402500,6402500-006,1鄰,大湖路,,23巷,,,,20號,120.247312729509,22.8849363013388
高雄市湖內區大湖里1鄰大湖路23巷21號,64,6402500,6402500-006,1鄰,大湖路,,23巷,,,,21號,120.247520317141,22.8850608276932
高雄市湖內區大湖里1鄰大湖路23巷22號,64,6402500,6402500-006,1鄰,大湖路,,23巷,,,,22號,120.247341967389,22.8849080935655
高雄市湖內區大湖里1鄰大湖路23巷23號,64,6402500,6402500-006,1鄰,大湖路,,23巷,,,,23號,120.247548757759,22.8850375737549
高雄市湖內區大湖里1鄰大湖路23巷25號,64,6402500,6402500-006,1鄰,大湖路,,23巷,,,,25號,120.247570573211,22.8850086174186
高雄市湖內區大湖里1鄰大湖路23巷26號,64,6402500,6402500-006,1鄰,大湖路,,23巷,,,,26號,120.247372729542,22.8848791796061
高雄市湖內區大湖里1鄰大湖路23巷27號,64,6402500,6402500-006,1鄰,大湖路,,23巷,,,,27號,120.247592805989,22.884960527804
高雄市湖內區大湖里1鄰大湖路23巷28號,64,6402500,6402500-006,1鄰,大湖路,,23巷,,,,28號,120.247394277835,22.8848580242262
高雄市湖內區大湖里1鄰大湖路26號,64,6402500,6402500-006,1鄰,大湖路,,,,,,26號,120.246764498611,22.8855727357394
高雄市湖內區大湖里1鄰大湖路28號,64,6402500,6402500-006,1鄰,大湖路,,,,,,28號,120.246707554376,22.8855246052759
高雄市湖內區大湖里1鄰大湖路30號,64,6402500,6402500-006,1鄰,大湖路,,,,,,30號,120.24665989108,22.8854654114733
高雄市湖內區大湖里1鄰大湖路32號,64,6402500,6402500-006,1鄰,大湖路,,,,,,32號,120.246621320738,22.8854327466668
高雄市湖內區大湖里1鄰大湖路36號,64,6402500,6402500-006,1鄰,大湖路,,,,,,36號,120.246570772035,22.8853966206618
高雄市湖內區大湖里1鄰大湖路38號,64,6402500,6402500-006,1鄰,大湖路,,,,,,38號,120.246513804365,22.8853527613607
高雄市湖內區大湖里1鄰大湖路50號,64,6402500,6402500-006,1鄰,大湖路,,,,,,50號,120.246425233928,22.8852517077405
