FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市梓官區同安里3鄰大舍北路112巷52之28號,64,6402900,6402900-010,3鄰,大舍北路,,112巷,,,,52之28號,120.263636763517,22.7525090393403
高雄市梓官區同安里1鄰大舍北路300號,64,6402900,6402900-010,1鄰,大舍北路,,,,,,300號,120.262128571483,22.752620875152
高雄市梓官區大舍里19鄰大舍北路1號,64,6402900,6402900-011,19鄰,大舍北路,,,,,,1號,120.261353300596,22.7473383376164
高雄市梓官區大舍里29鄰大舍北路1巷2號,64,6402900,6402900-011,29鄰,大舍北路,,1巷,,,,2號,120.261233250332,22.7473748075147
高雄市梓官區大舍里29鄰大舍北路1巷4號,64,6402900,6402900-011,29鄰,大舍北路,,1巷,,,,4號,120.261194342868,22.7473677644074
高雄市梓官區大舍里29鄰大舍北路1巷6號,64,6402900,6402900-011,29鄰,大舍北路,,1巷,,,,6號,120.261153392772,22.7473603506238
高雄市梓官區大舍里29鄰大舍北路1巷8號,64,6402900,6402900-011,29鄰,大舍北路,,1巷,,,,8號,120.261115554829,22.7473535833588
高雄市梓官區大舍里29鄰大舍北路1巷10號,64,6402900,6402900-011,29鄰,大舍北路,,1巷,,,,10號,120.261073729465,22.7473459848968
高雄市梓官區大舍里29鄰大舍北路1巷12號,64,6402900,6402900-011,29鄰,大舍北路,,1巷,,,,12號,120.261037837292,22.7473394975285
高雄市梓官區大舍里29鄰大舍北路1巷14號,64,6402900,6402900-011,29鄰,大舍北路,,1巷,,,,14號,120.260995136175,22.7473318046902
高雄市梓官區大舍里29鄰大舍北路1巷16號,64,6402900,6402900-011,29鄰,大舍北路,,1巷,,,,16號,120.260864710019,22.7473242478086
高雄市梓官區大舍里29鄰大舍北路1巷18號,64,6402900,6402900-011,29鄰,大舍北路,,1巷,,,,18號,120.260812677819,22.7473136219907
高雄市梓官區大舍里29鄰大舍北路1巷20號,64,6402900,6402900-011,29鄰,大舍北路,,1巷,,,,20號,120.260767656093,22.7473029382915
高雄市梓官區大舍里29鄰大舍北路1巷22號,64,6402900,6402900-011,29鄰,大舍北路,,1巷,,,,22號,120.260722620288,22.7472948733576
高雄市梓官區大舍里29鄰大舍北路1巷22之1號,64,6402900,6402900-011,29鄰,大舍北路,,1巷,,,,22之1號,120.260681867879,22.7472869185393
高雄市梓官區大舍里29鄰大舍北路1巷22之2號,64,6402900,6402900-011,29鄰,大舍北路,,1巷,,,,22之2號,120.260639648747,22.7472801308866
高雄市梓官區大舍里31鄰大舍北路1巷26號,64,6402900,6402900-011,31鄰,大舍北路,,1巷,,,,26號,120.260548431798,22.747223539025
高雄市梓官區大舍里31鄰大舍北路1巷28號,64,6402900,6402900-011,31鄰,大舍北路,,1巷,,,,28號,120.260503541014,22.7472066248183
高雄市梓官區大舍里31鄰大舍北路1巷30號,64,6402900,6402900-011,31鄰,大舍北路,,1巷,,,,30號,120.260460878361,22.7471917979273
高雄市梓官區大舍里31鄰大舍北路1巷32號,64,6402900,6402900-011,31鄰,大舍北路,,1巷,,,,32號,120.260400117312,22.747174900528
高雄市梓官區大舍里31鄰大舍北路1巷34號,64,6402900,6402900-011,31鄰,大舍北路,,1巷,,,,34號,120.260357443503,22.7471621505714
