FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市前鎮區鎮北里1鄰大華三路10之1號,64,6400900,6400900-023,1鄰,大華三路,,,,,,10之1號,120.284893279286,22.6070412750278
高雄市前鎮區鎮北里1鄰大華三路12號,64,6400900,6400900-023,1鄰,大華三路,,,,,,12號,120.284893279286,22.6070412750278
高雄市前鎮區鎮北里1鄰大華三路12之1號,64,6400900,6400900-023,1鄰,大華三路,,,,,,12之1號,120.284893279286,22.6070412750278
高雄市前鎮區鎮北里1鄰大華三路16之1號,64,6400900,6400900-023,1鄰,大華三路,,,,,,16之1號,120.284893279286,22.6070412750278
高雄市前鎮區鎮北里1鄰大華三路21之1號,64,6400900,6400900-023,1鄰,大華三路,,,,,,21之1號,120.284893279286,22.6070412750278
高雄市前鎮區鎮北里1鄰大華三路22號,64,6400900,6400900-023,1鄰,大華三路,,,,,,22號,120.284893279286,22.6070412750278
高雄市前鎮區鎮北里1鄰大華三路100號,64,6400900,6400900-023,1鄰,大華三路,,,,,,100號,120.288168223075,22.6022789300235
高雄市前鎮區鎮北里1鄰大華三路104號,64,6400900,6400900-023,1鄰,大華三路,,,,,,104號,120.28828518258,22.6014536819498
高雄市前鎮區鎮北里1鄰大華三路201號,64,6400900,6400900-023,1鄰,大華三路,,,,,,201號,120.286059680225,22.6059546931959
高雄市前鎮區鎮北里1鄰大華三路260號,64,6400900,6400900-023,1鄰,大華三路,,,,,,260號,120.289505689257,22.5976995721188
高雄市前鎮區鎮北里1鄰大華三路298號,64,6400900,6400900-023,1鄰,大華三路,,,,,,298號,120.292093456574,22.5941138817389
