FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市仁武區後安里6鄰安樂一街3號,64,6401700,6401700-011,6鄰,安樂一街,,,,,,3號,120.343234699953,22.7066354046832
高雄市仁武區後安里6鄰安樂一街7號,64,6401700,6401700-011,6鄰,安樂一街,,,,,,7號,120.343430515285,22.708253146267
高雄市仁武區後安里6鄰安樂一街7之3號,64,6401700,6401700-011,6鄰,安樂一街,,,,,,7之3號,120.344098392536,22.7080793369117
高雄市仁武區後安里6鄰安樂一街7之2號,64,6401700,6401700-011,6鄰,安樂一街,,,,,,7之2號,120.344043142168,22.7080102968139
高雄市仁武區後安里6鄰安樂一街9巷2號,64,6401700,6401700-011,6鄰,安樂一街,,9巷,,,,2號,120.34434441976,22.7084965681331
高雄市仁武區後安里6鄰安樂一街9巷6號,64,6401700,6401700-011,6鄰,安樂一街,,9巷,,,,6號,120.344310412971,22.7085246043714
高雄市仁武區後安里6鄰安樂一街9巷8號,64,6401700,6401700-011,6鄰,安樂一街,,9巷,,,,8號,120.344274645965,22.7085543492101
高雄市仁武區後安里6鄰安樂一街9之1號,64,6401700,6401700-011,6鄰,安樂一街,,,,,,9之1號,120.344325596486,22.7088314377646
高雄市仁武區後安里6鄰安樂一街9之2號,64,6401700,6401700-011,6鄰,安樂一街,,,,,,9之2號,120.344296151465,22.7088008837824
高雄市仁武區後安里6鄰安樂一街9之3號,64,6401700,6401700-011,6鄰,安樂一街,,,,,,9之3號,120.344267492882,22.7087687075019
高雄市仁武區後安里6鄰安樂一街9之5號,64,6401700,6401700-011,6鄰,安樂一街,,,,,,9之5號,120.344241555399,22.7087374454361
高雄市仁武區後安里6鄰安樂一街9號,64,6401700,6401700-011,6鄰,安樂一街,,,,,,9號,120.344518385912,22.7085322296926
高雄市仁武區後安里6鄰安樂一街9巷10號,64,6401700,6401700-011,6鄰,安樂一街,,9巷,,,,10號,120.344239771302,22.7085806660517
高雄市仁武區後安里6鄰安樂一街9巷12號,64,6401700,6401700-011,6鄰,安樂一街,,9巷,,,,12號,120.344201383957,22.7086087746145
高雄市仁武區後安里6鄰安樂一街9巷16號,64,6401700,6401700-011,6鄰,安樂一街,,9巷,,,,16號,120.344162911306,22.7086343542362
高雄市仁武區後安里6鄰安樂一街9巷18號,64,6401700,6401700-011,6鄰,安樂一街,,9巷,,,,18號,120.344128908317,22.7086615776912
高雄市仁武區後安里6鄰安樂一街9巷20號,64,6401700,6401700-011,6鄰,安樂一街,,9巷,,,,20號,120.344092300924,22.7086838236027
高雄市仁武區後安里5鄰安樂一街10之1號,64,6401700,6401700-011,5鄰,安樂一街,,,,,,10之1號,120.344318925806,22.7076362942261
