FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市岡山區白米里4鄰寶米路8號,64,6401900,6401900-022,4鄰,寶米路,,,,,,8號,120.281538341932,22.7797514890894
高雄市岡山區白米里4鄰寶米路16號,64,6401900,6401900-022,4鄰,寶米路,,,,,,16號,120.281577351828,22.7793875374375
高雄市岡山區白米里4鄰寶米路18號,64,6401900,6401900-022,4鄰,寶米路,,,,,,18號,120.281521821715,22.7793355427386
高雄市岡山區白米里4鄰寶米路22號,64,6401900,6401900-022,4鄰,寶米路,,,,,,22號,120.28135844525,22.7791981758055
高雄市岡山區白米里4鄰寶米路36之1號,64,6401900,6401900-022,4鄰,寶米路,,,,,,36之1號,120.280710801558,22.7787590312305
高雄市岡山區白米里4鄰寶米路36之2號,64,6401900,6401900-022,4鄰,寶米路,,,,,,36之2號,120.280578674389,22.778975212445
高雄市岡山區白米里4鄰寶米路51號,64,6401900,6401900-022,4鄰,寶米路,,,,,,51號,120.281648227651,22.7789451820252
高雄市岡山區白米里4鄰寶米路53號,64,6401900,6401900-022,4鄰,寶米路,,,,,,53號,120.281607693826,22.778893435472
高雄市岡山區白米里4鄰寶米路53之1號,64,6401900,6401900-022,4鄰,寶米路,,,,,,53之1號,120.281674013061,22.7787968188204
高雄市岡山區白米里4鄰寶米路55巷1之1號,64,6401900,6401900-022,4鄰,寶米路,,55巷,,,,1之1號,120.281781425255,22.7787362742483
高雄市岡山區白米里4鄰寶米路65號,64,6401900,6401900-022,4鄰,寶米路,,,,,,65號,120.2813040248,22.7786182637569
高雄市岡山區白米里4鄰寶米路67巷1號,64,6401900,6401900-022,4鄰,寶米路,,67巷,,,,1號,120.281296800646,22.7785472515909
高雄市岡山區白米里4鄰寶米路67巷2號,64,6401900,6401900-022,4鄰,寶米路,,67巷,,,,2號,120.281258452709,22.7784314886402
高雄市岡山區白米里4鄰寶米路67巷6號,64,6401900,6401900-022,4鄰,寶米路,,67巷,,,,6號,120.281312528469,22.7783891985867
高雄市岡山區白米里4鄰寶米路67巷7號,64,6401900,6401900-022,4鄰,寶米路,,67巷,,,,7號,120.281480758579,22.7784363728403
高雄市岡山區白米里4鄰寶米路67巷8號,64,6401900,6401900-022,4鄰,寶米路,,67巷,,,,8號,120.281358022641,22.7783491274909
高雄市岡山區白米里4鄰寶米路67巷9號,64,6401900,6401900-022,4鄰,寶米路,,67巷,,,,9號,120.281530958799,22.7783902724567
高雄市岡山區白米里4鄰寶米路67巷10號,64,6401900,6401900-022,4鄰,寶米路,,67巷,,,,10號,120.281403615117,22.7783088762143
高雄市岡山區白米里4鄰寶米路67巷12號,64,6401900,6401900-022,4鄰,寶米路,,67巷,,,,12號,120.281448519263,22.7782698860928
高雄市岡山區白米里4鄰寶米路69號,64,6401900,6401900-022,4鄰,寶米路,,,,,,69號,120.281188047065,22.7785236437145
高雄市岡山區白米里4鄰寶米路71號,64,6401900,6401900-022,4鄰,寶米路,,,,,,71號,120.281164793783,22.7785008724485
高雄市岡山區白米里4鄰寶米路73號,64,6401900,6401900-022,4鄰,寶米路,,,,,,73號,120.281139398074,22.7784780915283
高雄市岡山區白米里4鄰寶米路75之1號,64,6401900,6401900-022,4鄰,寶米路,,,,,,75之1號,120.281121961462,22.7784231979236
高雄市岡山區白米里4鄰寶米路77號,64,6401900,6401900-022,4鄰,寶米路,,,,,,77號,120.281102611584,22.7783989090498
高雄市岡山區白米里4鄰寶米路79號,64,6401900,6401900-022,4鄰,寶米路,,,,,,79號,120.281074148369,22.7783668128989
高雄市岡山區白米里4鄰寶米路81號,64,6401900,6401900-022,4鄰,寶米路,,,,,,81號,120.281048083318,22.7783416810226
