FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市大寮區內坑里5鄰崇聖路1號,64,6401400,6401400-002,5鄰,崇聖路,,,,,,1號,120.395774035342,22.5912314354343
高雄市大寮區內坑里5鄰崇聖路2號,64,6401400,6401400-002,5鄰,崇聖路,,,,,,2號,120.396096803791,22.5913031802406
高雄市大寮區內坑里5鄰崇聖路3號,64,6401400,6401400-002,5鄰,崇聖路,,,,,,3號,120.39576290031,22.5912647173553
高雄市大寮區內坑里5鄰崇聖路5號,64,6401400,6401400-002,5鄰,崇聖路,,,,,,5號,120.395753218165,22.5912993593678
高雄市大寮區內坑里5鄰崇聖路6號,64,6401400,6401400-002,5鄰,崇聖路,,,,,,6號,120.396073575111,22.5913665797288
高雄市大寮區內坑里5鄰崇聖路7號,64,6401400,6401400-002,5鄰,崇聖路,,,,,,7號,120.395743447035,22.5913321045676
高雄市大寮區內坑里5鄰崇聖路9號二樓之1,64,6401400,6401400-002,5鄰,崇聖路,,,,,,9號二樓之1,120.395763871373,22.5914879634464
高雄市大寮區內坑里5鄰崇聖路9號二樓之2,64,6401400,6401400-002,5鄰,崇聖路,,,,,,9號二樓之2,120.395798628541,22.5914125963544
高雄市大寮區內坑里5鄰崇聖路9號二樓之3,64,6401400,6401400-002,5鄰,崇聖路,,,,,,9號二樓之3,120.395698589435,22.5914711010878
高雄市大寮區內坑里5鄰崇聖路9號二樓之5,64,6401400,6401400-002,5鄰,崇聖路,,,,,,9號二樓之5,120.395733937642,22.5913940203739
高雄市大寮區內坑里5鄰崇聖路9號二樓之6,64,6401400,6401400-002,5鄰,崇聖路,,,,,,9號二樓之6,120.395599873947,22.59144914593
高雄市大寮區內坑里5鄰崇聖路9號二樓之7,64,6401400,6401400-002,5鄰,崇聖路,,,,,,9號二樓之7,120.395612010734,22.5914091849679
高雄市大寮區內坑里5鄰崇聖路9號二樓之8,64,6401400,6401400-002,5鄰,崇聖路,,,,,,9號二樓之8,120.395632762578,22.5913562520085
高雄市大寮區內坑里5鄰崇聖路9號三樓之1,64,6401400,6401400-002,5鄰,崇聖路,,,,,,9號三樓之1,120.395763871373,22.5914879634464
高雄市大寮區內坑里5鄰崇聖路9號三樓之2,64,6401400,6401400-002,5鄰,崇聖路,,,,,,9號三樓之2,120.395798628541,22.5914125963544
高雄市大寮區內坑里5鄰崇聖路9號三樓之3,64,6401400,6401400-002,5鄰,崇聖路,,,,,,9號三樓之3,120.395698589435,22.5914711010878
高雄市大寮區內坑里5鄰崇聖路9號三樓之5,64,6401400,6401400-002,5鄰,崇聖路,,,,,,9號三樓之5,120.395733937642,22.5913940203739
高雄市大寮區內坑里5鄰崇聖路9號三樓之6,64,6401400,6401400-002,5鄰,崇聖路,,,,,,9號三樓之6,120.395599873947,22.59144914593
高雄市大寮區內坑里5鄰崇聖路9號三樓之7,64,6401400,6401400-002,5鄰,崇聖路,,,,,,9號三樓之7,120.395612010734,22.5914091849679
高雄市大寮區內坑里5鄰崇聖路9號三樓之8,64,6401400,6401400-002,5鄰,崇聖路,,,,,,9號三樓之8,120.395632762578,22.5913562520085
高雄市大寮區內坑里5鄰崇聖路9號四樓之1,64,6401400,6401400-002,5鄰,崇聖路,,,,,,9號四樓之1,120.395763871373,22.5914879634464
高雄市大寮區內坑里5鄰崇聖路9號四樓之2,64,6401400,6401400-002,5鄰,崇聖路,,,,,,9號四樓之2,120.395798628541,22.5914125963544
高雄市大寮區內坑里5鄰崇聖路9號四樓之3,64,6401400,6401400-002,5鄰,崇聖路,,,,,,9號四樓之3,120.395698589435,22.5914711010878
高雄市大寮區內坑里5鄰崇聖路9號四樓之5,64,6401400,6401400-002,5鄰,崇聖路,,,,,,9號四樓之5,120.395733937642,22.5913940203739
高雄市大寮區內坑里5鄰崇聖路9號四樓之6,64,6401400,6401400-002,5鄰,崇聖路,,,,,,9號四樓之6,120.395599873947,22.59144914593
高雄市大寮區內坑里5鄰崇聖路9號四樓之7,64,6401400,6401400-002,5鄰,崇聖路,,,,,,9號四樓之7,120.395612010734,22.5914091849679
