FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市三民區安康里19鄰延吉街1巷1之1號,64,6400500,6400500-042,19鄰,延吉街,,1巷,,,,1之1號,120.319391192695,22.638715867765
高雄市三民區安康里19鄰延吉街1巷1之2號,64,6400500,6400500-042,19鄰,延吉街,,1巷,,,,1之2號,120.319391192695,22.638715867765
高雄市三民區安康里19鄰延吉街1巷1之3號,64,6400500,6400500-042,19鄰,延吉街,,1巷,,,,1之3號,120.319391192695,22.638715867765
高雄市三民區安康里19鄰延吉街1巷1之4號,64,6400500,6400500-042,19鄰,延吉街,,1巷,,,,1之4號,120.319391192695,22.638715867765
高雄市三民區安康里21鄰延吉街1巷2號,64,6400500,6400500-042,21鄰,延吉街,,1巷,,,,2號,120.319421784444,22.639023041224
高雄市三民區安康里21鄰延吉街1巷2之1號,64,6400500,6400500-042,21鄰,延吉街,,1巷,,,,2之1號,120.319421784444,22.639023041224
高雄市三民區安康里21鄰延吉街1巷2之2號,64,6400500,6400500-042,21鄰,延吉街,,1巷,,,,2之2號,120.319421784444,22.639023041224
高雄市三民區安康里21鄰延吉街1巷2之3號,64,6400500,6400500-042,21鄰,延吉街,,1巷,,,,2之3號,120.319421784444,22.639023041224
高雄市三民區安康里21鄰延吉街1巷2之4號,64,6400500,6400500-042,21鄰,延吉街,,1巷,,,,2之4號,120.319421784444,22.639023041224
高雄市三民區安康里20鄰延吉街1巷3號,64,6400500,6400500-042,20鄰,延吉街,,1巷,,,,3號,120.319437533826,22.6387883100121
高雄市三民區安康里20鄰延吉街1巷3之1號,64,6400500,6400500-042,20鄰,延吉街,,1巷,,,,3之1號,120.319437533826,22.6387883100121
高雄市三民區安康里20鄰延吉街1巷3之2號,64,6400500,6400500-042,20鄰,延吉街,,1巷,,,,3之2號,120.319437533826,22.6387883100121
高雄市三民區安康里20鄰延吉街1巷3之3號,64,6400500,6400500-042,20鄰,延吉街,,1巷,,,,3之3號,120.319437533826,22.6387883100121
高雄市三民區安康里20鄰延吉街1巷3之4號,64,6400500,6400500-042,20鄰,延吉街,,1巷,,,,3之4號,120.319437533826,22.6387883100121
高雄市三民區安康里22鄰延吉街1巷4號,64,6400500,6400500-042,22鄰,延吉街,,1巷,,,,4號,120.319425486619,22.6390772772262
高雄市三民區安康里22鄰延吉街1巷4之1號,64,6400500,6400500-042,22鄰,延吉街,,1巷,,,,4之1號,120.319425486619,22.6390772772262
高雄市三民區安康里22鄰延吉街1巷4之2號,64,6400500,6400500-042,22鄰,延吉街,,1巷,,,,4之2號,120.319425486619,22.6390772772262
高雄市三民區安康里22鄰延吉街1巷4之3號,64,6400500,6400500-042,22鄰,延吉街,,1巷,,,,4之3號,120.319425486619,22.6390772772262
高雄市三民區安康里22鄰延吉街1巷4之4號,64,6400500,6400500-042,22鄰,延吉街,,1巷,,,,4之4號,120.319425486619,22.6390772772262
高雄市三民區安康里19鄰延吉街1巷5之1號,64,6400500,6400500-042,19鄰,延吉街,,1巷,,,,5之1號,120.319328414258,22.6387215615462
高雄市三民區安康里19鄰延吉街1巷5之2號,64,6400500,6400500-042,19鄰,延吉街,,1巷,,,,5之2號,120.319328414258,22.6387215615462
高雄市三民區安康里19鄰延吉街1巷5之3號,64,6400500,6400500-042,19鄰,延吉街,,1巷,,,,5之3號,120.319328414258,22.6387215615462
高雄市三民區安康里19鄰延吉街1巷5之4號,64,6400500,6400500-042,19鄰,延吉街,,1巷,,,,5之4號,120.319328414258,22.6387215615462
高雄市三民區安康里21鄰延吉街1巷6號,64,6400500,6400500-042,21鄰,延吉街,,1巷,,,,6號,120.319352744828,22.6390318149956
高雄市三民區安康里21鄰延吉街1巷6之1號,64,6400500,6400500-042,21鄰,延吉街,,1巷,,,,6之1號,120.319352744828,22.6390318149956
高雄市三民區安康里21鄰延吉街1巷6之2號,64,6400500,6400500-042,21鄰,延吉街,,1巷,,,,6之2號,120.319352744828,22.6390318149956
高雄市三民區安康里21鄰延吉街1巷6之3號,64,6400500,6400500-042,21鄰,延吉街,,1巷,,,,6之3號,120.319352744828,22.6390318149956
高雄市三民區安康里21鄰延吉街1巷6之4號,64,6400500,6400500-042,21鄰,延吉街,,1巷,,,,6之4號,120.319352744828,22.6390318149956
高雄市三民區安康里20鄰延吉街1巷7號,64,6400500,6400500-042,20鄰,延吉街,,1巷,,,,7號,120.319294547707,22.638796760866
高雄市三民區安康里20鄰延吉街1巷7之1號,64,6400500,6400500-042,20鄰,延吉街,,1巷,,,,7之1號,120.319294547707,22.638796760866
